file,bug,loc,bf,hcm
org::eclipse::mylyn::internal::tasks::ui::ChangeActivityHandleOperation,0,33,3,1.84703
org::eclipse::mylyn::internal::tasks::core::AbstractTask,0,294,24,6.92707
org::eclipse::mylyn::internal::xplanner::ui::wizard::NewXPlannerTaskPage,2,138,1,0
org::eclipse::mylyn::internal::wikitext::ui::viewer::TextHover,0,58,2,2.38141
org::eclipse::mylyn::internal::tasks::ui::TaskListSynchronizationScheduler,0,46,15,12.4918
org::eclipse::mylyn::internal::wikitext::ui::viewer::ImageManager,1,313,4,0.891381
org::eclipse::mylyn::internal::bugzilla::ui::editor::BugSubmissionHandler,0,122,12,5.24564
org::eclipse::mylyn::internal::trac::ui::WebHyperlink,0,19,5,3.4091
org::eclipse::mylyn::internal::tasks::ui::notifications::TaskListNotificationReminder,0,19,6,6.83865
org::eclipse::mylyn::wikitext::core::util::Messages,0,9,1,0
org::eclipse::mylyn::tasks::ui::editors::TaskEditor,8,464,92,28.8338
org::eclipse::mylyn::internal::tasks::core::TaskExternalizationException,0,3,2,3.17351
org::eclipse::mylyn::monitor::core::AbstractMonitorLog,0,56,14,10.279
org::eclipse::mylyn::internal::provisional::commons::ui::CommonThemes,0,11,3,1.84703
org::eclipse::mylyn::internal::tasks::ui::actions::AbstractTaskAction,0,24,10,8.35812
org::eclipse::mylyn::internal::trac::wiki::TracWikiPageHistoryPageSource,0,9,2,1.84703
org::eclipse::mylyn::wikitext::core::parser::outline::OutlineParser,0,49,11,3.33706
org::eclipse::mylyn::internal::wikitext::twiki::core::block::ListBlock,0,137,2,0
org::eclipse::mylyn::internal::context::ui::HighlighterImageDescriptor,0,157,5,5.25012
org::eclipse::mylyn::internal::tasks::ui::actions::TaskSelectionDialog,0,257,38,23.5832
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteSecurityLevel,0,49,1,0
org::eclipse::mylyn::internal::tasks::ui::actions::NewQueryAction,0,58,17,14.0081
org::eclipse::mylyn::internal::jira::core::JiraTaskDataHandler,0,1090,5,2.50133
org::eclipse::mylyn::internal::trac::ui::TracImages,0,19,6,6.70477
org::eclipse::mylyn::internal::tasks::core::LocalTask,0,21,7,6.94961
org::eclipse::mylyn::internal::tasks::ui::wizards::TaskDataImportWizard,0,70,37,23.9028
org::eclipse::mylyn::tasks::core::sync::SubmitJob,0,47,8,5.52481
org::eclipse::mylyn::internal::tasks::ui::OpenRepositoryTaskJob,0,60,24,11.3751
org::eclipse::mylyn::wikitext::ui::annotation::TitleAnnotation,0,10,4,1.49003
org::eclipse::mylyn::internal::context::ui::BrowseFilteredListener,0,124,14,13.2689
org::eclipse::mylyn::internal::bugzilla::core::history::Messages,0,3,1,0
org::eclipse::mylyn::internal::wikitext::twiki::core::token::ImpliedEmailLinkReplacementToken,0,9,2,0
org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaCcAttributeEditor,0,54,4,3.37801
org::eclipse::mylyn::internal::sandbox::ui::hyperlinks::AbstractResourceHyperlinkExtension,0,50,2,1.84703
org::eclipse::mylyn::internal::context::core::InteractionContextRelation,0,29,7,6.61084
org::eclipse::mylyn::internal::tasks::ui::commands::NewSubTaskHandler,0,17,3,3.32672
org::eclipse::mylyn::internal::wikitext::mediawiki::core::token::HyperlinkInternalReplacementToken,0,9,3,1.49003
org::eclipse::mylyn::internal::jira::core::model::Comment,0,35,8,7.25135
org::eclipse::mylyn::internal::sandbox::ui::actions::LinkActiveSearchWithEditorAction,0,38,5,4.7898
org::eclipse::mylyn::internal::tasks::ui::dialogs::TaskListSortDialog,0,12,7,3.4091
org::eclipse::mylyn::examples::monitor::study::MylynUserStudyExamplePlugin,0,27,7,6.04101
org::eclipse::mylyn::internal::xplanner::ui::wizard::XPlannerRepositorySettingsPage,1,26,1,0
org::eclipse::mylyn::zest::core::viewers::internal::GraphItemStyler,0,201,4,5.80097
org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaKeywordAttributeEditor,0,64,3,3.4091
org::eclipse::mylyn::wikitext::core::parser::markup::Processor,0,45,4,1.49003
org::eclipse::mylyn::internal::tasks::ui::commands::TaskListToolTipHandler,0,13,3,1.84703
org::eclipse::mylyn::internal::wikitext::ui::util::HyperlinkDetectorDelegate,0,45,1,0
org::eclipse::mylyn::tasks::core::data::AbstractTaskAttachmentSource,0,0,3,3.26838
org::eclipse::mylyn::internal::bugzilla::ui::wizard::WizardAttributesPage,0,5,2,1.28671
org::eclipse::mylyn::internal::wikitext::core::parser::builder::Messages,0,9,1,0
org::eclipse::mylyn::context::ui::AbstractAutoFocusViewAction,0,37,20,14.8014
org::eclipse::mylyn::internal::wikitext::tasks::ui::editor::TWikiMarkupTaskEditorExtension,0,3,2,0
org::eclipse::mylyn::internal::bugzilla::ui::BugzillaHyperLink,0,37,9,8.10274
org::eclipse::mylyn::context::ui::AbstractFocusViewAction,1,270,29,14.923
org::eclipse::mylyn::internal::java::ui::InterestUpdateDeltaListener,0,75,13,11.1073
org::eclipse::mylyn::internal::tasks::ui::AddExistingTaskJob,1,68,35,20.5668
org::eclipse::mylyn::internal::bugzilla::core::BugzillaVersion,1,76,2,0
org::eclipse::mylyn::internal::trac::ui::editor::TracTaskEditorPage,1,39,3,1.84703
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteProjectRole,0,70,7,5.94514
org::eclipse::mylyn::context::tests::support::ResourceHelper,0,89,7,7.65102
org::eclipse::mylyn::internal::tasks::ui::editors::EditorBusyIndicator,0,49,6,6.098
org::eclipse::mylyn::internal::team::ui::actions::ApplyPatchAction,0,29,17,13.8911
org::eclipse::mylyn::tasks::ui::editors::BrowserFormPage,0,55,7,6.08461
org::eclipse::mylyn::internal::sandbox::ui::views::ActiveSearchQuickView,0,556,4,3.30169
org::eclipse::mylyn::zest::core::viewers::AbstractZoomableViewer,0,8,0,0
org::eclipse::mylyn::internal::wikitext::core::parser::builder::SplittingMarkupToEclipseToc,0,9,2,1.49003
org::eclipse::mylyn::internal::tasks::ui::deprecated::AbstractRepositoryQueryWizard,0,30,5,4.81344
org::eclipse::mylyn::internal::tasks::bugs::wizards::ReportErrorWizard,0,20,7,4.15475
org::eclipse::mylyn::internal::web::ui::WebResource,0,22,3,3.17351
org::eclipse::mylyn::internal::tasks::ui::workingsets::WorkingSetLabelComparator,0,3,2,1.84703
org::eclipse::mylyn::tasks::core::sync::SubmitJobEvent,0,6,3,4.74807
org::eclipse::mylyn::internal::tasks::ui::util::AttachmentUtil,1,194,7,3.08906
org::eclipse::mylyn::wikitext::core::parser::markup::phrase::HtmlStartTagPhraseModifier,0,12,5,3.33706
org::eclipse::mylyn::internal::jira::core::model::LinkType,0,30,4,3.91697
org::eclipse::mylyn::internal::tasks::ui::editors::RepositoryCompletionProcessor,0,107,13,7.42177
org::eclipse::mylyn::internal::tasks::ui::workingsets::TaskWorkingSetUpdater,1,159,22,11.6079
org::eclipse::mylyn::internal::wikitext::ui::editor::help::Messages,1,9,1,0
org::eclipse::mylyn::internal::web::ui::WebResourceUiBridge,0,29,12,10.9786
org::eclipse::mylyn::internal::web::tasks::WebRepositoryConnector,0,457,44,14.6318
org::eclipse::mylyn::internal::tasks::core::AutomaticRepositoryTaskContainer,0,24,3,1.84703
org::eclipse::mylyn::tasks::ui::wizards::RepositoryQueryWizard,0,41,7,4.17741
org::eclipse::mylyn::internal::wikitext::textile::core::block::QuoteBlock,0,66,3,1.49003
org::eclipse::mylyn::internal::tasks::core::RepositoryPerson,0,29,3,1.84703
org::eclipse::mylyn::internal::team::ui::properties::TeamPropertiesLinkProvider,0,41,7,7.65396
org::eclipse::mylyn::internal::tasks::core::UnmatchedTaskContainer,0,9,7,5.9245
org::eclipse::mylyn::internal::ide::ui::IdeUiBridgePlugin,0,15,10,9.64396
org::eclipse::mylyn::internal::wikitext::ui::editor::syntax::MarkupDamagerRepairer,0,6,2,1.49003
org::eclipse::mylyn::internal::context::core::InteractionContextExternalizer,0,86,22,14.7303
org::eclipse::mylyn::internal::tasks::core::TaskAttachment,0,83,3,3.39209
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteIssue,0,288,7,5.94514
org::eclipse::mylyn::internal::tasks::ui::actions::GroupSubTasksAction,0,26,7,7.47213
org::eclipse::mylyn::internal::context::ui::commands::CopyContextHandler,0,41,6,4.17741
org::eclipse::mylyn::tasks::core::data::TaskData,0,41,6,6.31013
org::eclipse::mylyn::internal::tasks::bugs::PluginRepositoryMappingManager,0,92,7,4.88878
org::eclipse::mylyn::wikitext::core::parser::markup::token::PatternLineBreakReplacementToken,0,12,3,1.49003
org::eclipse::mylyn::internal::wikitext::mediawiki::core::block::ParagraphBlock,0,88,4,1.49003
org::eclipse::mylyn::internal::tasks::ui::editors::LongTextAttributeEditor,0,40,8,7.50652
org::eclipse::mylyn::internal::wikitext::mediawiki::core::MediaWikiIdGenerationStrategy,0,31,1,0
org::eclipse::mylyn::wikitext::textile::core::TextileLanguage,1,120,8,3.33706
org::eclipse::mylyn::internal::java::ui::editor::FocusedJavaProposalProcessor,0,77,13,11.6827
org::eclipse::mylyn::xplanner::wsdl::soap::domain::DomainData,0,60,4,6.45512
org::eclipse::mylyn::internal::bugzilla::core::GzipGetMethod,0,16,11,6.32077
org::eclipse::mylyn::internal::tasks::ui::editors::TaskUrlHyperlink,0,6,5,5.00502
org::eclipse::mylyn::internal::tasks::ui::OfflineCachingStorage,0,166,13,11.5723
org::eclipse::mylyn::tasks::core::data::TaskDataModelListener,0,0,3,4.74807
org::eclipse::mylyn::wikitext::core::util::IgnoreDtdEntityResolver,0,9,4,1.49003
org::eclipse::mylyn::internal::tasks::ui::DialogErrorReporter,0,26,4,3.26838
org::eclipse::mylyn::tasks::ui::wizards::NewTaskWizard,0,61,25,20.1023
org::eclipse::mylyn::internal::wikitext::twiki::core::token::LinkReplacementToken,0,9,3,0
org::eclipse::mylyn::internal::bugzilla::ui::search::SavedQueryFile,0,149,1,0
org::eclipse::mylyn::internal::tasks::ui::editors::RepositoryTaskEditorDropListener,0,102,5,4.81344
org::eclipse::mylyn::internal::wikitext::ui::editor::validation::AnnotationMarkupValidator,1,56,3,1.49003
org::eclipse::mylyn::context::core::ContextCore,0,18,7,6.32077
org::eclipse::mylyn::internal::tasks::ui::search::SearchHitCollector,0,74,14,6.35853
org::eclipse::mylyn::internal::wikitext::tracwiki::core::token::LineBreakToken,0,9,3,1.49003
org::eclipse::mylyn::internal::tasks::ui::views::TaskKeyComparator,1,68,11,10.799
org::eclipse::mylyn::internal::tasks::ui::util::DownloadAttachmentJob,0,27,3,1.84703
org::eclipse::mylyn::zest::layouts::algorithms::CompositeLayoutAlgorithm,0,43,2,2.73274
org::eclipse::mylyn::internal::tasks::ui::preferences::Messages,0,3,1,0
org::eclipse::mylyn::internal::provisional::commons::ui::ScalingHyperlink,0,47,3,1.84703
org::eclipse::mylyn::internal::jira::core::model::Resolution,0,45,8,9.23648
org::eclipse::mylyn::bugzilla::deprecated::BugzillaRepositoryQuery,0,14,3,1.84703
org::eclipse::mylyn::wikitext::core::parser::markup::token::PatternEntityReferenceReplacementToken,0,13,3,1.49003
org::eclipse::mylyn::internal::tasks::ui::wizards::TaskDataImportWizardPage,0,157,29,20.5714
org::eclipse::mylyn::internal::jira::core::service::JiraClientData,0,0,6,7.9553
org::eclipse::mylyn::wikitext::ui::annotation::ClassAnnotation,0,6,4,1.49003
org::eclipse::mylyn::internal::tasks::bugs::actions::NewTaskFromMarkerHandler,0,44,3,3.37801
org::eclipse::mylyn::internal::jira::core::model::filter::ComponentFilter,0,13,4,4.58293
org::eclipse::mylyn::internal::context::ui::ContextUiImages,2,37,14,12.6094
org::eclipse::mylyn::internal::tasks::core::DefaultTaskMapping,0,12,2,1.84703
org::eclipse::mylyn::internal::tasks::ui::commands::OpenSelectedTaskHandler,0,5,5,4.88878
org::eclipse::mylyn::internal::tasks::ui::ComboSelectionDialog,0,53,5,6.13764
org::eclipse::mylyn::internal::tasks::ui::actions::CompareAttachmentsAction,0,65,12,8.68883
org::eclipse::mylyn::zest::core::viewers::internal::AbstractStructuredGraphViewer,0,407,3,7.58101
org::eclipse::mylyn::internal::tasks::core::OfflineDataStore,0,19,11,12.9827
org::eclipse::mylyn::wikitext::core::parser::builder::MultiplexingDocumentBuilder,0,92,3,1.49003
org::eclipse::mylyn::internal::wikitext::tasks::ui::actions::ToggleActiveFoldingEditorActionDelegate,0,15,2,0
org::eclipse::mylyn::internal::web::tasks::WebContentProposalProvider,0,78,4,4.49277
org::eclipse::mylyn::internal::wikitext::tasks::ui::WikiTextTasksUiPlugin,0,51,3,0
org::eclipse::mylyn::internal::tasks::ui::ScheduleDatePicker,0,112,11,8.4307
org::eclipse::mylyn::internal::tasks::core::UncategorizedTaskContainer,0,15,7,4.68247
org::eclipse::mylyn::internal::tasks::ui::editors::PreviewAttributeEditor,1,187,12,5.54403
org::eclipse::mylyn::wikitext::core::validation::DocumentLocalReferenceValidationRule,0,29,1,0
org::eclipse::mylyn::internal::bugzilla::ui::actions::AddFavoriteAction,0,60,1,0
org::eclipse::mylyn::internal::sandbox::dev::MylynDevPlugin,0,18,4,4.66839
org::eclipse::mylyn::internal::sandbox::ui::views::ContextHierarchyView,0,144,7,5.57512
org::eclipse::mylyn::internal::hypertext::ui::editors::WebElementsEditorFactory,0,20,4,2.46881
org::eclipse::mylyn::internal::bugzilla::core::BugzillaAttributeMapper,1,223,13,5.39677
org::eclipse::mylyn::internal::tasks::ui::util::TaskDataSnapshotOperation,0,9,1,0
org::eclipse::mylyn::internal::sandbox::ui::views::RelatedElementsPopupDialog,0,480,8,6.25082
org::eclipse::mylyn::internal::tasks::ui::actions::AddRepositoryAction,1,56,22,14.6647
org::eclipse::mylyn::internal::xplanner::ui::XPlannerRepositoryConnector,1,400,1,0
org::eclipse::mylyn::internal::context::ui::wizards::ContextRetrieveWizard,0,17,13,7.5628
org::eclipse::mylyn::zest::core::widgets::internal::GraphLabel,0,19,5,5.07046
org::eclipse::mylyn::internal::pde::ui::PdeUiBridge,0,188,14,11.1484
org::eclipse::mylyn::internal::tasks::ui::util::TaskDataExportOperation,0,59,12,4.88878
org::eclipse::mylyn::internal::sandbox::ui::actions::ToggleRelationshipProviderAction,0,36,6,5.55245
org::eclipse::mylyn::internal::jira::core::JiraFieldData,0,0,1,0
org::eclipse::mylyn::internal::wikitext::textile::core::validation::TextileReferenceValidationRule,0,3,1,0
org::eclipse::mylyn::internal::tasks::ui::editors::TaskEditorCommentPart,1,225,30,12.4279
org::eclipse::mylyn::internal::context::ui::wizards::Messages,0,3,2,0
org::eclipse::mylyn::internal::java::ui::editor::AbstractEditorHyperlinkDetector,0,6,4,3.95974
org::eclipse::mylyn::internal::wikitext::tracwiki::core::block::QuoteBlock,0,72,3,1.49003
org::eclipse::mylyn::internal::sandbox::ui::actions::OpenActiveSearchQuickView,0,26,3,3.24474
org::eclipse::mylyn::internal::wikitext::ui::editor::preferences::Messages,1,9,1,0
org::eclipse::mylyn::internal::web::tasks::WebConnectorUi,0,25,12,8.10609
org::eclipse::mylyn::internal::jira::core::JiraClientFactory,0,81,11,6.8241
org::eclipse::mylyn::internal::jira::core::service::web::JiraWebSessionCallback,0,36,14,9.38441
org::eclipse::mylyn::internal::context::ui::actions::FocusTaskListAction,1,117,23,19.9302
org::eclipse::mylyn::wikitext::core::util::anttask::MarkupToDocbookTask,0,160,7,2.38141
org::eclipse::mylyn::internal::tasks::ui::properties::Messages,0,3,1,0
org::eclipse::mylyn::tasks::ui::SynchronizeChangedTasksJob,0,43,4,2.11271
org::eclipse::mylyn::internal::wikitext::tracwiki::core::token::BangEscapeToken,0,9,3,1.49003
org::eclipse::mylyn::internal::tasks::ui::ScheduleTaskMenuContributor,0,213,35,20.5079
org::eclipse::mylyn::internal::jira::core::model::filter::RelativeDateRangeFilter,0,43,6,6.07208
org::eclipse::mylyn::internal::bugzilla::core::BugzillaClientManager,1,41,22,17.3813
org::eclipse::mylyn::internal::tasks::core::TaskRepositoriesExternalizer,0,78,17,16.2476
org::eclipse::mylyn::internal::tasks::ui::TasksReminderDialog,0,114,12,10.273
org::eclipse::mylyn::internal::monitor::ui::WorkbenchUserActivityMonitor,0,17,3,4.57121
org::eclipse::mylyn::internal::wikitext::ui::util::css::SparseCharSequence,0,91,1,0
org::eclipse::mylyn::internal::wikitext::tracwiki::core::phrase::EscapePhraseModifier,0,12,3,1.49003
org::eclipse::mylyn::internal::tasks::ui::editors::TaskEditorActionPart,3,214,28,11.9059
org::eclipse::mylyn::zest::layouts::constraints::BasicEdgeConstraints,0,4,1,1.45219
org::eclipse::mylyn::internal::jira::core::wsdl::soap::RemoteValidationException,0,40,7,5.94514
org::eclipse::mylyn::internal::sandbox::ui::IncomingTaskListContentProvider,0,51,9,9.13821
org::eclipse::mylyn::internal::tasks::ui::actions::CloneTaskAction,0,57,17,13.2333
org::eclipse::mylyn::tasks::ui::TaskHyperlink,0,27,11,9.08117
org::eclipse::mylyn::internal::resources::ui::ResourcesUiPreferenceInitializer,0,34,10,8.59652
org::eclipse::mylyn::internal::compatibility::Messages,0,3,1,0
org::eclipse::mylyn::internal::xplanner::ui::XPlannerTaskDataHandler,1,152,1,0
org::eclipse::mylyn::internal::tasks::core::DateRange,0,87,12,6.41309
org::eclipse::mylyn::internal::web::ui::WebUiUtil,0,65,9,10.5612
org::eclipse::mylyn::internal::jira::core::service::web::JiraWebClient,0,602,18,8.52672
org::eclipse::mylyn::internal::bugzilla::core::BugzillaQueryHit,0,20,8,8.96649
org::eclipse::mylyn::internal::context::core::SaxContextContentHandler,1,77,20,19.4282
org::eclipse::mylyn::internal::tasks::ui::commands::RemoteTaskSelectionDialog,0,226,34,22.151
org::eclipse::mylyn::internal::tasks::ui::notifications::TaskListNotificationQueryIncoming,0,19,6,6.83865
org::eclipse::mylyn::wikitext::tests::ClassTraversal,0,21,4,0
org::eclipse::mylyn::internal::trac::ui::TracSearchHandler,0,21,3,3.37801
org::eclipse::mylyn::tasks::core::TaskRepository,1,336,66,31.2165
org::eclipse::mylyn::internal::jira::core::JiraField,0,3,1,0
org::eclipse::mylyn::bugzilla::deprecated::BugzillaCompareStructureCreator,0,30,3,1.84703
org::eclipse::mylyn::internal::jira::core::wsdl::soap::RemoteException,0,40,7,5.94514
org::eclipse::mylyn::internal::bugzilla::core::SaxMultiBugReportContentHandler,1,523,35,15.5602
org::eclipse::mylyn::internal::tasks::ui::wizards::NewQueryWizard,0,3,13,11.3459
org::eclipse::mylyn::internal::wikitext::ui::util::WikiTextUiResources,0,12,2,0
org::eclipse::mylyn::internal::jira::core::model::IssueLink,0,26,5,4.58293
org::eclipse::mylyn::internal::jira::core::model::IssueType,0,51,10,10.6655
org::eclipse::mylyn::internal::tasks::bugs::AttributeTaskMapper,1,25,13,4.92306
org::eclipse::mylyn::internal::tasks::ui::util::SelectionProviderAdapter,0,24,3,1.84703
org::eclipse::mylyn::internal::tasks::ui::editors::ContentOutlineTools,0,24,7,8.15599
org::eclipse::mylyn::internal::jira::core::service::soap::JiraSoapServiceLocator,0,43,4,3.32672
org::eclipse::mylyn::internal::bugzilla::ui::search::BugzillaSearchOperation,0,41,4,3.46707
org::eclipse::mylyn::internal::wikitext::ui::editor::dnd::DndConfigurationStrategy,0,24,1,0
org::eclipse::mylyn::internal::xplanner::ui::editor::XPlannerUserStoryEditor,1,301,1,0
org::eclipse::mylyn::internal::sandbox::ui::JavaContextLabelProvider,0,96,4,4.8068
org::eclipse::mylyn::internal::tasks::ui::actions::TaskDeactivateAction,0,8,21,14.5878
org::eclipse::mylyn::internal::tasks::ui::actions::AbstractTaskRepositoryAction,0,41,10,11.6813
org::eclipse::mylyn::internal::tasks::ui::views::TaskRepositoriesTableLabelProvider,0,42,2,0
org::eclipse::mylyn::internal::tasks::ui::TaskArchiveFilter,0,14,11,11.8554
org::eclipse::mylyn::internal::tasks::ui::views::TaskListToolTipHandler,0,456,40,15.72
org::eclipse::mylyn::internal::tasks::ui::actions::CommentActionGroup,0,32,1,0
org::eclipse::mylyn::internal::tasks::core::data::TaskDataState,0,130,7,6.31013
org::eclipse::mylyn::internal::tasks::ui::actions::TaskListSortAction,0,11,4,1.84703
org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeAllAction,0,9,7,8.1666
org::eclipse::mylyn::wikitext::core::parser::LinkAttributes,0,12,3,1.49003
org::eclipse::mylyn::internal::jira::core::model::ServerInfo,0,52,8,6.56833
org::eclipse::mylyn::internal::monitor::usage::editors::UsageSummaryReportEditorPart,0,189,14,14.581
org::eclipse::mylyn::internal::sandbox::dev::IntrospectObjectAction,0,64,14,9.31304
org::eclipse::mylyn::internal::wikitext::ui::viewer::AnnotationHyperlinkDetector,0,50,4,1.49003
org::eclipse::mylyn::internal::tasks::ui::wizards::NewLocalCategoryWizard,0,10,4,5.22331
org::eclipse::mylyn::internal::wikitext::ui::editor::commands::ShowQuickOutlineCommand,1,14,1,0
org::eclipse::mylyn::internal::jira::core::model::filter::NobodyFilter,0,3,4,4.58293
org::eclipse::mylyn::internal::java::ui::editor::ActiveFoldingListener,2,124,31,24.988
org::eclipse::mylyn::internal::tasks::ui::util::TaskComparator,0,153,4,0
org::eclipse::mylyn::internal::tests::report::Build,0,6,3,3.24474
org::eclipse::mylyn::zest::layouts::constraints::LabelLayoutConstraint,0,4,1,1.45219
org::eclipse::mylyn::internal::bugzilla::ui::editor::BugzillaTaskEditorPageFactory,0,25,6,4.15475
org::eclipse::mylyn::internal::context::ui::actions::ContextActiveActionFilter,0,3,3,6.79021
org::eclipse::mylyn::internal::context::ui::actions::AbstractInterestManipulationAction,0,74,20,18.0235
org::eclipse::mylyn::internal::jira::core::TaskSchema,0,0,1,0
org::eclipse::mylyn::internal::wikitext::ui::util::css::DescendantSelector,0,17,1,0
org::eclipse::mylyn::internal::wikitext::textile::core::block::PreformattedBlock,0,42,3,1.49003
org::eclipse::mylyn::internal::java::ui::search::Messages,0,3,1,0
org::eclipse::mylyn::internal::bugzilla::ui::BugzillaResultMatchAdapter,0,23,10,8.24642
org::eclipse::mylyn::internal::context::ui::preferences::ContextUiPreferencePage,0,111,17,13.8712
org::eclipse::mylyn::internal::monitor::core::collection::DataOverviewCollector,0,152,7,6.7028
org::eclipse::mylyn::internal::web::ui::WebUiBridgePlugin,0,51,15,12.9863
org::eclipse::mylyn::internal::wikitext::textile::core::validation::Messages,0,9,1,0
org::eclipse::mylyn::internal::jira::ui::editor::JiraTaskEditorPageFactory,0,26,14,6.84276
