"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"11","control","source","monitor","constants","context","eclipse","equals","name","string","apache","direction","bridge","changed","form","sax","repositories","list","product","adapter","task","relation","selections","remove","data","current","mylyn","selected","work","version","string","e","editors","overlay","runtime","item","attachment","read","mouse","values","sorter","ui","structure","attachment","label","button","iconfiguration","y","shell","org","run","address","scheduled","hit","queries","jface","irepository","old","length","matcher","monitor","set","user","commands","transfer","osgi","ui","connector","io","list","ui"
"12","object","notify","id","manage","object","org","summary","rpc","company","log","handle","core","jface","column","core","externalization","current","type","mode","hyperlink","target","view","combo","directory","canvas","sub","label","container","sel","buffer","authentication","kind","registry","submit","focus","host","java","set","set","result","pref","bridge","workbench","relation","margin","1","point","status","iproperty","activation","interesting","cal","t","map","org","eclipse","exception","array","viewer","length","string","encoding","dialog","platform","load","model","login","value","core","set"
"13","shell","format","mapper","preferences","active","jface","last","data","sandbox","net","unsubmitted","xml","set","create","exception","job","reply","1","decoration","elapsed","iinteraction","map","combos","wiki","swt","categories","listener","swt","product","s","2","open","t","run","view","commons","reader","fade","cc","task2","study","string","ui","workspace","text","id","gradient","interaction","name","delta","context","map","fixed","nls","iaction","object","read","3","jface","e","null","set","internal","content","file","eclipse","parameters","status","l","change"
"14","key","equals","connector","editors","jface","messages","completion","xml","descriptor","manager","path","pde","open","data","non","istatus","author","uri","eclipse","image","label","users","j","web","grab","element","horizontal","timeout","id","state","t","string","url","display","update","str","status","widgets","root","task1","command","list","hash","curr","fill","core","max","runtime","description","changed","result","set","viewer","repositories","down","repository","outgoing","type","iregion","thread","type","property","event","core","internal","forms","request","log","add","eclipse"
"15","string","res","plugin","startup","iselection","title","simple","filter","list","reporter","unmatched","ifile","add","picker","handle","participant","incoming","attributes","style","tree","mylyn","generator","checkbox","source","set","add","gd","synch","keyword","type","call","planning","context","iprogress","mouse","pat","write","background","itask","description","upload","scaling","remove","dnd","messages","read","display","progress","build","plugin","ui","tasks","separator","local","mylyn","internal","copy","2","length","underlying","tasks","username","input","drag","non","event","method","filename","isearch","parent"
"16","create","contribution","configuration","start","page","select","nls","itrac","names","protocol","list","resource","eclipse","widgets","root","model","created","map","listener","string","eclipse","string","property","export","rectangle","object","modify","minutes","component","tags","ctype","null","priority","source","common","axis","core","alpha","string","itask","focused","nodes","icontext","ijob","section","runtime","dispose","windows","jdt","remove","add","hour","lines","hash","actions","org","manager","0","start","out","person","value","factory","map","x","widgets","data","uid","provider","delta"
"17","content","count","collector","bridge","outline","mylyn","due","mylyn","uid","remote","o2","model","iselection","text","interaction","runtime","builder","component","support","format","listener","list","buttons","open","screenshot","core","fill","index","status","html","span","part","icon","istatus","filters","fault","source","window","id","obj","submission","kind","ids","refresh","hyperlink","attr","1","remove","iproject","paused","type","itask","seconds","tasks","dialog","connector","list","map","resource","transferred","label","2","exception","runtime","values","swt","pattern","message","f","java"
"18","items","interest","bug","tracker","bridge","message","size","attributes","hl","status","identifier","offset","images","summary","transformer","iprogress","expanded","li","widget","completed","org","summaries","last","message","original","handle","widget","schedule","0","latin","unsupported","status","base","task","menu","connection","handler","area","parent","element1","iresource","map","dialog","month","parent","status","background","eclipse","exception","store","focused","util","ipath","irepository","internal","children","incoming","call","detector","0","mapper","name","steffen","instance","open","data","prefix","dialog","bug","array"
"19","pattern","command","exception","mylyn","input","wizards","migrator","iprogress","set","entry","orphans","resources","active","listener","ie","e","0","characters","engine","link","adapter","mylyn","select","dest","height","org","dialog","folder","patterns","letter","commons","plugin","string","configuration","true","soap","name","colors","constants","code","enabled","nls","task","sync","container","handler","graphics","exception","resource","update","content","due","destination","state","set","override","clear","null","presenter","dst","url","client","pingel","reporter","mylyn","bar","title","destination","results","handle"
"20","set","num","string","reference","iworkbench","dialog","notes","internal","function","web","parent","non","bars","section","builder","itasks","descs","option","rendering","clear","source","events","model","task","mark","plugin","event","background","array","append","minor","ieditor","graphics","mylyn","set","httpclient","writer","composite","attachment","element2","transmit","non","list","testing","client","registry","band","log","internal","core","separator","schedule","e1","synchronization","iview","child","listener","common","itext","input","node","needs","author","local","context","expandable","template","uploading","override","add"
