"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65"
"11","number","body","ids","pending","paren","util","verbose","external","bounds","binding","scanner","length","ref","internal","init","utf","resolved","reimplement","token","name","tab","bindings","reference","param","true","ref","word","start","list","c","vector","variable","lines","missing","t","problem","target","statement","parent","formatter","operator","old","println","participant","interned","descriptors","p","pair","parens","comment","mask","kind","literal","position","behavior","indent","fragment","state","hashtable","acc","locals","key","prefix","enclosing","stream"
"12","line","invocation","operation","selection","alignment","attributes","containers","added","substitutes","severity","token","substituted","declaration","key","code","content","unnecessary","code","path","token","acc","parser","code","pattern","constant","reporter","length","end","astnode","start","nb","id","format","javadoc","binding","current","problem","li","elements","string","left","javadoc","builder","core","name","ast","range","parent","expression","s","first","field","expression","name","dump","javadoc","status","distance","hash","modifiers","binding","length","focus","declaring","object"
"13","error","declarations","shift","decl","comma","core","per","elements","actual","problem","position","visible","impossible","itype","merged","bytes","time","children","bind","tokens","mode","result","synthetic","end","implicit","j","ioexception","accepted","children","tokens","mask","missing","region","declaration","depth","last","bits","descriptor","core","value","cast","type","java","ipath","imarker","node","parent","modifiers","before","position","two","none","end","type","values","iterator","projects","scope","values","scope","index","index","copies","constants","generate"
"14","warning","extra","lang","body","declaration","exception","secondary","remove","variables","field","generics","site","type","null","initialization","pair","alternate","given","report","end","method","environment","x","p","conversion","qualified","file","engine","dom","source","na","enabled","previous","elements","opc","conversion","synthetics","method","status","create","right","variable","length","paths","relative","code","param","handle","next","sibling","character","clients","qualified","identifier","write","map","resolved","temp","threshold","selector","type","parameters","fragment","sensitive","internal"
"15","factory","modifier","impl","block","java","reader","put","affected","var","start","expression","compatible","report","tag","exception","file","compiler","declaration","writer","keyword","value","copy","attributes","second","info","found","words","complete","start","identifier","j","javadoc","block","offset","opcodes","implicit","closest","pre","children","given","equal","list","state","project","m","name","safe","ast","arguments","ranges","next","see","nothing","value","nothing","next","ijava","index","set","enclosing","pool","binary","results","matches","e"
"16","abort","dimensions","minus","modifiers","brace","read","entries","removed","argument","constructor","system","substitute","length","name","index","tag","base","true","classpath","terminal","file","problems","attribute","first","optimized","compound","old","append","string","ptr","binding","pb","length","parameter","resize","synthetic","match","declared","exception","n","shift","extended","last","iprogress","table","structural","whether","pairs","bracket","correction","close","used","astvisitor","flags","number","core","entries","j","array","found","items","types","java","suffix","positions"
"17","internal","superclass","non","annotations","options","inner","string","org","kind","declaring","current","visit","possible","environment","inits","format","implicit","false","warning","range","parameter","working","signature","segment","value","name","l","k","core","comment","non","severity","doc","source","ids","codegen","variable","structural","resource","statement","signatures","dimensions","qualified","location","structural","api","astnode","internal","number","element","string","referenced","type","arg","buffer","buf","manager","next","space","constants","map","signatures","interfaces","operation","flag"
"18","options","exceptions","nls","initializer","settings","level","infos","changes","environment","location","k","invocation","accurate","raw","variable","number","constant","specific","line","position","constant","parsed","index","index","operator","null","disk","local","non","invalid","length","p","formatter","reference","labels","stream","tag","set","project","next","result","impt","debug","util","references","li","false","unit","parenthesized","set","inclusive","following","javadoc","ast","string","bind","external","lex","elements","receiver","t","resolved","ijava","parameter","use"
"19","context","thrown","cst","parse","closing","iclass","exception","deltas","generic","javadoc","recovery","check","accuracy","generic","condition","bits","block","see","count","nodes","disassembler","problem","u","br","right","dim","bytes","type","insert","input","variable","container","ptr","expected","array","assignment","max","literal","owner","parenthesis","decode","method","names","nls","j","type","returns","value","statement","code","open","information","print","parse","line","e","core","candidate","result","reference","code","exception","pkg","camel","constants"
"20","file","types","min","bracket","put","status","user","eclipse","v","decl","println","reference","resolve","arguments","sub","iannotation","info","dom","error","infix","signature","exception","bytes","separator","left","enclosing","offset","kind","original","end","unconditional","tags","string","range","debug","bindings","access","illegal","see","arguments","rigth","assignment","string","eclipse","locator","visitor","given","compiler","line","detailed","jdom","context","allocation","report","messages","false","patterns","position","string","null","constant","declaring","field","declarations","block"
