"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","bug","loc","bf","hcm"
"30",0,0,0,0,0,0.693147180559945,0,2.39789527279837,4.70048036579242,0,0,0,0,0,0,0,0,0,4.72738781871234,0,0,0.693147180559945,3.85014760171006,0,2.39789527279837,0,0,1.09861228866811,0.693147180559945,0,0,4.30406509320417,3,5.03827
"31",0,0,0,0,0,1.09861228866811,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"32",0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,1,0
"33",0,0,0,0,2.484906649788,0,0,0,0,0,0,0,0,0,0,4.77068462446567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3322045101752,1,0
"34",0,0,0,0,0,3.95124371858143,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94591014905531,1,0
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"36",0,0,0,0,0,3.04452243772342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,1,0
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"38",0,0,0,0,0,0.693147180559945,0,2.56494935746154,0,0,0,0,0,2.70805020110221,0,0,0,0,0,0,0,1.09861228866811,0,0,0,1.79175946922805,3.85014760171006,0,0.693147180559945,1.38629436111989,0,2.99573227355399,5,8.71607
"39",0,0,0,0,3.58351893845611,0.693147180559945,0,0,0.693147180559945,4.76217393479776,0,0,0,4.9416424226093,1.79175946922805,0,3.97029191355212,0,3.49650756146648,0,0,0,1.6094379124341,0,0,0,4.63472898822964,0,7.35115822643069,0,0,5.40267738187228,16,16.4888
"40",0,0,7.6657534318617,0,0,4.14313472639153,0,2.83321334405622,0,0,3.80666248977032,0,0,0,0.693147180559945,0,0,0,0,0,5.92692602597041,0,1.94591014905531,0,0,0.693147180559945,0,0,0,4.39444915467244,4,6.06610809010375,14,16.8929
"41",0,0,0,0,2.39789527279837,4.21950770517611,0,3.40119738166216,0,0,2.30258509299405,0,0,0,0,0,0,4.38202663467388,0,1.38629436111989,2.07944154167984,0,5.78074351579233,0.693147180559945,0.693147180559945,0,0,0,0,4.80402104473326,0,4.61512051684126,6,7.43856
"42",0,0,0,0,0,2.07944154167984,0,5.16478597392351,0,0,0,3.2188758248682,0,0,2.484906649788,0,1.09861228866811,0,0,0,4.0943445622221,0,2.484906649788,2.39789527279837,0,1.09861228866811,0,0,0,0,1,0,7,10.0342
"43",0,0,0,0,3.71357206670431,0,1.38629436111989,0,0,1.6094379124341,0,0,0,5.00394630594546,0,0,6.05678401322862,0,0,0,0,0,0,0,0,0,5.82008293035236,0,6.39359075395063,0,3,6.05443934626937,24,21.7572
"44",0,0,0,0,0,0,0,1.09861228866811,2.19722457733622,2.19722457733622,0,0,0,0,0,0,0,0,4.60517018598809,0,0,0.693147180559945,0,0,0,1.38629436111989,0,0,0,0,0,3.80666248977032,2,3.20237
"45",0,0,0,0,1.09861228866811,0,0,4.68213122712422,0,0,0,0,0,1.79175946922805,0,0,0,2.56494935746154,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,10.6126
"46",0,0,0,0,0,0,0,0,0.693147180559945,3.04452243772342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56494935746154,1.6094379124341,0,2.19722457733622,0,0,0,2.39789527279837,0,3.36934
"47",2.484906649788,0,0,2.70805020110221,3.09104245335832,0,0,0,0,6.24610676548156,0,0,1.6094379124341,0,4.15888308335967,0,0,0,7.75876054415766,0,0,0,0,0,4.30406509320417,4.79579054559674,0,0.693147180559945,2.94443897916644,1.09861228866811,1,6.22257626807137,3,5.51058
"48",0,0.693147180559945,4.82028156560504,0,0,0,0,0,0,0,0,2.83321334405622,4.40671924726425,0,0,0,0.693147180559945,0,0,4.69134788222914,4.15888308335967,0,0,0,0,0,0,0,0,0,2,2.77258872223978,3,7.55192
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89037175789616,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0137151560428,0,1,4.56434819146784,4,8.38997
"50",3.63758615972639,0,4.43081679884331,0,0.693147180559945,3.43398720448515,0.693147180559945,0,0,0,3.95124371858143,0,0,0.693147180559945,0,0,0,0,0,0,3.2188758248682,0,0,0,0,1.38629436111989,0,0.693147180559945,0,4.49980967033027,1,4.02535169073515,2,5.57623
"51",0,0,0,0.693147180559945,0,0,0.693147180559945,1.09861228866811,0.693147180559945,4.04305126783455,2.99573227355399,0,0,5.41164605185504,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0.693147180559945,0,0,4.59511985013459,2,4.89304
"52",0,0,0,2.83321334405622,0,0,0,2.56494935746154,5.24174701505964,0,0,0,0,0,2.484906649788,0,0,0.693147180559945,2.30258509299405,0,1.38629436111989,0,2.83321334405622,0,0,3.29583686600433,0,0,0.693147180559945,0,0,4.14313472639153,3,5.00534
"53",0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,1,0
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"55",0,0,0,1.6094379124341,0,0,0,0,0,6.18826412308259,2.19722457733622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00733318523247,3,5.63536
"56",0,1.6094379124341,1.6094379124341,0,2.07944154167984,0,0,0,0,0.693147180559945,0,0,0,4.68213122712422,3.17805383034795,0,0,0,0,0,0,0,0,0,0,0,5.03043792139244,0,2.19722457733622,0,2,4.15888308335967,5,11.4018
"57",0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99573227355399,4.21950770517611,0,0,1,3.46573590279973,5,6.46017
"58",0,0,0,0,0,3.13549421592915,0,0,0,0,0,0,3.80666248977032,0,1.38629436111989,3.66356164612965,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,1.38629436111989,0,2.94443897916644,1,0
"59",0,0,0,0,5.88610403145016,0,5.84932477994686,5.4249500174814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94591014905531,0,0,0,0,5.24174701505964,9,10.3796
"60",0,0,0,0,0,0,0,1.6094379124341,0,0,0,0,4.59511985013459,0,0,0.693147180559945,0,4.34380542185368,0,0,3.43398720448515,0,1.94591014905531,0,0,0,0,3.13549421592915,0,0,0,4.30406509320417,1,1.80545
"61",0,0,0,0,0,3.09104245335832,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,1,0
"62",0,0,0,6.03548143252476,0,0,0.693147180559945,0,0,0,0,6.16120732169508,2.07944154167984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.38449506278909,3,7.23572
"63",0,0,0,0,4.06044301054642,1.09861228866811,0,0,5.71373280550937,3.40119738166216,0,0,0,0,0,0,0,0,4.78749174278205,0,4.35670882668959,0,1.09861228866811,0,0,0,0,0,0,4.91998092582813,1,4.83628190695148,4,10.1322
"64",0,0,0,2.30258509299405,0,0,2.63905732961526,0,0,1.6094379124341,0,0,1.09861228866811,4.27666611901606,5.25227342804663,0,0,7.5569505720129,0,1.79175946922805,0,0,0,2.94443897916644,4.49980967033027,0,0,0,5.37989735354046,0,1,6.00141487796115,4,8.19537
"65",0,0,0,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,1.6094379124341,0,0,0,0,0,0,0,0,1,0
"66",0,0,3.63758615972639,0,0,3.73766961828337,0,4.02535169073515,0,0,0.693147180559945,0,0,3.73766961828337,0,0,0,0,0.693147180559945,0,5.30330490805908,0,3.76120011569356,0,4.70048036579242,0,0,0,0,3.87120101090789,3,5.04985600724954,6,3.66794
"67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1,0
"68",0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,1,0
"69",0,0,0,0.693147180559945,2.19722457733622,0.693147180559945,0,0,0,0,0,0,0,0,0,0,3.71357206670431,0,0,0,2.30258509299405,0,0,0,0.693147180559945,0,3.2188758248682,1.09861228866811,3.55534806148941,0,1,3.61091791264422,2,4.23984
"70",0,0,0,0,0,3.04452243772342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,1,0
"71",0,0,0,0,0,0,0,0,0,5.7037824746562,0,0,0,0,1.6094379124341,0,0,0,0,6.04500531403601,0,0,0,0,0,0.693147180559945,0,0,0,0,0,5.03695260241363,1,0
"72",4.04305126783455,0,0,0,0,0,0,1.6094379124341,0,0,0,0,0,0,1.09861228866811,0,0,0,1.09861228866811,0.693147180559945,0,3.3322045101752,0,0,0,4.07753744390572,0,0,0,0,0,3.91202300542815,1,1.5526
"73",0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0.693147180559945,0,0,0,1,0
"74",0,0,0,0,0,0,0.693147180559945,0,0,0,0,1.09861228866811,0,2.07944154167984,3.58351893845611,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,6.29894924685594,1,4.70953020131233,2,2.66716
"75",0,0,0,0,0,0,0,3.36729582998647,0,4.17438726989564,0,0,2.99573227355399,0,4.4188406077966,0,0,3.52636052461616,0,0.693147180559945,0.693147180559945,0,0,0,1.6094379124341,0,0,3.78418963391826,0,0,0,4.04305126783455,1,1.80545
"76",0,0,0,0,1.38629436111989,0,0,0.693147180559945,2.99573227355399,0,1.94591014905531,0,0.693147180559945,2.56494935746154,0,0,5.88332238848828,6.19440539110467,1.09861228866811,0,0,1.09861228866811,1.94591014905531,0,0,3.80666248977032,0,4.79579054559674,1.38629436111989,0,0,5.19849703126583,5,8.37205
"77",0,0,0,0,0,0,0,0,3.71357206670431,0,0,0,0,0,0,4.29045944114839,0,0,0,0,0,6.21260609575152,0,0,0,0,0,0,0,0,0,4.46590811865458,2,1.00337
"78",0,0,0,0,0.693147180559945,0,0,0,3.71357206670431,4.06044301054642,2.77258872223978,0,2.07944154167984,0,0,0,1.38629436111989,0,0,0,0.693147180559945,2.63905732961526,0,0,4.79579054559674,0,0,2.77258872223978,0,0,0,3.91202300542815,2,5.32311
"79",2.39789527279837,0,2.30258509299405,1.09861228866811,5.27811465923052,0,1.09861228866811,3.93182563272433,0,0,4.18965474202643,1.79175946922805,0,5.21493575760899,1.09861228866811,0,0,2.19722457733622,0,0,5.91620206260743,0,0,0,1.09861228866811,0,8.83535597112161,0,2.63905732961526,0,3,7.34213173058472,58,36.0219
"80",1.09861228866811,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,1,0
"81",0,0,0.693147180559945,0,0,4.14313472639153,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19722457733622,1,0
"82",0,0,0,1.94591014905531,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,1.09861228866811,0,0,6.77764659363512,3.78418963391826,0,0,0,2.70805020110221,0,0,5.15905529921453,2,3.61726
"83",0,1.09861228866811,0,2.30258509299405,4.31748811353631,0,0,3.55534806148941,0,0,0,0,3.17805383034795,0,0,0,0,0,0,0,3.91202300542815,2.484906649788,0,0,0,0,0,0,0,0,2,3.36729582998647,3,1.782
"84",0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"85",0,0,0,0.693147180559945,0,3.09104245335832,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07944154167984,0,0,0,0,0,0,0,1.6094379124341,1,0
"86",0,0,0,0,4.46590811865458,0,8.69918135930895,6.48004456192665,1.09861228866811,0,0,0,0,0,0,0,0,2.19722457733622,0,0,0,0,0,0,0,0,1.09861228866811,0,0,1.6094379124341,13,7.13169851046691,58,33.736
"87",0,0,0,4.90527477843843,0,0,0,0,0,0,0,6.36818718635049,3.97029191355212,0,1.6094379124341,0,0.693147180559945,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,1,5.23110861685459,2,7.2789
"88",4.83628190695148,1.94591014905531,0,2.77258872223978,0,1.09861228866811,0,1.94591014905531,0,0,0,0,0,0,2.94443897916644,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,3.43398720448515,0,3.36934
"89",0.693147180559945,0,0,0,0.693147180559945,0,0,2.39789527279837,0,0,0,0,4.34380542185368,0,0,0,0,2.484906649788,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94591014905531,1,2.99799
"90",0,0,0,0,0,4.20469261939097,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,2.30258509299405,1,0
"91",0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,0,0,6.24804287450843,0,0,0,5.45958551414416,0,0,0,0,2.70805020110221,0.693147180559945,0,0,0,0,0,4.98360662170834,1,0
"92",0,0,0,2.56494935746154,0,0.693147180559945,0,0,0,0,1.94591014905531,0,5.30330490805908,0,0,0,0,0,0,0,3.09104245335832,1.09861228866811,0,0,5.03043792139244,0,0,0,0,0,0,3.43398720448515,3,5.74218
"93",0,0,0,0,0,2.30258509299405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,2.07944154167984,1,0
"94",0,0,3.04452243772342,0,0,0,0,0,0,0,0,0,0,0,2.07944154167984,0,5.31320597904179,0,0,0.693147180559945,0,1.6094379124341,0,0.693147180559945,0,3.2188758248682,0,4.21950770517611,0,0,0,4.12713438504509,2,3.47713
"95",0,0,0,0,2.39789527279837,0,0,0,0,4.11087386417331,4.30406509320417,0,5.56068163101553,2.56494935746154,3.73766961828337,0,0,5.15329159449778,0,0,0,0,0,0,0,0,0,4.49980967033027,0,0,0,5.15329159449778,2,2.8028
"96",0,0,0,0,0,0,0,0,0,2.56494935746154,0,0,0,0,2.484906649788,0,4.48863636973214,0,0,0,0,2.484906649788,0,0,0,4.45434729625351,0,1.38629436111989,0,0,0,3.87120101090789,1,2.23731
"97",0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,5.41164605185504,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,6.89770494312864,4.24849524204936,5.63121178182137,0,4,5.51745289646471,13,19.4467
"98",0,0,0,0,0,4.26267987704132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.484906649788,1,0
"99",1.79175946922805,0,0,6.90875477931522,0,0,0,0,0.693147180559945,1.38629436111989,0,0,2.19722457733622,3.85014760171006,1.09861228866811,0,0,0,0,1.6094379124341,0.693147180559945,0,0,0,1.79175946922805,0,0,0,0,0,1,4.34380542185368,2,5.38882
"100",0,0.693147180559945,0,0,5.01063529409626,0,0,1.79175946922805,0,6.77422388635761,0,0,0,0,2.94443897916644,0,4.70953020131233,0,0,2.63905732961526,0,0,0,0,0,0,5.74620319054015,3.52636052461616,6.49978704065585,0,1,6.21860011969173,22,18.2652
"101",6.51767127291227,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73766961828337,0,0,0,0,3.40119738166216,0,0,1.09861228866811,0,0,0,0,1.79175946922805,0,0,0,4.80402104473326,2,7.71238
"102",0,0,0,0,1.79175946922805,3.25809653802148,0,0,0,0,0,0,2.30258509299405,0,0,0.693147180559945,0,0,0,0,2.83321334405622,0,0,0,0,1.79175946922805,0,2.484906649788,0,2.19722457733622,0,1.38629436111989,1,2.80848
"103",2.89037175789616,0,0,4.38202663467388,0,3.36729582998647,0,3.17805383034795,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,3.89182029811063,0,0,0,0,0,4.34380542185368,0,0,0,0,3.89182029811063,4,10.8639
"104",5.10594547390058,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,2.19722457733622,1.38629436111989,0,0,0,0,1.79175946922805,2.56494935746154,0,0,0,0,0,4.24849524204936,1,2.55158
"105",0,0.693147180559945,0,0.693147180559945,0,1.09861228866811,1.94591014905531,0,0,0,0,0,0,0,0,0,0,4.77912349311153,0,0,0,0,4.43081679884331,0,0,5.22035582507832,0,0,0,4.06044301054642,1,4.40671924726425,1,1.45568
"106",3.68887945411394,0,4.31748811353631,0.693147180559945,2.70805020110221,2.77258872223978,0,0,0.693147180559945,0,4.0943445622221,0,0,0,0,0,0,1.6094379124341,0,0,2.89037175789616,0,0,0,0,2.484906649788,0,0,0.693147180559945,4.45434729625351,2,4.64439089914137,5,11.0202
"107",0,0,0,0,0,3.97029191355212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94591014905531,1,0
"108",0,0,0,0,0,1.6094379124341,0,0,0,0,0,0,0,0,3.09104245335832,0,0,0,0,2.19722457733622,0,1.38629436111989,0,0,3.40119738166216,0,2.56494935746154,4.29045944114839,0,0.693147180559945,1,3.68887945411394,4,9.84115
"109",0,0,0,0,4.0943445622221,0,1.09861228866811,4.15888308335967,0,0,4.91265488573605,3.63758615972639,0,0,4.99721227376411,0,0,0.693147180559945,0,1.79175946922805,0,1.09861228866811,0,0,0,0,0,0,0,7.20042489294496,1,5.82008293035236,10,13.8863
"110",0,0,0,0,0,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,4.11087386417331,3.61091791264422,4.39444915467244,1.09861228866811,0,0,0,0,0,3.89182029811063,7,6.72719
"111",0,0,0,0,1.6094379124341,0,0,0,3.93182563272433,3.2188758248682,5.89989735358249,0,0,0.693147180559945,0,0,1.09861228866811,6.70318811324086,0,1.38629436111989,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,5.68697535633982,3,2.71633
"112",0,0,0,0,0.693147180559945,0,0.693147180559945,0.693147180559945,0,0,0,0,0,1.38629436111989,0,0,1.79175946922805,0,0,0,1.79175946922805,0,0,1.38629436111989,0,0,3.66356164612965,0,0,0,0,2.63905732961526,1,0
"113",0,0,2.07944154167984,0,2.77258872223978,3.71357206670431,0,0,0,0,0,2.484906649788,4.86753445045558,0,2.89037175789616,0,0,2.56494935746154,0,1.6094379124341,0,0,3.66356164612965,2.99573227355399,0,0.693147180559945,0,5.85507192220243,0,0,2,4.969813299576,3,5.55183
"114",0,0,0,2.30258509299405,0,2.19722457733622,0,0.693147180559945,0,0,5.82894561761021,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,6.33150184989369,2,4.89783979995091,3,5.71254
"115",0,0,0,0,0,0,0,0,0,0,0,4.47733681447821,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,5.02388052084628,0,1,3.8286413964891,1,3.38341
"116",0,0,0,0,0,0,0,2.77258872223978,0,0,6.36818718635049,0,0,0,0,0,0,4.969813299576,0,0,0,0,0,0,0,0,0,0,3.89182029811063,0,0,4.53259949315326,3,2.71633
"117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30258509299405,0,0,0,4.58496747867057,1.38629436111989,0,0,0,1.6094379124341,1,2.56494935746154,2,2.23731
"118",3.87120101090789,0,0,0,0,3.40119738166216,0,0.693147180559945,0,1.09861228866811,0,0,5.13579843705026,0,0,0,0,0,0,0,0,0.693147180559945,0,0.693147180559945,0,1.38629436111989,0,5.24174701505964,0,0,0,4.69134788222914,12,12.6435
"119",3.29583686600433,0,0,1.09861228866811,0.693147180559945,0,3.55534806148941,0,5.23644196282995,1.38629436111989,0,0,0,0,0,0,0.693147180559945,0,3.89182029811063,0,0,0,3.49650756146648,2.83321334405622,5.20948615284142,4.40671924726425,0.693147180559945,3.55534806148941,2.07944154167984,0,2,4.02535169073515,5,9.83384
