file,bug,loc,bf,hcm
org::eclipse::osgi::internal::module::ResolverExport,0,19,5,8.71607
org::eclipse::osgi::internal::resolver::StateObjectFactoryImpl,0,221,16,16.4888
org::eclipse::osgi::framework::internal::core::StartLevelManager,4,430,14,16.8929
org::eclipse::core::runtime::internal::adaptor::EclipseAppLauncher,0,100,6,7.43856
org::eclipse::osgi::framework::internal::core::Msg,1,0,7,10.0342
org::eclipse::osgi::internal::resolver::BundleDescriptionImpl,3,425,24,21.7572
org::eclipse::core::runtime::internal::adaptor::Locker_JavaIo,0,44,2,3.20237
org::eclipse::osgi::internal::resolver::StateMsg,1,0,8,10.6126
org::eclipse::osgi::framework::internal::core::BundleSource,0,10,0,3.36934
org::eclipse::osgi::storagemanager::StorageManager,1,503,3,5.51058
org::osgi::framework::FrameworkEvent,2,15,3,7.55192
org::eclipse::osgi::internal::resolver::StateDeltaImpl,1,95,4,8.38997
org::eclipse::osgi::framework::internal::core::SystemBundleActivator,1,55,2,5.57623
org::eclipse::osgi::framework::internal::core::AliasMapper,0,98,2,4.89304
org::eclipse::osgi::baseadaptor::bundlefile::DirBundleFile,0,62,3,5.00534
legacy::lazystart::b::excluded::a::BAExcluded,0,0,1,0
substitutes::y::Ly,0,0,1,0
org::eclipse::osgi::framework::internal::reliablefile::ReliableFileOutputStream,0,54,3,5.63536
org::eclipse::osgi::internal::module::VersionHashMap,2,63,5,11.4018
org::eclipse::osgi::framework::internal::core::MultiSourcePackage,1,31,5,6.46017
org::eclipse::osgi::internal::provisional::service::security::AuthorizationEvent,0,18,1,0
org::eclipse::core::runtime::internal::adaptor::EclipseCommandProvider,0,188,9,10.3796
org::eclipse::core::runtime::internal::stats::BundleStats,0,73,1,1.80545
legacy::lazystart::FalseExceptionLegacy2,0,3,1,0
org::osgi::service::permissionadmin::PermissionInfo,1,217,3,7.23572
org::eclipse::osgi::baseadaptor::bundlefile::MRUBundleFileList,1,125,4,10.1322
org::eclipse::core::runtime::internal::adaptor::PluginParser,1,403,4,8.19537
osgi::lazystart::c::excluded::b::CBExcluded,0,0,1,0
org::eclipse::osgi::tests::bundles::BundleInstaller,3,155,6,3.66794
substitutes::y::Jy,0,0,1,0
host::multiple::exports::PublicClass2,0,0,1,0
org::eclipse::osgi::internal::resolver::VersionConstraintImpl,1,36,2,4.23984
org::eclipse::osgi::framework::eventmgr::EventThread,0,70,1,1.56389
legacy::lazystart::SimpleLegacy,0,3,1,0
org::eclipse::osgi::internal::signedcontent::Base64,0,153,1,0
org::eclipse::osgi::internal::baseadaptor::BasePermissionStorage,0,49,1,1.5526
host::multiple::exports::PrivateClass2,0,0,1,0
org::eclipse::osgi::framework::internal::core::ServiceRegistryImpl,1,110,2,2.66716
org::eclipse::core::runtime::internal::stats::ResourceBundleStats,0,56,1,1.80545
org::eclipse::core::runtime::internal::adaptor::EclipseClassLoadingHook,0,180,5,8.37205
org::eclipse::osgi::internal::signedcontent::SignedContentImpl,0,86,2,1.00337
org::eclipse::osgi::baseadaptor::bundlefile::BundleEntry,0,49,2,5.32311
org::eclipse::osgi::internal::module::ResolverImpl,3,1543,58,36.0219
osgi::lazystart::c::excluded::a::CAExcluded,0,0,1,0
nativetest::c::Activator,0,8,1,0
org::eclipse::osgi::framework::internal::protocol::MultiplexingURLStreamHandler,0,173,2,3.61726
org::eclipse::osgi::service::resolver::DisabledInfo,2,28,3,1.782
substitutes::q::AFq,0,0,1,0
legacy::lazystart::TrueExceptionLegacy1,0,4,1,0
org::eclipse::osgi::framework::internal::core::Framework,13,1250,58,33.736
org::osgi::service::condpermadmin::ConditionInfo,1,186,2,7.2789
org::eclipse::osgi::framework::internal::core::PermissionsHash,0,30,0,3.36934
org::eclipse::osgi::service::pluginconversion::PluginConversionException,0,6,1,2.99799
nativetest::b1::Activator,0,9,1,0
org::eclipse::osgi::internal::signedcontent::BERProcessor,0,145,1,0
org::eclipse::osgi::framework::log::FrameworkLogEntry,0,30,3,5.74218
exporter::importer::Activator,0,7,1,0
org::eclipse::osgi::internal::baseadaptor::DevClassLoadingHook,0,61,2,3.47713
org::eclipse::core::runtime::internal::stats::ClassloaderStats,0,172,2,2.8028
org::eclipse::core::runtime::internal::adaptor::ClasspathManifest,0,47,1,2.23731
org::eclipse::osgi::internal::resolver::StateHelperImpl,4,248,13,19.4467
circularity::test::a::Activator,0,11,1,0
org::osgi::framework::PackagePermission,1,76,2,5.38882
org::eclipse::osgi::internal::resolver::StateWriter,1,501,22,18.2652
org::eclipse::osgi::framework::internal::core::FrameworkSecurityManager,0,121,2,7.71238
org::eclipse::core::runtime::internal::adaptor::BundleLocalizationImpl,0,3,1,2.80848
org::eclipse::osgi::internal::module::PermissionChecker,0,48,4,10.8639
org::eclipse::osgi::framework::internal::core::SecurePermissionStorage,0,69,1,2.55158
org::eclipse::core::runtime::internal::adaptor::EclipseLogHook,1,81,1,1.45568
org::eclipse::osgi::framework::internal::core::SystemBundle,2,103,5,11.0202
chain::test::c::Activator,0,6,1,0
org::eclipse::osgi::framework::internal::core::PackageSource,1,39,4,9.84115
org::eclipse::osgi::framework::internal::core::ServiceRegistrationImpl,1,336,10,13.8863
org::eclipse::osgi::framework::internal::protocol::reference::ReferenceURLConnection,0,48,7,6.72719
org::eclipse::osgi::internal::profile::DefaultProfileLogger,0,294,3,2.71633
org::eclipse::osgi::internal::module::GenericCapability,0,13,1,0
org::eclipse::osgi::framework::internal::core::PolicyHandler,2,143,3,5.55183
org::eclipse::osgi::framework::internal::core::ServiceUse,2,133,3,5.71254
org::eclipse::osgi::internal::resolver::BundleDeltaImpl,1,45,1,3.38341
org::eclipse::osgi::internal::profile::Profile,0,92,3,2.71633
org::eclipse::core::runtime::internal::adaptor::URLConverterImpl,1,12,2,2.23731
org::eclipse::core::runtime::internal::adaptor::ContextFinder,0,108,12,12.6435
org::eclipse::osgi::baseadaptor::bundlefile::BundleFile,2,55,5,9.83384
legacy::lazystart::c::Activator,0,6,1,0
chain::test::b::BChain,0,0,1,0
ext::extclasspath::a::importer::Activator,0,15,1,1.11258
org::eclipse::osgi::internal::signedcontent::TrustEngineListener,1,130,3,1.53632
substitutes::x::Ax,0,0,1,0
org::eclipse::osgi::internal::resolver::BaseDescriptionImpl,1,14,1,3.66738
org::eclipse::core::runtime::internal::adaptor::EclipseLazyStarter,1,196,5,7.90097
org::eclipse::core::runtime::adaptor::LocationManager,2,244,20,15.1537
org::eclipse::osgi::internal::signedcontent::PKCS7Processor,1,369,1,0
org::eclipse::osgi::internal::signedcontent::SignatureBlockProcessor,1,399,1,0
org::eclipse::osgi::framework::internal::protocol::MultiplexingFactory,0,94,1,1.27192
org::eclipse::core::runtime::internal::adaptor::EclipseEnvironmentInfo,0,160,6,3.20728
org::eclipse::osgi::internal::signedcontent::BundleInstallListener,0,19,2,0.816746
org::eclipse::core::runtime::internal::adaptor::Semaphore,0,28,2,2.99956
osgi::lazystart::LazyExclude1,0,4,1,0
substitutes::x::Nx,0,0,1,0
osgi::lazystart::b::excluded::b::BBExcluded,0,0,1,0
org::eclipse::equinox::launcher::WebStartMain,1,198,7,7.74631
org::eclipse::core::runtime::internal::adaptor::LocationHelper,0,27,0,0
org::eclipse::core::runtime::internal::adaptor::DefaultStartupMonitor,0,32,2,1.23279
org::eclipse::osgi::framework::internal::protocol::ContentHandlerFactory,0,107,9,12.8303
osgi::lazystart::c::Activator,0,6,1,0
org::eclipse::osgi::framework::internal::core::BundleResourceHandler,2,210,5,11.2716
org::eclipse::osgi::framework::internal::core::BundleHost,7,456,29,25.1033
org::eclipse::core::runtime::internal::adaptor::BasicLocation,2,140,5,5.09245
org::eclipse::osgi::internal::resolver::GenericDescriptionImpl,1,30,1,0
org::eclipse::osgi::framework::internal::core::FrameworkCommandProvider,5,1434,13,20.7622
osgi::lazystart::LazyInclude1,0,4,1,0
org::eclipse::osgi::framework::internal::core::FrameworkCommandInterpreter,0,289,4,11.5097
org::eclipse::osgi::internal::baseadaptor::SystemBundleData,2,138,3,3.74492
org::eclipse::osgi::internal::baseadaptor::BundleUpdate,0,97,1,2.23731
org::eclipse::osgi::internal::resolver::StateReader,2,596,20,21.5348
org::eclipse::osgi::internal::signedcontent::SignedBundleFile,0,124,3,1.38948
org::eclipse::osgi::framework::internal::core::ConditionalPermissionInfoImpl,0,182,9,12.3019
org::eclipse::osgi::internal::signedcontent::SignedContentMessages,0,0,2,0.894814
org::eclipse::osgi::framework::eventmgr::EventListeners,2,88,2,7.82058
xfriends::test3::Activator,0,15,1,0
org::eclipse::osgi::util::NLS,0,214,5,9.49506
org::eclipse::osgi::framework::debug::Debug,0,33,6,9.9193
org::eclipse::osgi::framework::internal::core::PackageAdminImpl,7,535,40,27.5814
org::eclipse::osgi::internal::baseadaptor::BaseHookConfigurator,0,7,2,2.7276
org::eclipse::osgi::baseadaptor::bundlefile::ZipBundleFile,1,231,6,10.7773
substitutes::y::By,0,0,1,0
substitutes::x::Lx,0,0,1,0
osgi::lazystart::b::excluded::a::BAExcluded,0,0,1,0
org::eclipse::osgi::framework::internal::core::BundleLoader,4,862,45,27.0966
org::eclipse::osgi::framework::internal::core::ExportedPackageImpl,1,61,4,8.59336
org::eclipse::osgi::framework::internal::protocol::URLStreamHandlerProxy,0,110,4,6.60072
org::osgi::framework::InvalidSyntaxException,2,14,3,8.29275
org::eclipse::osgi::baseadaptor::loader::ClasspathManager,1,393,9,10.4053
org::eclipse::osgi::framework::internal::core::SystemBundleLoader,1,112,3,6.22347
org::eclipse::osgi::internal::baseadaptor::AdaptorUtil,2,169,3,7.01743
org::eclipse::osgi::framework::util::SecureAction,1,200,6,15.226
org::eclipse::osgi::framework::internal::protocol::reference::Handler,0,13,0,3.36934
org::eclipse::osgi::baseadaptor::loader::FragmentClasspath,0,23,2,4.04276
org::eclipse::osgi::framework::internal::core::AbstractBundle,10,712,28,30.3698
org::eclipse::osgi::framework::internal::reliablefile::ReliableFileInputStream,0,54,3,5.63536
host::multiple::exports::onlyone::PublicClass1,0,0,1,0
substitutes::z::Ez,0,0,1,0
substitutes::x::Jx,0,0,1,0
org::eclipse::osgi::internal::baseadaptor::BundleInstall,0,89,1,2.23731
nativetest::a2::Activator,0,9,1,0
org::eclipse::osgi::framework::internal::core::BundleCombinedPermissions,0,63,3,8.89851
org::eclipse::osgi::tests::appadmin::FailedApp,0,6,1,0
client2::multiple::exports::Activator,0,26,1,0
org::eclipse::osgi::internal::provisional::service::security::AuthorizationStatus,0,0,1,0
org::eclipse::core::runtime::adaptor::EclipseStarter,4,1217,78,38.2812
org::eclipse::osgi::service::resolver::VersionRange,1,81,1,6.91692
org::eclipse::osgi::internal::module::GroupingChecker,0,130,9,16.5442
org::eclipse::core::runtime::internal::adaptor::EclipseErrorHandler,1,68,1,2.23731
legacy::lazystart::TrueExceptionLegacy2,0,3,1,0
org::eclipse::osgi::baseadaptor::bundlefile::ZipBundleEntry,1,45,4,7.8367
org::osgi::framework::BundleException,2,13,3,7.23232
org::eclipse::osgi::framework::internal::core::SystemPolicy,1,48,1,1.28035
org::eclipse::osgi::framework::util::Headers,1,103,5,8.96461
org::eclipse::osgi::framework::internal::core::PermissionAdminImpl,0,318,14,12.9001
org::eclipse::osgi::internal::baseadaptor::InvalidVersion,0,10,1,4.6384
substitutes::y::My,0,0,1,0
org::eclipse::osgi::internal::resolver::ComputeNodeOrder,0,47,3,5.37258
org::eclipse::osgi::framework::util::KeyedHashSet,0,285,2,4.04276
chain::test::b::Activator,0,6,1,0
org::eclipse::osgi::internal::resolver::UserState,1,33,3,4.60695
org::eclipse::osgi::internal::signedcontent::SignedBundleHook,2,203,4,2.6703
org::eclipse::core::runtime::internal::adaptor::PluginConverterImpl,0,610,11,11.7006
org::eclipse::osgi::internal::resolver::HostSpecificationImpl,1,33,3,5.41761
org::osgi::framework::BundlePermission,1,90,4,9.006
org::eclipse::osgi::internal::signedcontent::LegacyVerifierFactory,1,10,1,0
org::eclipse::osgi::framework::internal::core::GlobalPolicy,1,38,3,4.27148
org::eclipse::osgi::framework::internal::core::BundleContextImpl,4,654,11,15.07
legacy::lazystart::b::Activator,0,6,1,0
org::eclipse::osgi::framework::debug::FrameworkDebugOptions,0,108,2,2.90044
org::eclipse::osgi::internal::module::ResolverConstraint,0,97,5,5.80382
org::eclipse::osgi::internal::module::MappedList,1,44,0,0
org::eclipse::osgi::framework::internal::protocol::URLStreamHandlerSetter,0,6,0,3.36934
org::eclipse::osgi::framework::internal::core::SingleSourcePackage,1,28,3,6.16292
org::osgi::framework::FrameworkUtil,2,4,4,5.15419
org::eclipse::osgi::framework::internal::core::ManifestLocalization,2,134,7,6.72772
org::eclipse::core::runtime::internal::adaptor::EclipseAdaptorHook,3,124,5,6.31789
org::eclipse::osgi::framework::internal::core::Constants,2,6,18,16.069
org::osgi::service::condpermadmin::BundleLocationCondition,1,59,3,6.88373
org::eclipse::osgi::internal::service::security::DefaultAuthorizationEngine,0,77,6,4.27896
org::eclipse::osgi::internal::signedcontent::SignedStorageHook,1,209,1,0
org::eclipse::osgi::framework::internal::core::FrameworkConsole,3,208,16,17.6953
org::eclipse::osgi::framework::internal::protocol::ContentHandlerProxy,0,79,4,6.60072
org::eclipse::osgi::internal::resolver::ResolverErrorImpl,1,52,6,6.22082
substitutes::y::Ky,0,0,1,0
org::osgi::framework::AdminPermission,4,246,7,13.805
org::eclipse::osgi::internal::signedcontent::SignerInfoImpl,0,45,1,0
org::eclipse::core::launcher::Main,0,3,1,1.69869
org::eclipse::osgi::baseadaptor::BaseData,3,248,7,8.65833
osgi::lazystart::b::Activator,0,6,1,0
org::eclipse::osgi::framework::adaptor::BundleProtectionDomain,0,3,0,6.55322
org::eclipse::osgi::framework::adaptor::FilePath,0,141,1,2.75305
org::eclipse::osgi::internal::baseadaptor::DevClassPathHelper,0,25,1,1.5526
osgi::lazystart::LazyExclude2,0,3,1,0
org::eclipse::osgi::baseadaptor::BaseAdaptor,2,252,4,5.08544
org::eclipse::osgi::internal::resolver::ImportPackageSpecificationImpl,1,128,6,12.9885
org::eclipse::osgi::framework::internal::core::FilteredSourcePackage,1,66,3,6.16292
org::eclipse::osgi::internal::resolver::NativeCodeSpecificationImpl,1,117,4,3.68818
org::osgi::framework::BundleEvent,1,11,4,8.82648
org::eclipse::osgi::internal::baseadaptor::BundleUninstall,0,21,1,1.5526
org::eclipse::osgi::internal::resolver::NativeCodeDescriptionImpl,2,142,1,0
org::eclipse::osgi::internal::baseadaptor::BaseStorage,3,1041,18,20.3646
org::eclipse::osgi::framework::internal::protocol::bundleresource::Handler,0,22,3,6.22636
org::osgi::framework::Version,1,130,3,6.87477
xfriends::test2::Activator,0,15,1,0
org::eclipse::osgi::storagemanager::ManagedOutputStream,1,37,2,3.24068
org::eclipse::osgi::baseadaptor::loader::ClasspathEntry,0,24,2,4.04276
org::eclipse::osgi::framework::internal::core::Util,0,99,1,3.36934
osgi::lazystart::LazyInclude2,0,3,1,0
chain::test::a::AChain,0,0,1,0
org::eclipse::osgi::internal::resolver::ReadOnlyState,1,114,13,16.3188
substitutes::y::Iy,0,0,1,0
client1::multiple::exports::Activator,0,26,1,0
org::eclipse::osgi::internal::module::ResolverImport,0,17,3,6.42741
org::eclipse::osgi::framework::internal::protocol::NullURLStreamHandlerService,0,30,0,3.36934
org::eclipse::osgi::framework::internal::core::FilteredServiceListener,1,54,2,4.65896
org::eclipse::core::runtime::adaptor::EclipseLog,0,424,18,14.3621
org::eclipse::osgi::internal::baseadaptor::StateManager,1,114,4,5.64169
org::eclipse::osgi::baseadaptor::HookRegistry,0,144,4,5.67634
org::eclipse::osgi::service::security::TrustEngine,0,16,3,2.28372
org::eclipse::osgi::framework::internal::core::BundleLoaderProxy,1,159,16,17.541
org::eclipse::osgi::util::ManifestElement,0,257,5,9.68165
org::eclipse::osgi::framework::internal::core::RegisteredPolicy,1,86,3,4.27148
org::eclipse::osgi::framework::eventmgr::ListenerQueue,1,47,1,6.81721
org::eclipse::core::runtime::internal::adaptor::EclipseStorageHook,3,367,5,7.23456
org::osgi::service::url::AbstractURLStreamHandlerService,1,28,1,4.35837
org::eclipse::osgi::framework::internal::core::OSGi,1,31,0,6.12239
test1::Activator,0,6,1,0
nativetest::a1::Activator,0,9,1,0
org::eclipse::osgi::internal::signedcontent::SignedContentFile,0,56,1,0
org::eclipse::equinox::launcher::JNIBridge,0,94,4,4.53581
org::eclipse::core::runtime::internal::adaptor::MessageHelper,0,28,0,0
substitutes::x::Bx,0,0,1,0
org::eclipse::osgi::framework::internal::core::ConditionalPermissions,0,148,8,9.10093
legacy::lazystart::c::excluded::b::CBExcluded,0,0,1,0
org::eclipse::osgi::internal::module::GenericConstraint,0,25,2,1.03146
org::eclipse::osgi::framework::internal::core::NullPackageSource,1,31,1,7.55094
org::eclipse::osgi::internal::resolver::StateImpl,8,705,46,30.7015
org::eclipse::osgi::internal::service::security::KeyStoreTrustEngine,0,177,4,2.95723
org::osgi::service::condpermadmin::BundleSignerCondition,1,13,3,7.35911
chain::test::a::Activator,0,6,1,0
org::eclipse::osgi::framework::internal::core::BundleFragment,4,186,7,9.22487
org::eclipse::osgi::framework::internal::core::BundleURLConnection,0,71,2,4.83075
org::eclipse::osgi::framework::internal::protocol::StreamHandlerFactory,1,122,9,14.9282
org::eclipse::osgi::framework::internal::protocol::MultiplexingContentHandler,0,11,1,1.27192
org::eclipse::osgi::framework::internal::core::ParentPolicy,1,12,1,0
org::eclipse::osgi::framework::internal::core::Tokenizer,0,95,1,1.80545
org::eclipse::osgi::framework::eventmgr::ListElement,0,4,1,1.56389
org::eclipse::osgi::framework::eventmgr::EventManager,2,39,5,9.77668
legacy::lazystart::a::Activator,0,6,1,0
org::eclipse::osgi::internal::baseadaptor::AdaptorMsg,0,0,2,6.45874
thread::locktest::Activator,0,21,1,0
legacy::lazystart::FalseExceptionLegacy1,0,4,1,0
legacy::lazystart::c::excluded::a::CAExcluded,0,0,1,0
org::eclipse::osgi::framework::internal::protocol::bundleentry::Handler,0,11,2,6.22636
org::eclipse::core::runtime::internal::adaptor::CachedManifest,0,107,6,6.36008
org::eclipse::osgi::signedcontent::InvalidContentException,0,10,3,2.28372
org::eclipse::osgi::framework::internal::core::FilterImpl,5,1003,5,13.1284
org::eclipse::osgi::internal::resolver::ExportPackageDescriptionImpl,1,90,4,8.36608
host::multiple::exports::PublicClass1,0,0,1,0
org::eclipse::osgi::internal::provisional::service::security::AuthorizationEngine,1,20,1,0
org::eclipse::osgi::internal::signedcontent::DigestedInputStream,0,57,1,0
org::eclipse::osgi::internal::resolver::StateBuilder,2,516,21,19.6679
org::eclipse::core::runtime::internal::stats::ClassStats,0,64,1,1.80545
host::multiple::exports::PrivateClass1,0,0,1,0
org::eclipse::osgi::internal::resolver::BundleSpecificationImpl,1,25,1,5.0342
org::eclipse::osgi::framework::internal::core::ConditionalPermissionAdminImpl,0,116,6,9.696
org::eclipse::osgi::framework::internal::core::ReferenceInputStream,0,9,1,1.80545
osgi::lazystart::a::Activator,0,6,1,0
org::eclipse::osgi::internal::signedcontent::DNChainMatching,0,262,1,0
org::eclipse::core::runtime::internal::adaptor::EclipseAdaptorMsg,0,0,2,4.65956
org::eclipse::osgi::internal::baseadaptor::BaseClassLoadingHook,1,78,3,5.27095
org::eclipse::osgi::baseadaptor::bundlefile::NestedDirBundleFile,1,37,2,4.04276
org::eclipse::osgi::framework::launcher::Launcher,1,200,4,13.0076
org::eclipse::osgi::framework::internal::core::ServiceReferenceImpl,1,116,4,7.69165
org::eclipse::osgi::baseadaptor::bundlefile::FileBundleEntry,0,26,2,4.04276
fragment::test::attach::host::a::Activator,0,6,1,0
org::osgi::util::tracker::ServiceTracker,1,285,8,11.9562
org::eclipse::osgi::framework::internal::core::BundleRepository,1,111,3,9.88616
org::eclipse::osgi::internal::module::ResolverBundle,1,513,18,26.2611
substitutes::x::Mx,0,0,1,0
substitutes::q::BFq,0,0,1,0
org::eclipse::osgi::internal::baseadaptor::BaseStorageHook,4,332,10,14.9649
