"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90"
"11","dir","map","insert","offset","op","str","acronym","use","hyphenation","settings","set","jjmatched","document","s","eights","htmlparser","field","analysis","queries","index","ket","kind","current","fg","open","print","format","stream","match","length","exception","open","sb","startline","tokened","time","null","locale","applicable","query","tr","map","var","count","code","passed","length","stem","similarity","set","key","comparator","shorter","true","inspected","exception","index","priority","list","offset","lucene","max","made","index","m","wikipedia","suggest","doc","shift","exception","frequency","calendar","parser","minimum","transform","code","orig","binary","ioexception","help","store","null","vint","map","segment","string","phrase","operator","item","exists"
"12","log","terms","ternary","end","lucene","lower","lucene","infos","flags","m","dirty","jjnew","ioexception","unicode","csa","text","fields","reusable","doc","replace","consonant","text","always","bg","lock","fix","property","builds","bitmask","string","e","place","df","startcolumn","java","sleep","o","order","compliance","field","b","fieldable","b","write","field","search","doc","org","next","org","array","close","abs","false","buffer","reader","ioexception","page","match","norms","value","hit","ant","tvx","word","start","sug","auto","zero","attribute","fields","flags","sequences","base","maps","result","cfsreader","vector","order","id","threads","exception","set","hash","doc","reader","block","image","out","files"
"13","step","factory","t","start","tasks","ignore","filter","factor","hyphen","weight","add","jjstate","hash","offset","n","comment","posting","filter","apache","lang","chain","image","equality","highlight","ioexception","check","rate","word","tree","null","name","sorted","str","column","f","items","hash","reverse","permissions","listener","center","memory","del","stream","append","ioexception","ti","java","prohibited","ioexception","input","parse","though","term","adjustment","null","system","standard","next","false","val","weight","points","names","c","scanner","ng","false","pos","node","string","t","line","length","doc","buffer","seek","data","j","foundation","buffered","adjust","length","iter","ensure","boost","pos","fuzzy","elements","fsdirectory"
"14","output","settings","hyphenation","fragmenter","reported","false","replace","writer","local","rows","similarity","move","array","ch","ntz","space","documents","next","lucene","suffix","false","line","further","buffer","analyzer","exit","number","result","th","replace","locking","logical","files","bufline","lis","filters","search","p","implied","lucene","ndash","boost","mark","delete","text","ids","pos","exclusion","counting","lucene","cursor","custom","identical","stemmed","cap","feeds","bytes","threads","exclude","fi","description","searchables","e","count","xe","type","words","link","count","e","percent","use","constructor","ln","value","searcher","shift","null","comparators","methods","writer","less","code","tf","deleted","index","type","clauses","strkey","close"
"15","count","set","cur","param","string","sequence","org","spec","parser","maximum","lucene","stream","fp","start","word","lookahead","count","param","org","substring","c","argument","matches","substring","level","result","array","e","set","preceded","release","chained","gmt","num","ascii","table","ioexception","sorted","conditions","searching","idf","searcher","delete","read","name","true","stream","bit","optional","param","clone","reader","fail","set","tee","set","current","m","more","string","cached","queue","lucene","fields","acute","input","searcher","p","last","name","mlt","deprecated","ch","code","dispatch","reader","arraycopy","reader","cache","iterator","id","object","increments","next","option","add","slice","next","n","code"
"16","options","target","patterns","encoder","perf","next","invalid","mb","ex","spacer","hash","cnt","abort","end","low","name","list","term","source","br","before","java","end","text","link","lucene","col","wordlist","start","o","access","xor","name","encoding","href","up","equals","sorting","copy","changed","table","array","literal","ref","compare","null","buffer","exclusionlist","minimum","apache","txn","terms","exists","y","x","title","file","apache","cell","offsets","arr","hq","classname","num","b","error","description","message","sets","domutils","param","source","image","x","document","append","mask","format","fj","indexed","block","unsupported","ignore","t","null","list","length","true","pointer","create"
"17","set","ordered","string","contiguous","println","tlist","reader","deletions","classes","size","null","nfa","stored","uni","y","thread","num","null","similarity","java","harmony","tokenize","freeing","total","io","doc","props","standard","j","ir","wait","obj","length","max","err","timestamp","object","document","express","document","small","load","g","policy","h","used","current","stemmer","first","iterator","name","array","calling","found","d","apache","offset","lucene","reader","position","parser","j","verbose","format","xf","tokenizer","distance","true","end","analyzer","freq","greedy","lexical","sqrt","lo","set","bit","input","fi","commands","flushed","remote","deletions","code","n","q","size","prefix","ks","instance"
"18","true","field","hi","frags","mem","len","apache","message","exceptions","f","util","active","fieldable","vint","two","piped","raw","org","scores","count","true","one","resources","b","low","snapshot","value","make","f","step","java","vint","buf","n","pre","wrapper","parser","auto","licensed","writer","freq","null","backward","exception","terms","given","number","null","current","offset","payload","put","method","strings","append","org","pos","org","first","index","font","collector","many","j","x","action","tidy","flush","one","span","text","s","method","norm","true","scorer","put","exception","comparable","current","write","operation","p","last","corrupt","slop","positions","goop","balanced","store"
"19","tasks","apache","c","group","system","user","reusable","j","j","prefix","processing","literal","org","offsets","f","ioexception","abort","tokenizer","variants","c","org","next","gcjindex","original","error","status","num","stoptable","end","lenght","id","equal","yyyy","buffersize","s","cleaner","p","score","law","clear","payload","println","eq","null","string","","payloads","util","skip","start","target","inherit","similiar","prefix","current","val","b","total","include","param","warning","total","prefix","name","y","tok","dictionary","optimize","cost","dom","ignored","load","column","math","find","match","array","size","entry","line","blocks","sti","integers","freqs","norm","set","p","parser","li","set"
"20","files","current","x","string","elapsed","count","streams","last","handler","ignoring","clone","token","count","d","offset","e","next","lucene","q","s","check","regular","subclass","formatter","obtain","count","perf","loader","l","iras","failed","object","util","stream","g","thread","link","array","copyright","hits","values","debug","e","deletion","equals","array","data","german","matchers","size","e","termval","everytime","test","arr","reset","chars","ir","ioexception","document","ord","ioexception","lookup","check","s","marked","line","corrupt","f","w","maximum","instead","length","hyper","allowed","add","cv","value","lookup","map","wait","peek","called","entry","read","array","buffers","kind","stack","ensure"
