"file","bf","hcm","bug","V1","V2","V3","V4","V5","loc"
"org::apache::lucene::analysis::compound::hyphenation::TernaryTree",1,1.18716,0,30,69,209,998,157,267
"org::apache::lucene::analysis::compound::HyphenationCompoundWordTokenFilter",1,1.18716,0,33,0,0,632,26,81
"org::apache::lucene::analysis::cz::CzechAnalyzer",0,0,0,34,228,4,337,0,35
"org::apache::lucene::analysis::de::GermanAnalyzer",0,0,0,108,23,0,229,2,14
"org::apache::lucene::analysis::de::GermanStemFilter",0,0,0,129,29,0,36,0,29
"org::apache::lucene::analysis::de::GermanStemmer",0,0,0,39,152,0,441,9,171
"org::apache::lucene::analysis::el::GreekAnalyzer",2,2.5984,0,0,19,3,497,55,25
"org::apache::lucene::analysis::el::GreekCharsets",1,2.5984,0,0,0,0,780,30,225
"org::apache::lucene::analysis::el::GreekLowerCaseFilter",2,4.01034,0,19,0,0,78,44,19
"org::apache::lucene::analysis::fr::ElisionFilter",3,4.42816,0,143,1,0,123,0,40
"org::apache::lucene::analysis::fr::FrenchAnalyzer",0,0,0,107,115,0,305,0,19
"org::apache::lucene::analysis::fr::FrenchStemFilter",0,1.25878,0,98,30,0,53,0,29
"org::apache::lucene::analysis::fr::FrenchStemmer",0,0,0,165,688,0,880,0,482
"org::apache::lucene::analysis::ISOLatin1AccentFilter",0,1.97962,0,8,122,0,449,0,216
"org::apache::lucene::analysis::KeywordAnalyzer",0,3.22194,0,27,0,0,40,3,12
"org::apache::lucene::analysis::KeywordTokenizer",0,2.61865,0,25,0,0,74,0,30
"org::apache::lucene::analysis::LengthFilter",0,0,0,26,0,0,71,0,19
"org::apache::lucene::analysis::LetterTokenizer",0,1.64243,0,5,0,0,55,0,6
"org::apache::lucene::analysis::LowerCaseFilter",2,4.2341,0,25,0,0,39,0,17
"org::apache::lucene::analysis::LowerCaseTokenizer",0,1.64243,0,16,0,0,57,0,6
"org::apache::lucene::analysis::miscellaneous::EmptyTokenStream",2,2.35699,0,29,0,1,9,0,4
"org::apache::lucene::analysis::miscellaneous::PrefixAndSuffixAwareTokenFilter",2,2.35699,0,50,23,3,141,0,32
"org::apache::lucene::analysis::miscellaneous::PrefixAwareTokenFilter",2,2.35699,0,84,33,5,150,0,63
"org::apache::lucene::analysis::miscellaneous::SingleTokenTokenStream",2,2.35699,0,22,0,0,63,0,21
"org::apache::lucene::analysis::ngram::EdgeNGramTokenFilter",3,3.46561,1,30,0,0,281,125,45
"org::apache::lucene::analysis::ngram::EdgeNGramTokenizer",3,5.37625,0,15,0,0,253,129,34
"org::apache::lucene::analysis::ngram::NGramTokenFilter",3,4.10317,1,32,0,0,149,68,32
"org::apache::lucene::analysis::ngram::NGramTokenizer",3,4.74253,0,0,0,0,123,100,27
"org::apache::lucene::analysis::nl::DutchAnalyzer",0,0,0,148,96,0,240,0,31
"org::apache::lucene::analysis::nl::DutchStemFilter",0,0,0,129,46,0,62,0,33
"org::apache::lucene::analysis::nl::DutchStemmer",0,0,0,48,275,0,490,14,289
"org::apache::lucene::analysis::nl::WordlistLoader",0,0,0,38,12,0,270,0,51
"org::apache::lucene::analysis::payloads::NumericPayloadTokenFilter",2,3.37826,0,110,0,0,0,0,14
"org::apache::lucene::analysis::payloads::PayloadHelper",1,1.29819,0,34,0,30,32,0,18
"org::apache::lucene::analysis::payloads::TokenOffsetPayloadTokenFilter",2,2.71012,0,55,0,0,61,0,15
"org::apache::lucene::analysis::payloads::TypeAsPayloadTokenFilter",2,2.76004,0,66,0,0,37,0,12
"org::apache::lucene::analysis::PerFieldAnalyzerWrapper",2,6.08433,0,235,0,9,0,5,30
"org::apache::lucene::analysis::PorterStemFilter",2,4.2341,0,32,18,2,78,4,14
"org::apache::lucene::analysis::PorterStemmer",1,2.99922,0,0,502,0,516,31,312
"org::apache::lucene::analysis::query::QueryAutoStopWordAnalyzer",2,2.58708,0,443,0,16,292,15,43
"org::apache::lucene::analysis::ru::RussianAnalyzer",0,0,0,15,61,0,507,0,26
"org::apache::lucene::analysis::ru::RussianCharsets",0,0,0,0,64,0,331,0,41
"org::apache::lucene::analysis::ru::RussianLetterTokenizer",0,0,0,5,0,0,86,0,14
"org::apache::lucene::analysis::ru::RussianLowerCaseFilter",0,0,0,13,0,0,86,0,19
"org::apache::lucene::analysis::ru::RussianStemFilter",0,0,0,61,21,0,66,0,22
"org::apache::lucene::analysis::ru::RussianStemmer",0,0,0,0,696,0,399,41,173
"org::apache::lucene::analysis::shingle::ShingleAnalyzerWrapper",1,2.08776,0,157,0,0,0,48,23
"org::apache::lucene::analysis::shingle::ShingleFilter",2,3.4997,0,362,0,1,371,0,141
"org::apache::lucene::analysis::shingle::ShingleMatrixFilter",2,3.59553,0,2212,0,24,626,31,276
"org::apache::lucene::analysis::SimpleAnalyzer",1,2.82217,0,32,0,1,31,0,12
"org::apache::lucene::analysis::sinks::DateRecognizerSinkTokenizer",2,2.76004,0,0,0,0,81,151,19
"org::apache::lucene::analysis::sinks::TokenRangeSinkTokenizer",1,1.3481,0,24,0,0,38,17,14
"org::apache::lucene::analysis::sinks::TokenTypeSinkTokenizer",2,2.76004,0,58,0,0,29,13,10
"org::apache::lucene::analysis::SinkTokenizer",2,5.30545,0,110,0,0,74,58,28
"org::apache::lucene::analysis::snowball::SnowballAnalyzer",0,0,0,56,18,0,82,1,13
"org::apache::lucene::analysis::snowball::SnowballFilter",0,0,0,77,60,0,50,0,23
"org::apache::lucene::analysis::standard::StandardAnalyzer",6,10.68,0,59,8,0,742,8,48
"org::apache::lucene::analysis::standard::StandardFilter",3,4.2341,0,43,0,0,125,0,32
"org::apache::lucene::analysis::standard::StandardTokenizer",8,9.37718,1,149,0,0,407,7,62
"org::apache::lucene::analysis::standard::StandardTokenizerImpl",5,6.01329,0,82,0,116,1243,0,271
"org::apache::lucene::analysis::StopAnalyzer",1,6.50047,0,34,0,0,194,0,17
"org::apache::lucene::analysis::StopFilter",6,11.0402,0,213,0,0,274,0,36
"org::apache::lucene::analysis::TeeTokenFilter",2,4.01909,0,37,0,1,105,64,10
"org::apache::lucene::analysis::th::ThaiAnalyzer",2,2.26754,0,14,0,0,58,70,7
"org::apache::lucene::analysis::th::ThaiWordFilter",3,3.67948,0,57,0,2,141,57,39
"org::apache::lucene::analysis::Token",13,16.4641,0,1230,0,12,1503,28,240
"org::apache::lucene::analysis::TokenFilter",3,8.08193,1,22,0,0,57,0,10
"org::apache::lucene::analysis::Tokenizer",4,5.52249,0,37,0,0,65,0,9
"org::apache::lucene::analysis::TokenStream",6,7.77801,1,117,0,18,110,58,7
"org::apache::lucene::analysis::WhitespaceAnalyzer",1,2.82217,0,22,0,0,40,0,12
"org::apache::lucene::analysis::WhitespaceTokenizer",0,1.64243,0,4,0,0,37,0,6
"org::apache::lucene::analysis::WordlistLoader",1,7.75655,0,73,18,1,151,35,44
"org::apache::lucene::ant::DocumentHandlerException",0,0,0,1,0,0,0,100,16
"org::apache::lucene::ant::FileExtensionDocumentHandler",0,0,0,25,3,0,0,72,19
"org::apache::lucene::ant::HtmlDocument",0,0,0,77,9,0,89,426,98
"org::apache::lucene::ant::IndexTask",0,1.25878,0,212,0,7,141,586,199
"org::apache::lucene::ant::TextDocument",0,0,0,98,6,0,0,90,31
"org::apache::lucene::benchmark::AbstractBenchmarker",0,2.60998,0,0,0,1,10,106,25
"org::apache::lucene::benchmark::byTask::Benchmark",4,5.56724,0,3,0,0,207,107,70
"org::apache::lucene::benchmark::byTask::feeds::AbstractQueryMaker",1,1.45269,0,51,0,0,40,94,26
"org::apache::lucene::benchmark::byTask::feeds::BasicDocMaker",6,6.29405,0,158,0,126,318,554,177
"org::apache::lucene::benchmark::byTask::feeds::DemoHTMLParser",2,2.69351,0,0,0,0,85,153,5
"org::apache::lucene::benchmark::byTask::feeds::DirDocMaker",3,4.23089,0,0,15,32,168,275,66
"org::apache::lucene::benchmark::byTask::feeds::DocData",1,1.48053,0,0,0,0,8,122,37
"org::apache::lucene::benchmark::byTask::feeds::EnwikiDocMaker",4,3.58153,0,0,0,101,191,312,16
"org::apache::lucene::benchmark::byTask::feeds::FileBasedQueryMaker",2,2.62755,0,92,16,7,17,187,49
"org::apache::lucene::benchmark::byTask::feeds::LineDocMaker",7,4.8362,0,55,21,131,30,292,38
"org::apache::lucene::benchmark::byTask::feeds::NoMoreDataException",1,1.48053,0,0,0,0,11,25,0
"org::apache::lucene::benchmark::byTask::feeds::ReutersDocMaker",7,7.54956,0,0,6,14,101,252,68
"org::apache::lucene::benchmark::byTask::feeds::ReutersQueryMaker",2,4.46352,0,286,0,0,11,37,48
"org::apache::lucene::benchmark::byTask::feeds::SimpleDocMaker",3,4.90018,0,38,0,13,45,75,18
"org::apache::lucene::benchmark::byTask::feeds::SimpleQueryMaker",2,4.46352,0,116,0,0,22,75,24
"org::apache::lucene::benchmark::byTask::feeds::SimpleSloppyPhraseQueryMaker",2,4.63879,0,160,0,0,22,22,46
"org::apache::lucene::benchmark::byTask::feeds::SortableSimpleDocMaker",1,1.23854,0,21,0,10,14,58,16
"org::apache::lucene::benchmark::byTask::feeds::TrecDocMaker",6,7.61688,1,0,13,15,213,443,153
"org::apache::lucene::benchmark::byTask::PerfRunData",8,11.2928,0,71,0,0,185,397,132
"org::apache::lucene::benchmark::byTask::programmatic::Sample",0,3.6872,0,17,0,0,195,220,56
"org::apache::lucene::benchmark::byTask::stats::Points",1,3.28866,0,5,0,0,166,17,23
"org::apache::lucene::benchmark::byTask::stats::Report",1,3.28866,0,0,0,0,60,0,18
"org::apache::lucene::benchmark::byTask::stats::TaskStats",1,3.28866,0,0,0,2,369,17,69
"org::apache::lucene::benchmark::byTask::tasks::AddDocTask",3,5.6765,0,0,0,5,130,123,40
"org::apache::lucene::benchmark::byTask::tasks::ClearStatsTask",1,3.28866,0,0,0,0,54,0,10
"org::apache::lucene::benchmark::byTask::tasks::CloseIndexTask",2,4.52366,0,0,0,0,36,61,18
"org::apache::lucene::benchmark::byTask::tasks::CloseReaderTask",1,3.28866,0,0,0,0,35,42,11
"org::apache::lucene::benchmark::byTask::tasks::CommitIndexTask",1,1.23854,0,0,0,0,21,31,11
"org::apache::lucene::benchmark::byTask::tasks::CreateIndexTask",8,9.35438,0,0,0,0,41,355,66
"org::apache::lucene::benchmark::byTask::tasks::DeleteDocTask",2,4.50164,0,0,0,0,108,148,37
"org::apache::lucene::benchmark::byTask::tasks::NewAnalyzerTask",2,0.96755,0,0,0,1,128,143,37
"org::apache::lucene::benchmark::byTask::tasks::NewRoundTask",1,3.28866,0,0,0,0,51,8,10
"org::apache::lucene::benchmark::byTask::tasks::OpenIndexTask",8,9.35438,0,0,0,0,51,111,14
"org::apache::lucene::benchmark::byTask::tasks::OpenReaderTask",1,3.28866,0,5,0,0,41,31,9
"org::apache::lucene::benchmark::byTask::tasks::OptimizeTask",2,4.52366,0,0,0,0,38,40,16
"org::apache::lucene::benchmark::byTask::tasks::PerfTask",3,5.70339,0,0,0,0,441,99,93
"org::apache::lucene::benchmark::byTask::tasks::ReadTask",3,5.76219,1,333,0,58,119,86,116
"org::apache::lucene::benchmark::byTask::tasks::ReadTokensTask",2,1.17973,0,84,0,6,242,98,66
"org::apache::lucene::benchmark::byTask::tasks::ReopenReaderTask",1,1.23854,0,24,0,4,26,17,13
"org::apache::lucene::benchmark::byTask::tasks::RepAllTask",1,3.28866,0,0,1,0,176,0,38
"org::apache::lucene::benchmark::byTask::tasks::ReportTask",1,3.28866,0,0,4,2,480,8,71
"org::apache::lucene::benchmark::byTask::tasks::RepSelectByPrefTask",1,3.28866,0,0,1,0,194,0,39
"org::apache::lucene::benchmark::byTask::tasks::RepSumByNameRoundTask",1,3.28866,0,0,0,0,199,10,40
"org::apache::lucene::benchmark::byTask::tasks::RepSumByNameTask",1,3.28866,0,0,0,0,190,2,39
"org::apache::lucene::benchmark::byTask::tasks::RepSumByPrefRoundTask",1,3.28866,0,0,0,0,210,0,40
"org::apache::lucene::benchmark::byTask::tasks::RepSumByPrefTask",1,3.28866,0,0,0,0,211,0,45
"org::apache::lucene::benchmark::byTask::tasks::ResetInputsTask",0,2.58836,0,1,0,0,53,12,10
"org::apache::lucene::benchmark::byTask::tasks::ResetSystemEraseTask",2,4.08464,0,0,1,0,59,7,7
"org::apache::lucene::benchmark::byTask::tasks::ResetSystemSoftTask",2,4.08464,0,0,0,0,55,9,7
"org::apache::lucene::benchmark::byTask::tasks::SearchTask",1,3.28866,0,17,0,0,35,15,18
"org::apache::lucene::benchmark::byTask::tasks::SearchTravRetHighlightTask",1,1.23499,0,181,0,66,93,69,55
"org::apache::lucene::benchmark::byTask::tasks::SearchTravRetLoadFieldSelectorTask",2,3.41583,0,39,0,29,90,105,22
"org::apache::lucene::benchmark::byTask::tasks::SearchTravRetTask",1,3.28866,0,19,0,0,45,16,6
"org::apache::lucene::benchmark::byTask::tasks::SearchTravTask",1,3.28866,0,28,0,0,59,40,28
"org::apache::lucene::benchmark::byTask::tasks::SearchWithSortTask",1,1.23854,0,127,0,5,47,17,61
"org::apache::lucene::benchmark::byTask::tasks::SetPropTask",1,3.28866,0,0,0,0,109,35,19
"org::apache::lucene::benchmark::byTask::tasks::TaskSequence",6,8.77321,0,0,0,42,685,96,240
"org::apache::lucene::benchmark::byTask::tasks::WarmTask",1,3.28866,0,25,0,0,35,23,18
"org::apache::lucene::benchmark::byTask::tasks::WriteLineDocTask",2,1.74444,0,0,21,0,120,225,73
"org::apache::lucene::benchmark::byTask::utils::Algorithm",4,4.52366,0,0,0,10,677,45,204
"org::apache::lucene::benchmark::byTask::utils::Config",6,7.7902,0,64,16,0,849,190,182
"org::apache::lucene::benchmark::byTask::utils::FileUtils",0,2.58836,0,0,0,0,11,55,18
"org::apache::lucene::benchmark::byTask::utils::Format",3,4.67365,0,13,0,0,318,13,21
"org::apache::lucene::benchmark::Constants",0,1.64243,0,4,1,0,0,65,0
"org::apache::lucene::benchmark::Driver",0,3.12296,0,0,0,0,36,297,71
"org::apache::lucene::benchmark::quality::QualityBenchmark",2,2.40151,0,247,0,0,285,44,60
"org::apache::lucene::benchmark::quality::QualityQuery",1,1.17486,0,120,0,0,92,8,25
"org::apache::lucene::benchmark::quality::QualityStats",2,3.00249,0,72,4,0,728,73,154
"org::apache::lucene::benchmark::quality::trec::QueryDriver",1,2.3444,0,48,0,0,117,61,35
"org::apache::lucene::benchmark::quality::trec::Trec1MQReader",1,1.22665,0,53,17,1,107,9,33
"org::apache::lucene::benchmark::quality::trec::TrecJudge",1,1.17486,0,140,4,0,229,17,77
"org::apache::lucene::benchmark::quality::trec::TrecTopicsReader",1,1.17486,0,77,14,0,173,40,60
"org::apache::lucene::benchmark::quality::utils::DocNameExtractor",1,1.17486,0,90,0,22,3,22,13
"org::apache::lucene::benchmark::quality::utils::QualityQueriesFinder",1,1.17486,0,121,0,10,136,89,64
"org::apache::lucene::benchmark::quality::utils::SimpleQQParser",1,1.17486,0,87,0,0,65,24,12
"org::apache::lucene::benchmark::quality::utils::SubmissionReport",2,2.40151,0,87,0,0,98,53,36
"org::apache::lucene::benchmark::standard::ReutersQueries",0,2.60998,0,153,0,2,4,59,9
"org::apache::lucene::benchmark::standard::StandardBenchmarker",4,6.47189,0,274,14,14,321,807,319
"org::apache::lucene::benchmark::standard::StandardOptions",0,5.25817,0,0,0,0,24,142,24
"org::apache::lucene::benchmark::stats::MemUsage",1,2.88097,0,0,0,0,93,51,13
"org::apache::lucene::benchmark::stats::QueryData",1,2.88097,0,72,11,0,31,100,26
"org::apache::lucene::benchmark::stats::TimeData",1,4.3615,0,8,0,23,148,84,42
"org::apache::lucene::benchmark::utils::ExtractReuters",1,3.09513,0,22,9,0,120,280,115
"org::apache::lucene::benchmark::utils::ExtractWikipedia",3,4.75056,0,0,0,34,134,304,103
"org::apache::lucene::demo::DeleteFiles",1,4.92899,0,37,1,0,0,92,32
"org::apache::lucene::demo::FileDocument",1,2.88097,0,63,0,11,29,98,26
"org::apache::lucene::demo::html::Entities",1,2.88097,0,19,6,16,316,278,44
"org::apache::lucene::demo::html::HTMLParser",3,6.53022,0,2,0,754,209,870,574
"org::apache::lucene::demo::html::HTMLParserTokenManager",1,1.41194,0,0,0,2854,0,0,1504
"org::apache::lucene::demo::html::ParseException",2,2.76873,0,0,0,4,451,26,87
"org::apache::lucene::demo::html::ParserThread",0,1.64243,0,1,0,3,5,66,23
"org::apache::lucene::demo::html::SimpleCharStream",2,4.36338,0,403,15,79,388,0,256
"org::apache::lucene::demo::html::Tags",0,1.64243,0,25,0,0,15,115,0
"org::apache::lucene::demo::html::Token",0,0,0,26,0,49,145,0,9
"org::apache::lucene::demo::html::TokenMgrError",2,2.76873,0,0,9,68,223,0,57
"org::apache::lucene::demo::HTMLDocument",1,4.65286,0,85,0,6,56,124,52
"org::apache::lucene::demo::IndexFiles",1,4.17914,0,0,0,0,25,216,60
"org::apache::lucene::demo::IndexHTML",1,6.17458,0,158,0,0,16,297,88
"org::apache::lucene::demo::SearchFiles",2,7.70696,0,301,28,147,152,178,206
"org::apache::lucene::document::AbstractField",4,5.34192,0,537,0,47,30,302,182
"org::apache::lucene::document::DateField",0,4.07967,0,41,0,0,135,90,40
"org::apache::lucene::document::DateTools",2,4.70954,0,7,50,0,147,665,126
"org::apache::lucene::document::Document",9,9.3931,0,718,0,45,36,76,138
"org::apache::lucene::document::Field",7,16.2091,1,797,0,107,57,576,49
"org::apache::lucene::document::FieldSelectorResult",2,8.13453,0,108,0,75,6,148,16
"org::apache::lucene::document::LoadFirstFieldSelector",0,2.29636,0,4,0,7,0,71,3
"org::apache::lucene::document::MapFieldSelector",3,4.88853,0,65,0,96,0,0,9
"org::apache::lucene::document::NumberTools",1,2.83909,0,0,2,33,192,6,51
"org::apache::lucene::document::SetBasedFieldSelector",0,2.29636,0,38,0,65,0,123,14
"org::apache::lucene::index::BufferedDeletes",1,0.60098,0,120,0,91,0,134,71
"org::apache::lucene::index::ByteBlockPool",3,2.57416,0,0,19,206,118,0,77
"org::apache::lucene::index::ByteSliceReader",2,1.39384,0,0,32,154,123,39,96
"org::apache::lucene::index::ByteSliceWriter",1,1.18032,0,0,17,107,17,0,45
"org::apache::lucene::index::CharBlockPool",2,1.39384,0,0,0,90,9,0,21
"org::apache::lucene::index::CheckIndex",9,10.8724,2,127,0,186,114,1956,427
"org::apache::lucene::index::CompoundFileReader",4,8.43595,0,0,0,11,356,222,97
"org::apache::lucene::index::CompoundFileWriter",5,9.12701,0,30,0,96,202,359,147
"org::apache::lucene::index::ConcurrentMergeScheduler",18,10.9738,2,0,2,68,35,773,182
"org::apache::lucene::index::CorruptIndexException",1,1.09884,0,0,0,0,0,24,3
"org::apache::lucene::index::DefaultSkipListReader",2,2.55842,0,27,0,288,0,0,58
"org::apache::lucene::index::DefaultSkipListWriter",2,3.69563,0,9,0,425,14,44,79
"org::apache::lucene::index::DirectoryIndexReader",9,9.24384,4,3,0,8,102,1137,295
"org::apache::lucene::index::DocConsumer",1,0.792859,0,0,0,47,0,0,0
"org::apache::lucene::index::DocConsumerPerThread",1,0.792859,0,0,0,37,3,0,0
"org::apache::lucene::index::DocFieldConsumer",1,0.792859,0,0,0,84,0,19,3
"org::apache::lucene::index::DocFieldConsumerPerField",1,0.792859,0,16,0,11,0,2,0
"org::apache::lucene::index::DocFieldConsumerPerThread",1,0.792859,0,0,0,34,0,0,0
"org::apache::lucene::index::DocFieldConsumers",1,0.792859,0,0,0,411,5,0,80
"org::apache::lucene::index::DocFieldConsumersPerField",1,0.792859,0,0,0,95,0,0,16
"org::apache::lucene::index::DocFieldConsumersPerThread",1,0.792859,0,0,0,199,0,0,37
"org::apache::lucene::index::DocFieldProcessor",1,0.792859,0,0,0,180,0,31,37
"org::apache::lucene::index::DocFieldProcessorPerField",1,0.792859,0,0,0,67,0,8,7
"org::apache::lucene::index::DocFieldProcessorPerThread",2,1.54522,0,112,0,785,0,96,238
"org::apache::lucene::index::DocInverter",1,0.792859,0,15,0,287,0,0,53
"org::apache::lucene::index::DocInverterPerField",2,2.2048,3,118,0,314,27,51,130
"org::apache::lucene::index::DocInverterPerThread",1,0.792859,0,15,0,173,0,0,26
"org::apache::lucene::index::DocumentsWriter",42,13.9297,2,203,0,2015,19,2113,829
"org::apache::lucene::index::DocumentsWriterThreadState",5,3.17313,1,0,0,100,0,25,13
"org::apache::lucene::index::FieldInfo",5,7.31651,1,149,0,0,0,185,38
"org::apache::lucene::index::FieldInfos",6,11.3053,1,493,0,22,11,632,107
"org::apache::lucene::index::FieldNormModifier",3,4.63934,0,170,2,11,0,262,86
"org::apache::lucene::index::FieldReaderException",0,3.46402,0,33,0,0,13,178,3
"org::apache::lucene::index::FieldSortedTermVectorMapper",1,1.17486,0,108,0,41,0,66,19
"org::apache::lucene::index::FieldsReader",24,25.5769,1,217,0,978,117,692,332
"org::apache::lucene::index::FieldsWriter",11,11.4058,0,0,0,360,68,370,185
"org::apache::lucene::index::FilterIndexReader",8,12.1251,0,282,0,38,0,210,82
"org::apache::lucene::index::FreqProxFieldMergeState",2,1.54522,0,24,0,205,0,19,56
"org::apache::lucene::index::FreqProxTermsWriter",2,1.54522,0,172,0,875,12,227,229
"org::apache::lucene::index::FreqProxTermsWriterPerField",2,1.54522,0,67,0,455,0,22,96
"org::apache::lucene::index::FreqProxTermsWriterPerThread",1,0.792859,0,0,0,95,0,0,13
"org::apache::lucene::index::GCJSegmentReader",0,1.64243,0,13,0,0,13,25,7
"org::apache::lucene::index::GCJTermDocs",0,1.64243,0,4,0,0,0,19,3
"org::apache::lucene::index::IndexCommit",6,4.73438,0,22,0,0,28,245,31
"org::apache::lucene::index::IndexFileDeleter",20,18.3422,3,33,0,29,98,1697,319
"org::apache::lucene::index::IndexFileNameFilter",2,5.55317,0,46,0,12,19,123,46
"org::apache::lucene::index::IndexFileNames",6,9.29826,0,1,0,49,23,421,20
"org::apache::lucene::index::IndexModifier",13,18.28,0,0,1,442,219,1898,189
"org::apache::lucene::index::IndexReader",34,31.8654,3,801,0,66,273,2779,214
"org::apache::lucene::index::IndexWriter",81,39.6054,9,275,0,304,1071,13236,2630
"org::apache::lucene::index::IntBlockPool",1,0.792859,0,0,0,92,19,0,29
"org::apache::lucene::index::InvertedDocConsumer",1,0.792859,0,0,0,68,0,17,3
"org::apache::lucene::index::InvertedDocConsumerPerField",1,0.792859,0,32,0,36,0,0,0
"org::apache::lucene::index::InvertedDocConsumerPerThread",1,0.792859,0,0,0,43,0,0,0
"org::apache::lucene::index::InvertedDocEndConsumer",1,0.792859,0,0,0,58,0,0,0
"org::apache::lucene::index::InvertedDocEndConsumerPerField",1,0.792859,0,0,0,13,0,0,0
"org::apache::lucene::index::InvertedDocEndConsumerPerThread",1,0.792859,0,0,0,36,0,0,0
"org::apache::lucene::index::KeepOnlyLastCommitDeletionPolicy",2,2.32375,0,0,0,0,7,62,12
"org::apache::lucene::index::LogByteSizeMergePolicy",5,1.91372,0,0,0,0,35,195,20
"org::apache::lucene::index::LogDocMergePolicy",4,1.36109,0,8,0,0,27,106,17
"org::apache::lucene::index::LogMergePolicy",11,5.94911,0,36,0,59,84,1172,258
"org::apache::lucene::index::memory::AnalyzerUtil",2,8.26847,0,776,42,23,551,17,237
"org::apache::lucene::index::memory::MemoryIndex",6,16.8263,1,2183,8,236,984,580,226
"org::apache::lucene::index::memory::PatternAnalyzer",2,12.0175,0,263,13,42,988,74,88
"org::apache::lucene::index::memory::SynonymMap",1,7.62066,0,122,0,12,1108,29,270
"org::apache::lucene::index::memory::SynonymTokenFilter",2,6.53653,0,123,3,11,226,24,56
"org::apache::lucene::index::MergeDocIDRemapper",1,0.871061,1,0,0,248,0,117,76
"org::apache::lucene::index::MergePolicy",9,5.84867,0,0,3,0,69,643,3
"org::apache::lucene::index::MergeScheduler",6,3.38172,0,2,5,0,0,61,0
"org::apache::lucene::index::MultiLevelSkipListReader",2,3.64568,0,17,0,592,97,82,140
"org::apache::lucene::index::MultiLevelSkipListWriter",1,2.54818,0,0,0,251,112,70,66
"org::apache::lucene::index::MultipleTermPositions",3,5.80413,0,320,0,53,0,0,74
"org::apache::lucene::index::MultiReader",16,19.4587,1,586,0,76,0,377,215
"org::apache::lucene::index::MultiSegmentReader",6,5.96254,1,844,0,211,0,679,300
"org::apache::lucene::index::NormsWriter",1,0.792859,0,0,0,337,18,179,125
"org::apache::lucene::index::NormsWriterPerField",1,0.792859,0,17,0,155,0,48,32
"org::apache::lucene::index::NormsWriterPerThread",1,0.792859,0,0,0,75,0,16,13
"org::apache::lucene::index::ParallelReader",15,19.4885,0,1055,9,31,2,496,267
"org::apache::lucene::index::Payload",5,6.8389,0,115,0,3,243,2,76
"org::apache::lucene::index::PositionBasedTermVectorMapper",4,1.76352,0,251,0,36,0,117,35
"org::apache::lucene::index::RawPostingList",1,0.792859,0,18,0,52,0,5,0
"org::apache::lucene::index::ReadOnlyMultiSegmentReader",1,1.35264,0,15,0,0,1,65,6
"org::apache::lucene::index::ReadOnlySegmentReader",1,1.35264,0,0,0,0,2,32,9
"org::apache::lucene::index::ReusableStringReader",1,0.60098,0,9,0,3,63,0,22
"org::apache::lucene::index::SegmentInfo",14,11.3676,1,22,0,47,213,1724,467
"org::apache::lucene::index::SegmentInfos",21,19.5286,4,32,0,43,151,1955,306
"org::apache::lucene::index::SegmentMergeInfo",1,3.2211,0,68,1,28,0,20,44
"org::apache::lucene::index::SegmentMergeQueue",0,1.64243,0,1,0,24,0,39,16
"org::apache::lucene::index::SegmentMerger",22,28.939,1,507,0,767,25,1490,507
