"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75"
"11","sequence","information","jjmatched","property","norms","find","regex","io","qf","id","k","reader","s","pool","key","q","rv","target","del","append","open","analysis","link","max","subword","similarity","result","ket","unsupported","syn","javadoc","entry","doc","true","length","czech","elems","explanation","current","field","u","param","software","query","h","field","raf","read","exception","num","sb","element","ioexception","word","center","ng","open","sorted","snapshot","permutation","top","hit","standard","docs","b","size","link","size","calendar","id","freq","search","size","lo","value"
"12","org","name","jjnew","vals","true","true","length","bufsize","distance","document","greek","fieldable","offsets","posting","null","document","source","list","names","fg","reader","make","pos","scorer","hyphenation","next","filter","s","message","hash","cache","values","config","running","string","ea","resources","source","number","text","golab","apache","apache","minimum","ch","image","avail","apache","java","scanner","files","pre","size","ch","small","object","obtain","length","list","positioner","collector","less","null","read","start","mb","payload","directory","simple","merge","mapper","clause","index","sc","doc"
"13","lucene","documents","jjstate","val","tf","token","result","encoding","keep","abort","p","data","array","state","analysis","field","ends","more","doc","bg","analyzer","token","source","score","param","max","offsets","literal","names","f","val","value","index","analyzer","ir","ad","retry","strict","df","hash","r","value","hits","min","j","term","channel","algorithm","usage","start","work","k","merge","lower","ndash","hash","exception","iter","size","character","filter","ioexception","stream","option","size","wait","offsets","index","exception","docs","result","filter","pos","round","norm"
"14","config","map","move","sval","offset","creation","sequences","image","operator","infos","w","selector","high","doc","database","param","suffix","false","check","val","modifier","hash","lucene","start","match","req","vint","backward","num","groups","non","object","apache","deleter","preceded","id","max","scores","last","h","delete","ioexception","lucene","prefix","true","true","added","benchmarker","err","wikipedia","string","sax","writer","stem","table","sug","instance","iterator","tps","input","ioexception","link","reusable","doc","sets","id","positions","last","thread","ti","docs","name","ioexception","system","set"
"15","step","doc","stream","ntz","false","v","parse","input","srnd","inverter","iu","string","ff","documents","java","used","true","ioexception","input","highlight","uid","file","called","string","longest","skip","chain","c","mid","already","parser","order","judge","store","os","ser","m","non","input","enumerator","slice","underlying","name","f","current","parser","wrap","org","doc","tokens","vec","xml","doc","diaeresis","boost","remote","fsdirectory","more","null","settings","searchables","object","analyzer","ioexception","th","pending","buffer","close","millisecond","util","version","analyzer","chars","k","result"
"16","apache","set","cnt","col","add","acronyms","exception","startline","processing","ioexception","d","vector","words","list","lucene","total","replace","first","string","text","create","builds","parallel","fragmenter","stream","first","num","bra","left","prolog","see","locale","trec","buffered","replace","ee","num","length","skipped","append","suffix","illegal","column","terms","letter","next","qlen","params","files","tokenizer","col","object","write","letters","freq","suggest","link","println","same","codec","hq","insert","exclusion","count","bitmask","stream","increment","code","text","retrieve","offsets","node","current","eq","code"
"17","count","string","nfa","value","fields","deprecated","s","startcolumn","field","flush","g","null","y","count","string","see","lang","payloads","s","substring","failed","tokenizer","util","encoder","length","ioexception","mapper","p","dispatch","nums","index","parser","java","start","null","fa","enumeration","exp","child","compare","find","method","add","occur","entity","goop","sizes","perf","exit","input","name","values","open","iota","increments","clean","exists","memory","end","weight","total","returns","term","clone","id","store","param","result","milliseconds","states","current","term","arraycopy","rp","searcher"
"18","exception","e","active","s","positions","soft","line","tokens","filter","end","z","store","c","start","name","link","false","cell","n","instances","docs","name","tokens","group","filter","time","open","eq","don","list","code","comparator","properties","sync","lenght","org","prev","param","list","set","ar","porter","field","boost","count","operator","j","config","page","marked","elapsed","chars","docs","step","b","size","io","list","b","maximum","fieldname","initialize","java","freq","words","state","null","base","greedy","df","lucene","e","bytes","map","add"
"19","stok","info","literal","y","number","ia","constructor","bufline","make","documents","letters","compressed","search","next","io","num","zone","exclude","fix","idx","documents","lower","analysis","best","ngram","current","positions","true","subreaders","util","string","terms","analyzer","create","iras","ur","divisor","weights","payload","name","vowel","tokenize","map","coord","characters","kind","remained","newline","weighted","error","reset","local","files","upsilon","idf","util","delete","index","buffer","rows","document","string","table","offset","iterator","documents","string","modified","day","main","specific","domutils","characters","node","append"
"20","set","associated","lex","low","payloads","date","lexical","buffer","reader","two","j","link","false","field","p","each","strings","next","msg","original","obtain","wordlist","org","param","compound","prohibited","docs","grouping","detail","interned","body","custom","reader","d","step","sv","p","lucene","payloads","string","grouping","single","message","b","delete","queries","prepare","s","io","action","next","res","null","result","t","set","close","num","differ","stream","searchable","simple","hash","buffer","l","segment","info","map","gmt","fields","licenses","attribute","seek","iterator","index"
