"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
"11","index","look","append","link","slice","type","offset","jjmatched","time","token","levels","doc","n","check","java","reader","null","analysis","vowel","untokenized","del","good","length","result","link","values","instance","qq","child","ed","len","index","term","deleter","report","code","stream","vowel","count","e","search","date","map","n","permutation","ensure","more","num","filters","num","information","docs","org","big","maker"
"12","stream","optional","sb","reader","j","link","num","jjnew","csa","tag","interval","search","digits","before","memory","hash","apache","reusable","replace","relevant","b","stats","search","foundation","ioexception","order","fsdirectory","string","apache","verb","syns","listener","field","release","apache","false","omit","source","size","ch","retval","coord","sub","collector","positioner","key","ioexception","fields","x","priority","text","freq","terms","tree","line"
"13","bytes","left","scorer","stopwords","code","payload","start","jjstate","cal","stream","output","scorer","name","optional","field","stem","org","side","mi","added","bra","charset","lucene","copyright","color","cache","ioexception","code","attribute","h","synonym","searching","fuzzy","change","config","optimize","term","cause","policy","k","lucene","string","iterator","ioexception","minimum","entry","nr","free","iterator","length","string","vectors","term","tr","system"
"14","length","illegal","hex","map","begin","set","impl","move","code","next","stream","src","padd","lab","image","token","ioexception","word","w","url","backward","letters","next","implied","obtain","locale","thread","field","lucene","j","list","string","image","currently","lucene","compound","offset","ch","format","stem","expected","c","weight","starts","spell","multi","skip","flush","num","factor","apache","store","add","k","java"
"15","compound","sidx","round","org","system","size","scanner","cnt","calendar","start","format","val","nf","n","token","java","input","term","length","qrel","delete","lower","compare","conditions","factor","fieldname","fslock","val","e","russian","length","changed","parser","previous","org","buffered","index","line","write","r","string","number","r","id","maximum","n","target","documents","td","level","add","info","clause","res","out"
"16","files","gcjdirectory","vals","set","unicode","increment","u","stream","yes","size","length","sub","prefix","consonant","stride","lower","java","subword","u","judgement","ket","diaeresis","object","command","see","string","locks","buffer","domutils","g","system","document","goop","limit","stat","auto","norms","replace","delete","y","org","search","term","total","codec","field","required","count","disi","log","org","ioexception","list","values","input"
"17","close","cela","val","deprecated","f","string","position","nfa","set","shift","ti","idf","res","y","end","make","io","match","string","data","eq","upsilon","prefix","lucene","level","reader","timeout","reader","name","line","hash","clear","true","file","round","thread","fieldable","lang","deletion","russian","javadoc","returns","names","searchables","settings","ret","sum","abort","end","target","lucene","position","q","sc","directory"
"18","offset","naming","group","wordfile","start","chars","input","token","low","lo","current","lucene","number","un","ptr","analysis","list","set","ira","valid","literal","c","set","warranties","error","value","failed","h","xml","power","group","hits","operator","expert","sb","store","result","prefix","corrupt","character","object","p","srnd","hq","character","map","similarity","bytes","b","adjust","number","names","buffer","node","exception"
"19","clone","haven","fragmenter","true","end","flags","tokenizer","active","ntz","raw","input","apache","maximum","uz","such","lucene","ts","apache","preceded","consumes","g","m","null","except","low","sorting","wait","pre","dom","bb","index","decorated","next","cfs","sequence","message","info","column","exception","step","sequences","allow","sqi","document","rows","num","end","id","bitmask","pop","set","extension","clauses","lo","null"
"20","write","inside","offset","issues","ch","param","wikipedia","literal","string","mask","number","reader","col","m","n","builds","reset","lucene","ir","output","s","b","score","version","documents","object","delete","id","builders","ff","entry","lucene","kind","constructs","string","exception","fi","buffer","commits","charset","non","buffer","distance","weight","param","inherit","req","info","size","less","reader","false","slop","pq","reader"
