"","file","bf","hcm","bug"
"34","org::apache::lucene::benchmark::byTask::tasks::RepSumByNameTask",1,3.28866,0
"35","org::apache::lucene::index::InvertedDocEndConsumer",1,0.792859,0
"36","org::apache::lucene::search::highlight::SpanGradientFormatter",1,4.04759,0
"37","org::apache::lucene::xmlparser::CoreParser",1,7.67536,0
"38","org::apache::lucene::analysis::compound::hyphenation::HyphenationException",1,1.18716,0
"39","org::apache::lucene::xmlparser::builders::FilteredQueryBuilder",1,3.81153,0
"40","org::apache::lucene::benchmark::stats::MemUsage",1,2.88097,0
"41","org::apache::lucene::index::ParallelReader",15,19.4885,0
"42","org::apache::lucene::store::ChecksumIndexInput",1,1.12713,0
"43","org::apache::lucene::analysis::compound::DictionaryCompoundWordTokenFilter",1,1.18716,0
"44","org::apache::lucene::store::SingleInstanceLockFactory",3,4.99485,0
"45","org::apache::lucene::analysis::StopAnalyzer",1,6.50047,0
"46","org::apache::lucene::analysis::PerFieldAnalyzerWrapper",2,6.08433,0
"47","org::apache::lucene::index::IndexReader",34,31.8654,3
"48","org::apache::lucene::wordnet::SynLookup",0,0.740259,0
"49","org::apache::lucene::queryParser::surround::parser::QueryParserTokenManager",0,1.03163,0
"50","org::apache::lucene::analysis::ngram::EdgeNGramTokenFilter",3,3.46561,1
"51","org::apache::lucene::search::ExtendedFieldCacheImpl",3,4.85875,0
"52","org::apache::lucene::benchmark::byTask::tasks::NewRoundTask",1,3.28866,0
"53","org::apache::lucene::benchmark::byTask::stats::Points",1,3.28866,0
"54","org::apache::lucene::analysis::miscellaneous::PrefixAwareTokenFilter",2,2.35699,0
"55","org::apache::lucene::queryParser::Token",1,1.23854,0
"56","org::apache::lucene::store::Lock",5,9.15338,1
"57","org::apache::lucene::index::FreqProxTermsWriter",2,1.54522,0
"58","org::apache::lucene::analysis::compound::hyphenation::Hyphen",1,1.18716,0
"59","org::apache::lucene::index::InvertedDocConsumerPerThread",1,0.792859,0
"60","org::apache::lucene::analysis::Analyzer",2,7.3729,1
"61","org::apache::lucene::xmlparser::builders::LikeThisQueryBuilder",2,7.36559,0
"62","org::apache::lucene::xmlparser::builders::RangeFilterBuilder",1,3.66829,0
"63","org::tartarus::snowball::ext::LovinsStemmer",1,1.35264,0
"64","org::apache::lucene::util::UnicodeUtil",1,0.907447,0
"65","org::apache::lucene::document::NumberTools",1,2.83909,0
"66","org::apache::lucene::search::ExactPhraseScorer",2,2.6029,0
"67","org::apache::lucene::store::FSDirectory",30,27.817,5
"68","org::apache::lucene::ant::TextDocument",0,0,0
"69","org::apache::lucene::xmlparser::builders::SpanNotBuilder",0,2.99495,0
"70","org::apache::lucene::store::instantiated::InstantiatedIndexReader",3,2.62836,1
"71","org::tartarus::snowball::ext::PortugueseStemmer",1,1.35264,0
"72","org::apache::lucene::util::CloseableThreadLocal",2,1.23854,0
"73","org::apache::lucene::index::MergeScheduler",6,3.38172,0
"74","org::apache::lucene::index::TermInfo",0,1.64243,0
"75","org::apache::lucene::search::ComplexExplanation",3,5.15836,0
"76","org::apache::lucene::search::DocIdSetIterator",1,1.17515,0
"77","org::apache::lucene::index::Term",2,7.01764,0
"78","org::apache::lucene::demo::SearchFiles",2,7.70696,0
"79","org::apache::lucene::demo::html::ParseException",2,2.76873,0
"80","org::apache::lucene::queryParser::surround::query::NotQuery",0,2.67407,0
"81","org::tartarus::snowball::Among",1,1.35264,0
"82","org::apache::lucene::search::NonMatchingScorer",0,3.0742,0
"83","org::apache::lucene::index::TermVectorsTermsWriterPerThread",1,0.792859,0
"84","org::apache::lucene::search::Explanation",3,4.70913,0
"85","org::apache::lucene::index::TermVectorsWriter",6,7.52307,0
"86","org::apache::lucene::search::spans::NearSpansOrdered",2,3.71322,1
"87","org::apache::lucene::util::BitVector",4,5.74394,0
"88","org::apache::lucene::search::regex::RegexTermEnum",0,1.3633,0
"89","org::apache::lucene::search::BoostingQuery",2,5.06437,0
"90","org::apache::lucene::analysis::ngram::NGramTokenizer",3,4.74253,0
"91","org::apache::lucene::queryParser::ParseException",3,4.00726,0
"92","org::apache::lucene::benchmark::byTask::feeds::NoMoreDataException",1,1.48053,0
"93","org::apache::lucene::demo::html::HTMLParser",3,6.53022,0
"94","org::apache::lucene::queryParser::surround::query::BasicQueryFactory",0,2.67407,0
"95","org::apache::lucene::analysis::br::BrazilianAnalyzer",0,0,0
"96","org::apache::lucene::search::Similarity",4,12.5926,1
"97","org::apache::lucene::search::highlight::SimpleFragmenter",0,0,0
"98","org::apache::lucene::index::SegmentTermVector",1,2.88097,0
"99","org::apache::lucene::benchmark::Constants",0,1.64243,0
"100","org::apache::lucene::benchmark::byTask::tasks::WarmTask",1,3.28866,0
"101","org::apache::lucene::index::DefaultSkipListReader",2,2.55842,0
"102","org::apache::lucene::analysis::el::GreekAnalyzer",2,2.5984,0
"103","org::apache::lucene::xmlparser::builders::SpanOrBuilder",0,2.42975,0
"104","org::apache::lucene::search::function::CustomScoreQuery",3,6.48196,0
"105","org::apache::lucene::index::SortedTermVectorMapper",1,1.17486,0
"106","org::apache::lucene::analysis::sinks::TokenTypeSinkTokenizer",2,2.76004,0
"107","org::apache::lucene::search::spans::SpanWeight",3,6.7985,0
"108","org::apache::lucene::search::FuzzyTermEnum",0,1.64243,0
"109","org::apache::lucene::search::function::ShortFieldSource",2,2.69823,0
"110","org::apache::lucene::search::payloads::BoostingTermQuery",7,8.28731,0
"111","org::apache::lucene::search::highlight::TokenSources",4,6.46103,0
"112","org::apache::lucene::demo::html::ParserThread",0,1.64243,0
"113","org::tartarus::snowball::ext::EnglishStemmer",1,1.35264,0
"114","org::apache::lucene::index::TermVectorEntry",1,1.17486,0
"115","org::apache::lucene::LucenePackage",0,2.52013,0
"116","org::apache::lucene::index::FieldSortedTermVectorMapper",1,1.17486,0
"117","org::apache::lucene::store::BufferedIndexInput",6,7.86104,0
"118","org::apache::lucene::index::FieldInfos",6,11.3053,1
"119","org::apache::lucene::index::TermInfosReader",14,11.8687,1
"120","org::apache::lucene::benchmark::byTask::tasks::TaskSequence",6,8.77321,0
"121","org::apache::lucene::index::FreqProxTermsWriterPerThread",1,0.792859,0
"122","org::apache::lucene::index::DocInverter",1,0.792859,0
"123","org::apache::lucene::util::SortedVIntList",1,1.17515,0
"124","org::apache::lucene::analysis::cn::ChineseAnalyzer",0,0,0
"125","org::apache::lucene::store::je::JEDirectory",2,4.83343,0
"126","org::apache::lucene::search::highlight::GradientFormatter",0,0.740259,0
"127","org::apache::lucene::wordnet::Syns2Index",0,0.740259,0
"128","org::apache::lucene::index::MergePolicy",9,5.84867,0
"129","org::apache::lucene::index::memory::SynonymTokenFilter",2,6.53653,0
"130","org::apache::lucene::search::DisjunctionSumScorer",3,6.61495,0
"131","org::apache::lucene::store::NativeFSLockFactory",10,8.56136,0
"132","org::apache::lucene::queryParser::surround::query::SpanNearClauseFactory",0,3.99248,0
"133","org::apache::lucene::search::spell::PlainTextDictionary",0,0,0
"134","org::apache::lucene::store::BufferedIndexOutput",3,6.09962,0
"135","org::apache::lucene::document::MapFieldSelector",3,4.88853,0
"136","org::apache::lucene::store::instantiated::InstantiatedIndex",2,2.62836,0
"137","org::apache::lucene::index::FieldReaderException",0,3.46402,0
"138","org::apache::lucene::store::LockFactory",4,6.48779,0
"139","org::apache::lucene::benchmark::quality::trec::QueryDriver",1,2.3444,0
"140","org::apache::lucene::index::TermsHashConsumerPerField",2,1.54522,0
"141","org::apache::lucene::xmlparser::builders::TermsQueryBuilder",2,5.06827,0
"142","org::apache::lucene::search::spans::TermSpans",2,2.89247,0
"143","org::apache::lucene::demo::html::TokenMgrError",2,2.76873,0
"144","org::apache::lucene::search::TopDocs",2,4.17568,0
"145","org::apache::lucene::benchmark::quality::trec::TrecJudge",1,1.17486,0
"146","org::apache::lucene::demo::html::SimpleCharStream",2,4.36338,0
"147","org::apache::lucene::index::TermsHashConsumerPerThread",1,0.792859,0
"148","org::apache::lucene::queryParser::surround::parser::QueryParser",0,1.03163,0
"149","org::apache::lucene::store::instantiated::InstantiatedTermPositions",1,0.60098,0
"150","org::apache::lucene::analysis::el::GreekCharsets",1,2.5984,0
"151","org::apache::lucene::benchmark::stats::QueryData",1,2.88097,0
"152","org::apache::lucene::benchmark::byTask::feeds::FileBasedQueryMaker",2,2.62755,0
"153","org::tartarus::snowball::ext::FinnishStemmer",1,1.35264,0
"154","org::apache::lucene::search::highlight::SpanScorer",3,3.70195,0
"155","org::apache::lucene::search::regex::RegexQuery",0,1.39276,0
"156","org::apache::lucene::document::Field",7,16.2091,1
"157","org::tartarus::snowball::ext::TurkishStemmer",1,1.35264,0
"158","org::apache::lucene::analysis::WhitespaceTokenizer",0,1.64243,0
"159","org::apache::lucene::demo::DeleteFiles",1,4.92899,0
"160","org::apache::lucene::xmlparser::builders::FuzzyLikeThisQueryBuilder",0,2.42975,0
"161","org::apache::lucene::index::InvertedDocConsumerPerField",1,0.792859,0
"162","org::apache::lucene::index::SegmentMergeInfo",1,3.2211,0
"163","org::apache::lucene::search::FuzzyLikeThisQuery",4,7.57455,0
"164","org::apache::lucene::index::DocFieldConsumersPerThread",1,0.792859,0
"165","org::apache::lucene::store::GCJIndexInput",1,2.88097,0
"166","org::apache::lucene::store::MMapDirectory",2,5.27595,1
"167","org::apache::lucene::store::instantiated::InstantiatedTermEnum",2,1.70353,1
"168","org::apache::lucene::wordnet::SynExpand",0,0.740259,0
"169","org::apache::lucene::xmlparser::builders::MatchAllDocsQueryBuilder",0,2.58969,0
"170","org::apache::lucene::benchmark::quality::utils::QualityQueriesFinder",1,1.17486,0
"171","org::apache::lucene::benchmark::byTask::tasks::WriteLineDocTask",2,1.74444,0
"172","org::apache::lucene::store::LockObtainFailedException",1,1.09884,0
"173","org::apache::lucene::search::WildcardQuery",1,3.23668,0
"174","org::apache::lucene::search::TimeLimitedCollector",2,1.72811,1
"175","org::apache::lucene::benchmark::byTask::feeds::ReutersQueryMaker",2,4.46352,0
"176","org::apache::lucene::xmlparser::builders::TermsFilterBuilder",3,7.97841,0
"177","org::apache::lucene::swing::models::TableSearcher",2,6.26048,0
"178","org::apache::lucene::ant::HtmlDocument",0,0,0
"179","org::apache::lucene::search::WildcardTermEnum",1,3.2211,0
"180","org::apache::lucene::queryParser::surround::parser::FastCharStream",0,2.67407,0
"181","org::apache::lucene::search::similar::MoreLikeThis",0,1.43177,0
"182","org::apache::lucene::index::StoredFieldsWriterPerField",1,0.792859,0
"183","org::apache::lucene::analysis::ru::RussianLowerCaseFilter",0,0,0
"184","org::apache::lucene::benchmark::byTask::feeds::SimpleSloppyPhraseQueryMaker",2,4.63879,0
"185","org::apache::lucene::index::IndexFileNameFilter",2,5.55317,0
"186","org::apache::lucene::analysis::payloads::TypeAsPayloadTokenFilter",2,2.76004,0
"187","org::apache::lucene::search::DocIdSet",1,1.17515,0
"188","org::apache::lucene::index::CharBlockPool",2,1.39384,0
"189","org::apache::lucene::index::IndexModifier",13,18.28,0
"190","org::tartarus::snowball::ext::SpanishStemmer",1,1.35264,0
"191","org::apache::lucene::analysis::snowball::SnowballAnalyzer",0,0,0
"192","org::apache::lucene::index::IndexFileNames",6,9.29826,0
"193","org::apache::lucene::misc::SweetSpotSimilarity",1,3.87029,0
"194","org::tartarus::snowball::ext::FrenchStemmer",1,1.35264,0
"195","org::apache::lucene::search::ConstantScoreQuery",8,11.1794,0
"196","org::apache::lucene::store::LockReleaseFailedException",1,1.33267,0
"197","org::apache::lucene::analysis::de::GermanStemmer",0,0,0
"198","org::apache::lucene::index::MultiReader",16,19.4587,1
"199","org::apache::lucene::queryParser::surround::query::DistanceQuery",0,2.67407,0
"200","org::apache::lucene::search::ConstantScoreRangeQuery",4,7.46875,0
"201","org::apache::lucene::analysis::TeeTokenFilter",2,4.01909,0
"202","org::apache::lucene::util::cache::Cache",1,1.26735,0
"203","org::apache::lucene::search::TermsFilter",4,6.54006,0
"204","org::apache::lucene::store::IndexInput",2,4.67638,0
"205","org::apache::lucene::queryParser::precedence::PrecedenceQueryParser",0,2.52248,0
"206","org::apache::lucene::index::TermEnum",0,1.64243,0
"207","org::apache::lucene::wikipedia::analysis::WikipediaTokenizerImpl",4,3.50218,0
"208","org::apache::lucene::util::OpenBitSetIterator",1,1.17515,0
"209","org::apache::lucene::search::DefaultSimilarity",0,1.64243,0
"210","org::apache::lucene::index::InvertedDocConsumer",1,0.792859,0
"211","org::apache::lucene::analysis::ngram::NGramTokenFilter",3,4.10317,1
"212","org::apache::lucene::search::MultiSearcher",4,10.1352,1
"213","org::apache::lucene::queryParser::surround::query::SrndQuery",0,4.06683,0
"214","org::apache::lucene::analysis::compound::hyphenation::HyphenationTree",1,1.18716,0
"215","org::apache::lucene::index::StoredFieldsWriterPerThread",1,0.792859,0
"216","org::apache::lucene::search::function::ByteFieldSource",2,2.69823,0
"217","org::apache::lucene::queryParser::surround::query::OrQuery",0,2.67407,0
"218","org::apache::lucene::search::SpanFilterResult",2,2.35,0
"219","org::apache::lucene::index::LogByteSizeMergePolicy",5,1.91372,0
"220","org::apache::lucene::util::ArrayUtil",2,2.2048,0
"221","org::apache::lucene::queryParser::surround::query::SrndPrefixQuery",0,4.06683,0
"222","org::apache::lucene::index::LogMergePolicy",11,5.94911,0
"223","org::apache::lucene::queryParser::analyzing::AnalyzingQueryParser",3,7.34144,0
"224","org::apache::lucene::search::spans::SpanFirstQuery",2,7.83578,0
"225","org::apache::lucene::index::GCJSegmentReader",0,1.64243,0
"226","org::apache::lucene::benchmark::byTask::tasks::AddDocTask",3,5.6765,0
"227","org::apache::lucene::index::TermVectorsReader",15,17.9349,0
"228","org::apache::lucene::benchmark::byTask::tasks::ReportTask",1,3.28866,0
"229","org::apache::lucene::search::RemoteSearchable",2,7.96475,0
"230","org::apache::lucene::index::ConcurrentMergeScheduler",18,10.9738,2
"231","org::apache::lucene::document::SetBasedFieldSelector",0,2.29636,0
"232","org::apache::lucene::analysis::de::GermanStemFilter",0,0,0
"233","org::apache::lucene::xmlparser::builders::ConstantScoreQueryBuilder",0,2.99495,0
"234","org::apache::lucene::index::SegmentMerger",22,28.939,1
"235","org::apache::lucene::benchmark::utils::ExtractReuters",1,3.09513,0
"236","org::apache::lucene::util::PriorityQueue",1,2.94062,0
"237","org::apache::lucene::benchmark::byTask::tasks::ResetInputsTask",0,2.58836,0
"238","org::apache::lucene::index::TermVectorEntryFreqSortedComparator",1,1.17486,0
"239","org::apache::lucene::index::LogDocMergePolicy",4,1.36109,0
"240","org::apache::lucene::benchmark::quality::QualityBenchmark",2,2.40151,0
"241","org::apache::lucene::search::function::ValueSource",3,3.87796,0
"242","org::apache::lucene::store::VerifyingLockFactory",2,2.33696,0
"243","org::apache::lucene::index::TermsHashPerThread",1,1.54522,0
"244","org::apache::lucene::index::ReusableStringReader",1,0.60098,0
"245","org::tartarus::snowball::ext::NorwegianStemmer",1,1.35264,0
"246","org::apache::lucene::search::TopFieldDocCollector",2,6.14206,0
"247","org::apache::lucene::analysis::sinks::DateRecognizerSinkTokenizer",2,2.76004,0
"248","org::apache::lucene::xmlparser::QueryBuilderFactory",1,4.12294,0
"249","org::apache::lucene::benchmark::byTask::feeds::EnwikiDocMaker",4,3.58153,0
"250","org::apache::lucene::search::DisjunctionMaxScorer",4,8.939,0
"251","org::apache::lucene::search::BooleanQuery",10,23.8003,0
"252","org::apache::lucene::index::DocInverterPerThread",1,0.792859,0
"253","org::apache::lucene::index::TermBuffer",1,2.54988,0
"254","org::apache::lucene::util::DocIdBitSet",1,1.17515,0
"255","org::apache::lucene::analysis::TokenFilter",3,8.08193,1
"256","org::apache::lucene::analysis::cjk::CJKTokenizer",0,0,0
"257","org::apache::lucene::search::Query",0,8.85763,0
"258","org::apache::lucene::analysis::CachingTokenFilter",3,4.85274,1
"259","org::apache::lucene::benchmark::byTask::tasks::SearchWithSortTask",1,1.23854,0
"260","org::apache::lucene::benchmark::byTask::feeds::TrecDocMaker",6,7.61688,1
"261","org::apache::lucene::benchmark::quality::trec::Trec1MQReader",1,1.22665,0
"262","org::apache::lucene::demo::HTMLDocument",1,4.65286,0
"263","org::apache::lucene::util::Parameter",0,2.86786,0
"264","org::apache::lucene::search::RemoteCachingWrapperFilter",3,3.6986,0
"265","lucli::LuceneMethods",0,1.43177,0
"266","org::tartarus::snowball::SnowballProgram",1,1.35264,0
"267","org::apache::lucene::benchmark::byTask::tasks::RepAllTask",1,3.28866,0
"268","org::apache::lucene::benchmark::byTask::feeds::DemoHTMLParser",2,2.69351,0
"269","org::apache::lucene::xmlparser::builders::SpanNearBuilder",0,2.99495,0
"270","org::apache::lucene::index::SegmentTermPositions",6,8.72787,0
"271","org::apache::lucene::analysis::ru::RussianStemmer",0,0,0
"272","org::apache::lucene::benchmark::byTask::feeds::LineDocMaker",7,4.8362,0
"273","org::apache::lucene::index::NormsWriterPerField",1,0.792859,0
"274","org::apache::lucene::queryParser::precedence::PrecedenceQueryParserTokenManager",0,1.31187,0
"275","org::apache::lucene::analysis::fr::FrenchAnalyzer",0,0,0
"276","org::apache::lucene::search::ReqOptSumScorer",0,3.0742,0
"277","org::apache::lucene::ant::DocumentHandlerException",0,0,0
"278","org::apache::lucene::analysis::shingle::ShingleAnalyzerWrapper",1,2.08776,0
"279","org::apache::lucene::queryParser::TokenMgrError",3,4.00726,0
"280","org::apache::lucene::xmlparser::builders::SpanFirstBuilder",0,2.42975,0
"281","org::apache::lucene::search::MatchAllDocsQuery",6,8.8814,0
"282","org::apache::lucene::xmlparser::ParserException",1,3.66829,0
"283","org::apache::lucene::benchmark::byTask::utils::Format",3,4.67365,0
"284","org::tartarus::snowball::ext::PorterStemmer",1,1.35264,0
"285","org::apache::lucene::search::HitQueue",0,1.64243,0
"286","org::apache::lucene::misc::IndexMergeTool",2,4.01101,0
"287","org::apache::lucene::search::Filter",1,2.81758,0
"288","org::apache::lucene::benchmark::byTask::tasks::OpenIndexTask",8,9.35438,0
"289","org::apache::lucene::queryParser::surround::query::TooManyBasicQueries",0,2.67407,0
"290","org::apache::lucene::benchmark::byTask::tasks::CloseIndexTask",2,4.52366,0
"291","org::apache::lucene::search::highlight::Highlighter",6,12.8567,0
"292","org::apache::lucene::store::AlreadyClosedException",1,1.45269,0
"293","org::apache::lucene::index::FilterIndexReader",8,12.1251,0
"294","org::apache::lucene::search::FilteredQuery",7,12.5285,0
"295","org::apache::lucene::misc::ChainedFilter",0,0,0
"296","org::apache::lucene::search::spell::LuceneDictionary",0,0,0
"297","org::apache::lucene::util::ScorerDocQueue",1,2.86107,0
"298","org::apache::lucene::index::StaleReaderException",1,1.09884,0
"299","org::apache::lucene::analysis::cn::ChineseFilter",0,0,0
"300","org::apache::lucene::index::TermVectorOffsetInfo",0,2.99256,1
"301","org::apache::lucene::benchmark::byTask::Benchmark",4,5.56724,0
"302","org::apache::lucene::analysis::standard::StandardTokenizerImpl",5,6.01329,0
"303","org::apache::lucene::document::DateField",0,4.07967,0
"304","org::apache::lucene::benchmark::byTask::programmatic::Sample",0,3.6872,0
"305","org::apache::lucene::index::CheckIndex",9,10.8724,2
"306","org::apache::lucene::benchmark::byTask::tasks::ReopenReaderTask",1,1.23854,0
"307","org::apache::lucene::index::SegmentTermEnum",6,8.26464,0
"308","org::apache::lucene::analysis::TokenStream",6,7.77801,1
"309","org::apache::lucene::analysis::nl::DutchAnalyzer",0,0,0
"310","org::apache::lucene::analysis::PorterStemmer",1,2.99922,0
"311","org::apache::lucene::store::je::JELock",1,3.81886,0
"312","org::apache::lucene::queryParser::precedence::ParseException",0,1.31187,0
"313","org::apache::lucene::search::TermQuery",3,7.5969,0
"314","org::apache::lucene::search::spans::SpanTermQuery",3,10.4963,0
"315","org::apache::lucene::index::FieldsWriter",11,11.4058,0
"316","org::apache::lucene::document::DateTools",2,4.70954,0
"317","org::apache::lucene::benchmark::quality::trec::TrecTopicsReader",1,1.17486,0
"318","org::apache::lucene::analysis::SinkTokenizer",2,5.30545,0
"319","org::apache::lucene::search::FieldDocSortedHitQueue",5,8.32875,0
"320","org::apache::lucene::search::TermScorer",0,2.64198,0
"321","org::apache::lucene::search::BooleanFilter",3,8.77244,0
"322","org::apache::lucene::index::DocConsumerPerThread",1,0.792859,0
"323","org::apache::lucene::analysis::compound::hyphenation::ByteVector",1,1.18716,0
"324","org::apache::lucene::analysis::payloads::PayloadHelper",1,1.29819,0
"325","org::apache::lucene::search::DisjunctionMaxQuery",6,9.2521,0
"326","org::apache::lucene::analysis::th::ThaiAnalyzer",2,2.26754,0
"327","org::apache::lucene::store::IndexOutput",5,7.66773,0
"328","org::apache::lucene::queryParser::surround::query::FieldsQuery",1,3.9126,0
"329","org::apache::lucene::queryParser::surround::query::AndQuery",0,2.67407,0
"330","org::apache::lucene::analysis::ru::RussianLetterTokenizer",0,0,0
"331","org::apache::lucene::index::MultiLevelSkipListWriter",1,2.54818,0
"332","org::apache::lucene::search::function::IntFieldSource",3,3.87796,0
"333","org::apache::lucene::index::SerialMergeScheduler",5,2.69376,0
"334","org::apache::lucene::analysis::standard::StandardFilter",3,4.2341,0
"335","org::apache::lucene::benchmark::byTask::tasks::SearchTask",1,3.28866,0
"336","org::apache::lucene::util::SmallFloat",1,4.48422,0
"337","org::apache::lucene::store::je::JEIndexOutput",2,5.27155,0
"338","org::apache::lucene::analysis::LowerCaseFilter",2,4.2341,0
"339","org::apache::lucene::demo::html::Token",0,0,0
"340","org::apache::lucene::benchmark::byTask::feeds::DocData",1,1.48053,0
"341","org::apache::lucene::search::spans::SpanNearQuery",3,9.72561,0
"342","org::apache::lucene::queryParser::surround::parser::Token",0,1.03163,0
"343","org::apache::lucene::benchmark::byTask::tasks::PerfTask",3,5.70339,0
"344","org::apache::lucene::benchmark::byTask::feeds::BasicDocMaker",6,6.29405,0
"345","org::apache::lucene::search::regex::JavaUtilRegexCapabilities",0,4.11562,0
"346","org::apache::lucene::search::SimilarityDelegator",1,4.30098,0
"347","org::apache::lucene::search::FuzzyQuery",2,7.22218,0
"348","org::apache::lucene::xmlparser::builders::BoostingQueryBuilder",0,2.99495,0
"349","org::apache::lucene::search::SpanFilter",2,2.35,0
"350","org::apache::lucene::store::instantiated::InstantiatedTermPositionVector",1,0.60098,0
"351","org::apache::lucene::benchmark::byTask::tasks::ResetSystemSoftTask",2,4.08464,0
"352","org::apache::lucene::index::IndexCommit",6,4.73438,0
"353","org::apache::lucene::analysis::compound::hyphenation::Hyphenation",1,1.18716,0
"354","org::apache::lucene::search::similar::SimilarityQueries",0,1.43177,0
"355","org::apache::lucene::analysis::SimpleAnalyzer",1,2.82217,0
"356","org::apache::lucene::benchmark::byTask::feeds::DirDocMaker",3,4.23089,0
"357","org::apache::lucene::search::regex::SpanRegexQuery",1,3.1498,0
"358","org::apache::lucene::benchmark::byTask::feeds::SimpleQueryMaker",2,4.46352,0
"359","org::apache::lucene::index::TermVectorsTermsWriterPerField",2,1.54522,0
"360","org::apache::lucene::benchmark::byTask::tasks::CommitIndexTask",1,1.23854,0
"361","org::apache::lucene::benchmark::byTask::tasks::SearchTravRetHighlightTask",1,1.23499,0
"362","org::apache::lucene::search::highlight::QueryScorer",0,0,0
"363","org::apache::lucene::queryParser::FastCharStream",0,1.64243,0
"364","org::apache::lucene::benchmark::standard::StandardOptions",0,5.25817,0
"365","org::apache::lucene::search::function::FieldCacheSource",3,3.78532,0
"366","org::apache::lucene::search::CachingWrapperFilter",4,6.91215,1
"367","org::apache::lucene::search::RangeQuery",3,13.4571,1
"368","org::apache::lucene::analysis::sinks::TokenRangeSinkTokenizer",1,1.3481,0
"369","org::apache::lucene::index::CompoundFileWriter",5,9.12701,0
"370","org::apache::lucene::benchmark::standard::StandardBenchmarker",4,6.47189,0
"371","org::apache::lucene::queryParser::surround::query::SrndBooleanQuery",0,2.67407,0
"372","org::apache::lucene::analysis::snowball::SnowballFilter",0,0,0
"373","org::apache::lucene::index::FieldInfo",5,7.31651,1
"374","org::apache::lucene::search::Hits",4,9.64939,0
"375","org::apache::lucene::search::spell::JaroWinklerDistance",1,0.938338,0
"376","org::apache::lucene::search::FieldSortedHitQueue",10,17.2681,0
"377","org::apache::lucene::util::cache::SimpleLRUCache",1,1.26735,0
"378","org::apache::lucene::analysis::StopFilter",6,11.0402,0
"379","org::apache::lucene::index::PositionBasedTermVectorMapper",4,1.76352,0
"380","org::apache::lucene::store::ChecksumIndexOutput",2,2.31429,0
"381","org::apache::lucene::misc::LengthNormModifier",2,4.43735,0
"382","org::apache::lucene::benchmark::byTask::tasks::OptimizeTask",2,4.52366,0
"383","org::apache::lucene::xmlparser::QueryTemplateManager",1,3.03811,0
"384","org::apache::lucene::demo::FileDocument",1,2.88097,0
"385","org::tartarus::snowball::ext::German2Stemmer",1,1.35264,0
"386","org::apache::lucene::search::TopDocCollector",3,6.78032,0
"387","org::apache::lucene::index::MultiSegmentReader",6,5.96254,1
"388","org::apache::lucene::search::QueryWrapperFilter",2,2.46006,0
"389","org::apache::lucene::search::function::DocValues",3,3.87796,0
"390","org::apache::lucene::index::DocFieldConsumerPerThread",1,0.792859,0
"391","org::apache::lucene::analysis::KeywordTokenizer",0,2.61865,0
"392","org::apache::lucene::queryParser::precedence::TokenMgrError",0,1.31187,0
"393","org::apache::lucene::analysis::ngram::EdgeNGramTokenizer",3,5.37625,0
"394","org::apache::lucene::search::similar::MoreLikeThisQuery",3,5.69695,0
"395","org::apache::lucene::search::highlight::SimpleHTMLFormatter",0,0,0
