"numberOfBugsFoundUntil.","numberOfNonTrivialBugsFoundUntil.","directory","k"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
30,30,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
7,7,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
14,14,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
9,9,"lucene","bug-metrics.csv"
9,9,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
10,10,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
7,7,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
13,13,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
8,8,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
16,16,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
5,5,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
5,5,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
11,11,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
15,15,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
18,18,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
22,22,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
10,10,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
7,7,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
17,17,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
8,8,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
8,8,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
7,7,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
5,5,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
9,9,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
11,11,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
5,5,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
5,5,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
5,5,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
9,9,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
5,5,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
5,5,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
10,10,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
5,5,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
8,8,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
9,9,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
24,24,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
5,5,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
32,32,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
14,14,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
20,20,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
19,19,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
7,7,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
8,8,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
5,5,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
9,9,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
81,81,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
5,5,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
21,21,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
4,4,"lucene","bug-metrics.csv"
7,7,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
5,5,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
6,6,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
5,5,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
8,8,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
9,9,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
18,18,"lucene","bug-metrics.csv"
11,11,"lucene","bug-metrics.csv"
7,7,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
0,0,"lucene","bug-metrics.csv"
3,3,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
1,1,"lucene","bug-metrics.csv"
2,2,"lucene","bug-metrics.csv"
