"numberOfAttributes","cbo","lcom","numberOfMethods","fanIn","directory","k"
4,1,1,2,1,"lucene","single-version-ck-oo.csv"
1,6,3,3,2,"lucene","single-version-ck-oo.csv"
1,5,1,2,1,"lucene","single-version-ck-oo.csv"
4,16,276,24,5,"lucene","single-version-ck-oo.csv"
13,1,66,12,0,"lucene","single-version-ck-oo.csv"
2,5,6,4,4,"lucene","single-version-ck-oo.csv"
8,4,10,5,1,"lucene","single-version-ck-oo.csv"
0,1,1,2,1,"lucene","single-version-ck-oo.csv"
4,2,1,2,2,"lucene","single-version-ck-oo.csv"
1,12,10,5,10,"lucene","single-version-ck-oo.csv"
0,26,6,4,26,"lucene","single-version-ck-oo.csv"
5,9,91,14,1,"lucene","single-version-ck-oo.csv"
1,20,45,10,12,"lucene","single-version-ck-oo.csv"
2,74,45,10,72,"lucene","single-version-ck-oo.csv"
0,12,6,4,0,"lucene","single-version-ck-oo.csv"
5,4,3,3,1,"lucene","single-version-ck-oo.csv"
0,3,1,2,1,"lucene","single-version-ck-oo.csv"
6,2,0,1,0,"lucene","single-version-ck-oo.csv"
0,2,15,6,1,"lucene","single-version-ck-oo.csv"
7,3,21,7,2,"lucene","single-version-ck-oo.csv"
3,29,55,11,28,"lucene","single-version-ck-oo.csv"
5,13,6,4,1,"lucene","single-version-ck-oo.csv"
12,6,91,14,1,"lucene","single-version-ck-oo.csv"
4,8,78,13,5,"lucene","single-version-ck-oo.csv"
4,6,10,5,1,"lucene","single-version-ck-oo.csv"
3,2,3,3,1,"lucene","single-version-ck-oo.csv"
9,2,1,2,1,"lucene","single-version-ck-oo.csv"
5,8,3,3,5,"lucene","single-version-ck-oo.csv"
0,6,0,1,6,"lucene","single-version-ck-oo.csv"
40,15,496,32,3,"lucene","single-version-ck-oo.csv"
2,4,15,6,1,"lucene","single-version-ck-oo.csv"
3,4,3,3,0,"lucene","single-version-ck-oo.csv"
2,29,78,13,27,"lucene","single-version-ck-oo.csv"
3,7,10,5,6,"lucene","single-version-ck-oo.csv"
3,3,28,8,1,"lucene","single-version-ck-oo.csv"
5,0,0,0,0,"lucene","single-version-ck-oo.csv"
0,0,15,6,0,"lucene","single-version-ck-oo.csv"
7,3,28,8,1,"lucene","single-version-ck-oo.csv"
27,3,3,3,0,"lucene","single-version-ck-oo.csv"
1,5,1,2,1,"lucene","single-version-ck-oo.csv"
3,9,78,13,1,"lucene","single-version-ck-oo.csv"
5,4,6,4,2,"lucene","single-version-ck-oo.csv"
1,3,1,2,0,"lucene","single-version-ck-oo.csv"
7,10,21,7,1,"lucene","single-version-ck-oo.csv"
11,6,66,12,2,"lucene","single-version-ck-oo.csv"
1,4,10,5,0,"lucene","single-version-ck-oo.csv"
0,4,3,3,1,"lucene","single-version-ck-oo.csv"
0,2,1,2,0,"lucene","single-version-ck-oo.csv"
1,6,1,2,1,"lucene","single-version-ck-oo.csv"
17,1,136,17,0,"lucene","single-version-ck-oo.csv"
5,6,66,12,5,"lucene","single-version-ck-oo.csv"
0,1,1,2,0,"lucene","single-version-ck-oo.csv"
4,4,10,5,3,"lucene","single-version-ck-oo.csv"
6,7,78,13,5,"lucene","single-version-ck-oo.csv"
9,18,78,13,14,"lucene","single-version-ck-oo.csv"
13,8,105,15,1,"lucene","single-version-ck-oo.csv"
8,3,153,18,3,"lucene","single-version-ck-oo.csv"
14,11,253,23,4,"lucene","single-version-ck-oo.csv"
2,2,10,5,1,"lucene","single-version-ck-oo.csv"
2,4,21,7,0,"lucene","single-version-ck-oo.csv"
7,4,15,6,2,"lucene","single-version-ck-oo.csv"
0,2,1,2,0,"lucene","single-version-ck-oo.csv"
5,8,91,14,1,"lucene","single-version-ck-oo.csv"
16,5,21,7,1,"lucene","single-version-ck-oo.csv"
5,8,6,4,0,"lucene","single-version-ck-oo.csv"
0,1,15,6,1,"lucene","single-version-ck-oo.csv"
0,26,28,8,13,"lucene","single-version-ck-oo.csv"
7,3,6,4,0,"lucene","single-version-ck-oo.csv"
8,5,36,9,1,"lucene","single-version-ck-oo.csv"
1,8,10,5,2,"lucene","single-version-ck-oo.csv"
4,8,55,11,2,"lucene","single-version-ck-oo.csv"
3,2,1,2,1,"lucene","single-version-ck-oo.csv"
4,1,28,8,0,"lucene","single-version-ck-oo.csv"
1,2,1,2,2,"lucene","single-version-ck-oo.csv"
1,3,6,4,1,"lucene","single-version-ck-oo.csv"
8,20,136,17,5,"lucene","single-version-ck-oo.csv"
0,0,0,1,0,"lucene","single-version-ck-oo.csv"
1,6,6,4,6,"lucene","single-version-ck-oo.csv"
0,8,0,1,0,"lucene","single-version-ck-oo.csv"
0,1,15,6,1,"lucene","single-version-ck-oo.csv"
1,11,1,2,1,"lucene","single-version-ck-oo.csv"
6,5,45,10,2,"lucene","single-version-ck-oo.csv"
5,5,6,4,2,"lucene","single-version-ck-oo.csv"
3,6,3,3,6,"lucene","single-version-ck-oo.csv"
1,7,6,4,2,"lucene","single-version-ck-oo.csv"
16,6,190,20,1,"lucene","single-version-ck-oo.csv"
0,2,6,4,2,"lucene","single-version-ck-oo.csv"
0,2,1,2,2,"lucene","single-version-ck-oo.csv"
31,20,903,43,2,"lucene","single-version-ck-oo.csv"
1,4,21,7,1,"lucene","single-version-ck-oo.csv"
3,2,0,1,1,"lucene","single-version-ck-oo.csv"
5,4,6,4,2,"lucene","single-version-ck-oo.csv"
0,8,0,1,0,"lucene","single-version-ck-oo.csv"
18,1,78,13,0,"lucene","single-version-ck-oo.csv"
7,7,45,10,3,"lucene","single-version-ck-oo.csv"
1,6,15,6,2,"lucene","single-version-ck-oo.csv"
0,14,15,6,11,"lucene","single-version-ck-oo.csv"
34,1,861,42,0,"lucene","single-version-ck-oo.csv"
0,19,1,2,18,"lucene","single-version-ck-oo.csv"
0,4,1,2,0,"lucene","single-version-ck-oo.csv"
5,6,1,2,1,"lucene","single-version-ck-oo.csv"
0,1,6,4,1,"lucene","single-version-ck-oo.csv"
6,6,10,5,3,"lucene","single-version-ck-oo.csv"
7,18,15,6,2,"lucene","single-version-ck-oo.csv"
5,4,21,7,4,"lucene","single-version-ck-oo.csv"
4,3,10,5,1,"lucene","single-version-ck-oo.csv"
6,2,55,11,1,"lucene","single-version-ck-oo.csv"
1,0,1,2,0,"lucene","single-version-ck-oo.csv"
3,3,15,6,1,"lucene","single-version-ck-oo.csv"
0,9,1,2,0,"lucene","single-version-ck-oo.csv"
0,2,1,2,1,"lucene","single-version-ck-oo.csv"
2,9,10,5,0,"lucene","single-version-ck-oo.csv"
7,10,21,7,0,"lucene","single-version-ck-oo.csv"
0,3,0,1,3,"lucene","single-version-ck-oo.csv"
1,10,6,4,6,"lucene","single-version-ck-oo.csv"
8,5,15,6,1,"lucene","single-version-ck-oo.csv"
1,6,3,3,0,"lucene","single-version-ck-oo.csv"
1,8,1,2,1,"lucene","single-version-ck-oo.csv"
17,2,3,3,1,"lucene","single-version-ck-oo.csv"
7,16,153,18,6,"lucene","single-version-ck-oo.csv"
1,14,21,7,2,"lucene","single-version-ck-oo.csv"
8,5,15,6,1,"lucene","single-version-ck-oo.csv"
6,3,91,14,1,"lucene","single-version-ck-oo.csv"
22,18,496,32,1,"lucene","single-version-ck-oo.csv"
3,6,3,3,1,"lucene","single-version-ck-oo.csv"
1,4,1,2,1,"lucene","single-version-ck-oo.csv"
0,2,0,1,0,"lucene","single-version-ck-oo.csv"
3,2,6,4,1,"lucene","single-version-ck-oo.csv"
0,4,1,2,1,"lucene","single-version-ck-oo.csv"
0,8,1,2,8,"lucene","single-version-ck-oo.csv"
7,4,3,3,2,"lucene","single-version-ck-oo.csv"
10,8,253,23,3,"lucene","single-version-ck-oo.csv"
14,1,66,12,0,"lucene","single-version-ck-oo.csv"
2,4,1,2,0,"lucene","single-version-ck-oo.csv"
26,9,3,3,7,"lucene","single-version-ck-oo.csv"
13,6,36,9,1,"lucene","single-version-ck-oo.csv"
1,1,6,4,1,"lucene","single-version-ck-oo.csv"
14,1,91,14,0,"lucene","single-version-ck-oo.csv"
1,11,28,8,7,"lucene","single-version-ck-oo.csv"
0,2,0,1,2,"lucene","single-version-ck-oo.csv"
2,4,28,8,1,"lucene","single-version-ck-oo.csv"
8,9,378,28,2,"lucene","single-version-ck-oo.csv"
2,8,21,7,1,"lucene","single-version-ck-oo.csv"
0,3,3,3,2,"lucene","single-version-ck-oo.csv"
1,6,1,2,4,"lucene","single-version-ck-oo.csv"
0,2,15,6,2,"lucene","single-version-ck-oo.csv"
1,6,15,6,3,"lucene","single-version-ck-oo.csv"
3,46,120,16,45,"lucene","single-version-ck-oo.csv"
3,2,10,5,1,"lucene","single-version-ck-oo.csv"
2,2,1,2,1,"lucene","single-version-ck-oo.csv"
37,24,1081,47,1,"lucene","single-version-ck-oo.csv"
0,42,15,6,41,"lucene","single-version-ck-oo.csv"
3,4,3,3,1,"lucene","single-version-ck-oo.csv"
64,6,231,22,1,"lucene","single-version-ck-oo.csv"
8,2,10,5,2,"lucene","single-version-ck-oo.csv"
1,8,45,10,6,"lucene","single-version-ck-oo.csv"
1,2,15,6,2,"lucene","single-version-ck-oo.csv"
5,3,3,3,1,"lucene","single-version-ck-oo.csv"
3,13,78,13,8,"lucene","single-version-ck-oo.csv"
3,11,66,12,8,"lucene","single-version-ck-oo.csv"
5,9,78,13,1,"lucene","single-version-ck-oo.csv"
4,3,10,5,1,"lucene","single-version-ck-oo.csv"
1,4,10,5,0,"lucene","single-version-ck-oo.csv"
0,6,6,4,2,"lucene","single-version-ck-oo.csv"
3,3,6,4,3,"lucene","single-version-ck-oo.csv"
1,5,1,2,2,"lucene","single-version-ck-oo.csv"
2,2,15,6,1,"lucene","single-version-ck-oo.csv"
0,10,10,5,9,"lucene","single-version-ck-oo.csv"
2,7,21,7,1,"lucene","single-version-ck-oo.csv"
10,6,136,17,1,"lucene","single-version-ck-oo.csv"
0,9,10,5,1,"lucene","single-version-ck-oo.csv"
2,13,66,12,7,"lucene","single-version-ck-oo.csv"
0,1,0,1,0,"lucene","single-version-ck-oo.csv"
5,8,21,7,1,"lucene","single-version-ck-oo.csv"
15,13,105,15,3,"lucene","single-version-ck-oo.csv"
10,14,21,7,6,"lucene","single-version-ck-oo.csv"
1,7,45,10,3,"lucene","single-version-ck-oo.csv"
1,5,10,5,4,"lucene","single-version-ck-oo.csv"
11,15,190,20,11,"lucene","single-version-ck-oo.csv"
2,5,1,2,5,"lucene","single-version-ck-oo.csv"
2,6,6,4,2,"lucene","single-version-ck-oo.csv"
1,5,1,2,1,"lucene","single-version-ck-oo.csv"
18,27,136,17,3,"lucene","single-version-ck-oo.csv"
6,9,10,5,0,"lucene","single-version-ck-oo.csv"
3,33,66,12,33,"lucene","single-version-ck-oo.csv"
0,2,3,3,0,"lucene","single-version-ck-oo.csv"
0,5,1,2,3,"lucene","single-version-ck-oo.csv"
1,6,6,4,6,"lucene","single-version-ck-oo.csv"
6,9,21,7,2,"lucene","single-version-ck-oo.csv"
0,4,10,5,4,"lucene","single-version-ck-oo.csv"
4,3,3,3,1,"lucene","single-version-ck-oo.csv"
10,11,28,8,5,"lucene","single-version-ck-oo.csv"
3,2,3,3,1,"lucene","single-version-ck-oo.csv"
7,1,15,6,0,"lucene","single-version-ck-oo.csv"
1,3,3,3,0,"lucene","single-version-ck-oo.csv"
2,3,1,2,0,"lucene","single-version-ck-oo.csv"
1,5,6,4,3,"lucene","single-version-ck-oo.csv"
8,4,6,4,1,"lucene","single-version-ck-oo.csv"
4,3,55,11,1,"lucene","single-version-ck-oo.csv"
5,36,210,21,30,"lucene","single-version-ck-oo.csv"
7,6,10,5,1,"lucene","single-version-ck-oo.csv"
6,9,36,9,1,"lucene","single-version-ck-oo.csv"
1,5,3,3,4,"lucene","single-version-ck-oo.csv"
1,5,3,3,4,"lucene","single-version-ck-oo.csv"
9,3,1,2,1,"lucene","single-version-ck-oo.csv"
1,103,66,12,99,"lucene","single-version-ck-oo.csv"
2,7,6,4,6,"lucene","single-version-ck-oo.csv"
1,5,45,10,0,"lucene","single-version-ck-oo.csv"
9,13,36,9,0,"lucene","single-version-ck-oo.csv"
1,3,1,2,0,"lucene","single-version-ck-oo.csv"
1,7,6,4,1,"lucene","single-version-ck-oo.csv"
2,1,6,4,0,"lucene","single-version-ck-oo.csv"
1,2,3,3,0,"lucene","single-version-ck-oo.csv"
2,7,45,10,4,"lucene","single-version-ck-oo.csv"
8,21,78,13,1,"lucene","single-version-ck-oo.csv"
6,25,325,26,21,"lucene","single-version-ck-oo.csv"
0,8,3,3,0,"lucene","single-version-ck-oo.csv"
0,2,1,2,0,"lucene","single-version-ck-oo.csv"
1,5,1,2,1,"lucene","single-version-ck-oo.csv"
7,3,105,15,0,"lucene","single-version-ck-oo.csv"
40,4,136,17,2,"lucene","single-version-ck-oo.csv"
7,6,21,7,2,"lucene","single-version-ck-oo.csv"
7,5,10,5,2,"lucene","single-version-ck-oo.csv"
19,4,496,32,1,"lucene","single-version-ck-oo.csv"
3,5,3,3,1,"lucene","single-version-ck-oo.csv"
3,4,15,6,1,"lucene","single-version-ck-oo.csv"
1,2,3,3,1,"lucene","single-version-ck-oo.csv"
3,2,15,6,0,"lucene","single-version-ck-oo.csv"
5,5,6,4,2,"lucene","single-version-ck-oo.csv"
1,5,1,2,1,"lucene","single-version-ck-oo.csv"
0,13,15,6,8,"lucene","single-version-ck-oo.csv"
0,0,0,1,0,"lucene","single-version-ck-oo.csv"
2,7,6,4,4,"lucene","single-version-ck-oo.csv"
11,1,78,13,0,"lucene","single-version-ck-oo.csv"
19,6,1,2,6,"lucene","single-version-ck-oo.csv"
11,18,253,23,10,"lucene","single-version-ck-oo.csv"
0,1,1,2,0,"lucene","single-version-ck-oo.csv"
0,3,0,1,0,"lucene","single-version-ck-oo.csv"
0,18,3,3,17,"lucene","single-version-ck-oo.csv"
5,4,1,2,0,"lucene","single-version-ck-oo.csv"
0,1,0,1,1,"lucene","single-version-ck-oo.csv"
1,5,6,4,1,"lucene","single-version-ck-oo.csv"
7,29,105,15,17,"lucene","single-version-ck-oo.csv"
0,4,0,1,4,"lucene","single-version-ck-oo.csv"
1,2,276,24,1,"lucene","single-version-ck-oo.csv"
8,4,1,2,4,"lucene","single-version-ck-oo.csv"
2,14,36,9,9,"lucene","single-version-ck-oo.csv"
8,7,21,7,1,"lucene","single-version-ck-oo.csv"
1,5,3,3,1,"lucene","single-version-ck-oo.csv"
2,4,1,2,2,"lucene","single-version-ck-oo.csv"
6,4,1,2,1,"lucene","single-version-ck-oo.csv"
4,4,120,16,1,"lucene","single-version-ck-oo.csv"
0,1,0,1,1,"lucene","single-version-ck-oo.csv"
2,5,1,2,1,"lucene","single-version-ck-oo.csv"
3,8,21,7,8,"lucene","single-version-ck-oo.csv"
3,8,10,5,2,"lucene","single-version-ck-oo.csv"
41,6,171,19,1,"lucene","single-version-ck-oo.csv"
1,7,21,7,2,"lucene","single-version-ck-oo.csv"
0,8,1,2,0,"lucene","single-version-ck-oo.csv"
4,17,36,9,2,"lucene","single-version-ck-oo.csv"
1,4,1,2,2,"lucene","single-version-ck-oo.csv"
0,3,1,2,0,"lucene","single-version-ck-oo.csv"
15,7,66,12,2,"lucene","single-version-ck-oo.csv"
0,90,6,4,90,"lucene","single-version-ck-oo.csv"
4,4,6,4,0,"lucene","single-version-ck-oo.csv"
8,5,231,22,1,"lucene","single-version-ck-oo.csv"
2,5,6,4,1,"lucene","single-version-ck-oo.csv"
1,1,6,4,1,"lucene","single-version-ck-oo.csv"
5,5,3,3,2,"lucene","single-version-ck-oo.csv"
1,80,21,7,73,"lucene","single-version-ck-oo.csv"
1,27,45,10,20,"lucene","single-version-ck-oo.csv"
0,0,1,2,0,"lucene","single-version-ck-oo.csv"
10,10,45,10,4,"lucene","single-version-ck-oo.csv"
8,18,15,6,13,"lucene","single-version-ck-oo.csv"
3,4,1,2,0,"lucene","single-version-ck-oo.csv"
1,6,3,3,2,"lucene","single-version-ck-oo.csv"
2,10,15,6,10,"lucene","single-version-ck-oo.csv"
2,11,10,5,1,"lucene","single-version-ck-oo.csv"
11,8,21,7,2,"lucene","single-version-ck-oo.csv"
0,15,1,2,0,"lucene","single-version-ck-oo.csv"
4,10,45,10,2,"lucene","single-version-ck-oo.csv"
0,1,1,2,1,"lucene","single-version-ck-oo.csv"
4,2,28,8,1,"lucene","single-version-ck-oo.csv"
0,3,6,4,2,"lucene","single-version-ck-oo.csv"
2,6,45,10,2,"lucene","single-version-ck-oo.csv"
0,3,1,2,1,"lucene","single-version-ck-oo.csv"
3,33,105,15,31,"lucene","single-version-ck-oo.csv"
4,5,28,8,0,"lucene","single-version-ck-oo.csv"
0,3,1,2,1,"lucene","single-version-ck-oo.csv"
1,3,1,2,2,"lucene","single-version-ck-oo.csv"
3,5,15,6,2,"lucene","single-version-ck-oo.csv"
1,5,10,5,1,"lucene","single-version-ck-oo.csv"
0,7,3,3,6,"lucene","single-version-ck-oo.csv"
2,12,1,2,10,"lucene","single-version-ck-oo.csv"
0,2,15,6,1,"lucene","single-version-ck-oo.csv"
0,3,15,6,2,"lucene","single-version-ck-oo.csv"
8,4,28,8,1,"lucene","single-version-ck-oo.csv"
0,14,1,2,11,"lucene","single-version-ck-oo.csv"
2,6,3,3,2,"lucene","single-version-ck-oo.csv"
8,2,3,3,2,"lucene","single-version-ck-oo.csv"
5,6,28,8,1,"lucene","single-version-ck-oo.csv"
5,5,55,11,5,"lucene","single-version-ck-oo.csv"
4,24,78,13,17,"lucene","single-version-ck-oo.csv"
8,2,3,3,2,"lucene","single-version-ck-oo.csv"
7,43,210,21,37,"lucene","single-version-ck-oo.csv"
20,17,136,17,6,"lucene","single-version-ck-oo.csv"
1,3,10,5,0,"lucene","single-version-ck-oo.csv"
1,3,36,9,2,"lucene","single-version-ck-oo.csv"
4,16,36,9,3,"lucene","single-version-ck-oo.csv"
2,5,1,2,1,"lucene","single-version-ck-oo.csv"
0,1,0,1,1,"lucene","single-version-ck-oo.csv"
1,3,3,3,1,"lucene","single-version-ck-oo.csv"
3,3,10,5,1,"lucene","single-version-ck-oo.csv"
0,2,1,2,0,"lucene","single-version-ck-oo.csv"
0,19,66,12,15,"lucene","single-version-ck-oo.csv"
2,2,3,3,2,"lucene","single-version-ck-oo.csv"
0,5,1,2,0,"lucene","single-version-ck-oo.csv"
0,47,3,3,44,"lucene","single-version-ck-oo.csv"
4,9,10,5,0,"lucene","single-version-ck-oo.csv"
2,15,66,12,2,"lucene","single-version-ck-oo.csv"
0,3,0,1,0,"lucene","single-version-ck-oo.csv"
10,10,36,9,2,"lucene","single-version-ck-oo.csv"
0,2,1,2,0,"lucene","single-version-ck-oo.csv"
4,8,28,8,0,"lucene","single-version-ck-oo.csv"
5,3,15,6,1,"lucene","single-version-ck-oo.csv"
6,3,91,14,1,"lucene","single-version-ck-oo.csv"
4,1,28,8,1,"lucene","single-version-ck-oo.csv"
1,5,28,8,4,"lucene","single-version-ck-oo.csv"
2,6,15,6,4,"lucene","single-version-ck-oo.csv"
6,12,105,15,5,"lucene","single-version-ck-oo.csv"
3,1,3,3,0,"lucene","single-version-ck-oo.csv"
6,11,15,6,4,"lucene","single-version-ck-oo.csv"
3,26,45,10,0,"lucene","single-version-ck-oo.csv"
0,4,1,2,3,"lucene","single-version-ck-oo.csv"
1,8,1,2,2,"lucene","single-version-ck-oo.csv"
9,1,3,3,1,"lucene","single-version-ck-oo.csv"
14,39,55,11,31,"lucene","single-version-ck-oo.csv"
1,2,10,5,1,"lucene","single-version-ck-oo.csv"
4,10,153,18,1,"lucene","single-version-ck-oo.csv"
2,3,0,1,2,"lucene","single-version-ck-oo.csv"
7,6,6,4,1,"lucene","single-version-ck-oo.csv"
3,21,21,7,19,"lucene","single-version-ck-oo.csv"
4,2,10,5,1,"lucene","single-version-ck-oo.csv"
2,4,55,11,1,"lucene","single-version-ck-oo.csv"
2,12,3,3,1,"lucene","single-version-ck-oo.csv"
1,3,6,4,0,"lucene","single-version-ck-oo.csv"
4,14,21,7,2,"lucene","single-version-ck-oo.csv"
0,6,1,2,3,"lucene","single-version-ck-oo.csv"
12,1,28,8,0,"lucene","single-version-ck-oo.csv"
56,10,6,4,7,"lucene","single-version-ck-oo.csv"
3,5,6,4,2,"lucene","single-version-ck-oo.csv"
7,14,435,30,2,"lucene","single-version-ck-oo.csv"
1,10,15,6,5,"lucene","single-version-ck-oo.csv"
4,12,78,13,9,"lucene","single-version-ck-oo.csv"
0,3,6,4,3,"lucene","single-version-ck-oo.csv"
2,2,3,3,0,"lucene","single-version-ck-oo.csv"
5,5,6,4,2,"lucene","single-version-ck-oo.csv"
10,4,1,2,1,"lucene","single-version-ck-oo.csv"
8,4,171,19,1,"lucene","single-version-ck-oo.csv"
2,8,1,2,6,"lucene","single-version-ck-oo.csv"
7,6,3,3,2,"lucene","single-version-ck-oo.csv"
2,3,6,4,3,"lucene","single-version-ck-oo.csv"
2,3,3,3,3,"lucene","single-version-ck-oo.csv"
4,15,3,3,0,"lucene","single-version-ck-oo.csv"
0,1,1,2,1,"lucene","single-version-ck-oo.csv"
11,1,78,13,0,"lucene","single-version-ck-oo.csv"
7,12,45,10,4,"lucene","single-version-ck-oo.csv"
8,4,21,7,0,"lucene","single-version-ck-oo.csv"
1,25,6,4,25,"lucene","single-version-ck-oo.csv"
5,4,153,18,1,"lucene","single-version-ck-oo.csv"
1,9,21,7,3,"lucene","single-version-ck-oo.csv"
0,0,0,1,0,"lucene","single-version-ck-oo.csv"
2,6,6,4,0,"lucene","single-version-ck-oo.csv"
11,1,28,8,0,"lucene","single-version-ck-oo.csv"
8,0,0,1,0,"lucene","single-version-ck-oo.csv"
1,7,10,5,1,"lucene","single-version-ck-oo.csv"
5,10,21,7,1,"lucene","single-version-ck-oo.csv"
10,7,120,16,1,"lucene","single-version-ck-oo.csv"
1,9,1,2,1,"lucene","single-version-ck-oo.csv"
3,4,1,2,2,"lucene","single-version-ck-oo.csv"
3,5,15,6,1,"lucene","single-version-ck-oo.csv"
2,5,3,3,0,"lucene","single-version-ck-oo.csv"
4,2,15,6,1,"lucene","single-version-ck-oo.csv"
8,4,210,21,1,"lucene","single-version-ck-oo.csv"
3,4,15,6,0,"lucene","single-version-ck-oo.csv"
2,9,36,9,8,"lucene","single-version-ck-oo.csv"
2,4,1,2,1,"lucene","single-version-ck-oo.csv"
11,14,210,21,1,"lucene","single-version-ck-oo.csv"
2,5,6,4,1,"lucene","single-version-ck-oo.csv"
0,12,10,5,12,"lucene","single-version-ck-oo.csv"
2,4,10,5,1,"lucene","single-version-ck-oo.csv"
12,1,55,11,0,"lucene","single-version-ck-oo.csv"
8,7,28,8,1,"lucene","single-version-ck-oo.csv"
0,2,1,2,2,"lucene","single-version-ck-oo.csv"
9,6,28,8,2,"lucene","single-version-ck-oo.csv"
8,15,66,12,5,"lucene","single-version-ck-oo.csv"
0,2,10,5,2,"lucene","single-version-ck-oo.csv"
14,3,28,8,1,"lucene","single-version-ck-oo.csv"
1,9,1,2,1,"lucene","single-version-ck-oo.csv"
9,3,6,4,2,"lucene","single-version-ck-oo.csv"
38,5,28,8,1,"lucene","single-version-ck-oo.csv"
4,6,28,8,2,"lucene","single-version-ck-oo.csv"
11,9,21,7,1,"lucene","single-version-ck-oo.csv"
3,5,3,3,1,"lucene","single-version-ck-oo.csv"
1,5,3,3,1,"lucene","single-version-ck-oo.csv"
10,4,28,8,1,"lucene","single-version-ck-oo.csv"
1,4,15,6,4,"lucene","single-version-ck-oo.csv"
4,4,45,10,3,"lucene","single-version-ck-oo.csv"
7,7,10,5,2,"lucene","single-version-ck-oo.csv"
5,28,55,11,20,"lucene","single-version-ck-oo.csv"
1,2,21,7,2,"lucene","single-version-ck-oo.csv"
