"numberOfPrivateMethods","fanOut","cbo","numberOfLinesOfCode","rfc","directory","k"
2,2,2,19,11,"mylyn","single-version-ck-oo.csv"
0,0,22,21,7,"mylyn","single-version-ck-oo.csv"
2,10,12,70,37,"mylyn","single-version-ck-oo.csv"
0,6,10,47,23,"mylyn","single-version-ck-oo.csv"
0,9,11,60,23,"mylyn","single-version-ck-oo.csv"
0,0,2,10,4,"mylyn","single-version-ck-oo.csv"
3,1,3,124,43,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
0,4,4,54,21,"mylyn","single-version-ck-oo.csv"
2,4,4,50,32,"mylyn","single-version-ck-oo.csv"
0,2,5,29,12,"mylyn","single-version-ck-oo.csv"
0,2,2,17,9,"mylyn","single-version-ck-oo.csv"
0,0,1,9,5,"mylyn","single-version-ck-oo.csv"
0,0,3,35,12,"mylyn","single-version-ck-oo.csv"
0,1,2,38,14,"mylyn","single-version-ck-oo.csv"
0,2,3,12,7,"mylyn","single-version-ck-oo.csv"
0,4,4,27,14,"mylyn","single-version-ck-oo.csv"
0,4,5,26,10,"mylyn","single-version-ck-oo.csv"
3,8,9,201,79,"mylyn","single-version-ck-oo.csv"
0,2,2,64,12,"mylyn","single-version-ck-oo.csv"
0,2,52,45,15,"mylyn","single-version-ck-oo.csv"
0,2,2,13,9,"mylyn","single-version-ck-oo.csv"
0,0,1,45,12,"mylyn","single-version-ck-oo.csv"
0,0,7,0,6,"mylyn","single-version-ck-oo.csv"
0,0,0,5,2,"mylyn","single-version-ck-oo.csv"
1,1,2,9,3,"mylyn","single-version-ck-oo.csv"
1,4,4,37,13,"mylyn","single-version-ck-oo.csv"
0,1,1,3,3,"mylyn","single-version-ck-oo.csv"
0,0,0,37,7,"mylyn","single-version-ck-oo.csv"
2,9,26,270,147,"mylyn","single-version-ck-oo.csv"
3,4,6,75,34,"mylyn","single-version-ck-oo.csv"
0,4,7,68,10,"mylyn","single-version-ck-oo.csv"
2,3,8,76,24,"mylyn","single-version-ck-oo.csv"
0,6,7,39,22,"mylyn","single-version-ck-oo.csv"
0,2,4,70,28,"mylyn","single-version-ck-oo.csv"
2,4,6,89,27,"mylyn","single-version-ck-oo.csv"
1,3,4,49,17,"mylyn","single-version-ck-oo.csv"
0,3,3,29,12,"mylyn","single-version-ck-oo.csv"
0,5,9,55,24,"mylyn","single-version-ck-oo.csv"
22,9,10,556,121,"mylyn","single-version-ck-oo.csv"
0,2,3,8,8,"mylyn","single-version-ck-oo.csv"
0,2,3,9,4,"mylyn","single-version-ck-oo.csv"
0,7,7,30,14,"mylyn","single-version-ck-oo.csv"
0,5,5,20,12,"mylyn","single-version-ck-oo.csv"
0,2,7,22,13,"mylyn","single-version-ck-oo.csv"
0,1,1,3,5,"mylyn","single-version-ck-oo.csv"
0,0,2,6,2,"mylyn","single-version-ck-oo.csv"
0,31,49,194,119,"mylyn","single-version-ck-oo.csv"
0,0,1,12,5,"mylyn","single-version-ck-oo.csv"
0,0,0,30,10,"mylyn","single-version-ck-oo.csv"
1,13,15,107,41,"mylyn","single-version-ck-oo.csv"
3,12,16,159,80,"mylyn","single-version-ck-oo.csv"
1,1,2,9,3,"mylyn","single-version-ck-oo.csv"
0,5,5,29,12,"mylyn","single-version-ck-oo.csv"
9,30,36,457,255,"mylyn","single-version-ck-oo.csv"
0,2,5,24,14,"mylyn","single-version-ck-oo.csv"
0,10,15,41,23,"mylyn","single-version-ck-oo.csv"
0,8,9,66,28,"mylyn","single-version-ck-oo.csv"
0,1,2,29,14,"mylyn","single-version-ck-oo.csv"
0,1,5,41,19,"mylyn","single-version-ck-oo.csv"
0,0,3,9,3,"mylyn","single-version-ck-oo.csv"
0,0,2,15,8,"mylyn","single-version-ck-oo.csv"
0,0,1,6,2,"mylyn","single-version-ck-oo.csv"
0,17,19,86,44,"mylyn","single-version-ck-oo.csv"
0,2,8,83,29,"mylyn","single-version-ck-oo.csv"
0,8,10,288,159,"mylyn","single-version-ck-oo.csv"
0,1,2,26,7,"mylyn","single-version-ck-oo.csv"
0,7,7,41,18,"mylyn","single-version-ck-oo.csv"
0,3,112,41,15,"mylyn","single-version-ck-oo.csv"
3,5,8,92,47,"mylyn","single-version-ck-oo.csv"
0,1,2,12,5,"mylyn","single-version-ck-oo.csv"
0,6,7,88,32,"mylyn","single-version-ck-oo.csv"
0,3,4,40,23,"mylyn","single-version-ck-oo.csv"
1,2,4,31,11,"mylyn","single-version-ck-oo.csv"
0,28,44,120,61,"mylyn","single-version-ck-oo.csv"
2,8,11,77,37,"mylyn","single-version-ck-oo.csv"
0,1,20,60,19,"mylyn","single-version-ck-oo.csv"
0,0,1,16,6,"mylyn","single-version-ck-oo.csv"
0,0,1,6,3,"mylyn","single-version-ck-oo.csv"
6,5,5,166,81,"mylyn","single-version-ck-oo.csv"
0,0,2,0,2,"mylyn","single-version-ck-oo.csv"
0,2,3,9,6,"mylyn","single-version-ck-oo.csv"
0,1,1,26,8,"mylyn","single-version-ck-oo.csv"
0,5,7,61,26,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
2,6,7,149,51,"mylyn","single-version-ck-oo.csv"
1,4,4,102,30,"mylyn","single-version-ck-oo.csv"
0,6,6,56,31,"mylyn","single-version-ck-oo.csv"
0,1,110,18,16,"mylyn","single-version-ck-oo.csv"
0,13,22,74,36,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
2,4,5,68,21,"mylyn","single-version-ck-oo.csv"
0,6,7,27,12,"mylyn","single-version-ck-oo.csv"
0,3,5,43,14,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,1,2,47,14,"mylyn","single-version-ck-oo.csv"
0,1,10,45,14,"mylyn","single-version-ck-oo.csv"
0,1,4,14,5,"mylyn","single-version-ck-oo.csv"
0,1,3,13,5,"mylyn","single-version-ck-oo.csv"
4,5,7,157,53,"mylyn","single-version-ck-oo.csv"
0,0,1,0,1,"mylyn","single-version-ck-oo.csv"
0,0,2,6,3,"mylyn","single-version-ck-oo.csv"
1,5,6,44,13,"mylyn","single-version-ck-oo.csv"
0,0,6,13,5,"mylyn","single-version-ck-oo.csv"
2,3,8,37,19,"mylyn","single-version-ck-oo.csv"
0,0,1,12,9,"mylyn","single-version-ck-oo.csv"
0,1,1,5,2,"mylyn","single-version-ck-oo.csv"
1,1,1,53,11,"mylyn","single-version-ck-oo.csv"
1,4,4,65,19,"mylyn","single-version-ck-oo.csv"
0,11,15,407,271,"mylyn","single-version-ck-oo.csv"
0,1,1,19,7,"mylyn","single-version-ck-oo.csv"
0,1,1,92,40,"mylyn","single-version-ck-oo.csv"
1,1,1,15,10,"mylyn","single-version-ck-oo.csv"
1,4,6,78,22,"mylyn","single-version-ck-oo.csv"
0,9,13,51,29,"mylyn","single-version-ck-oo.csv"
3,4,9,112,31,"mylyn","single-version-ck-oo.csv"
0,1,3,15,6,"mylyn","single-version-ck-oo.csv"
4,4,4,187,21,"mylyn","single-version-ck-oo.csv"
0,7,8,29,16,"mylyn","single-version-ck-oo.csv"
1,4,4,60,21,"mylyn","single-version-ck-oo.csv"
0,2,2,18,8,"mylyn","single-version-ck-oo.csv"
9,15,16,144,83,"mylyn","single-version-ck-oo.csv"
0,2,2,20,9,"mylyn","single-version-ck-oo.csv"
1,13,14,223,196,"mylyn","single-version-ck-oo.csv"
0,1,3,9,7,"mylyn","single-version-ck-oo.csv"
16,20,35,480,191,"mylyn","single-version-ck-oo.csv"
0,7,11,56,30,"mylyn","single-version-ck-oo.csv"
6,32,33,400,175,"mylyn","single-version-ck-oo.csv"
0,5,7,17,13,"mylyn","single-version-ck-oo.csv"
0,4,4,19,26,"mylyn","single-version-ck-oo.csv"
1,9,9,188,59,"mylyn","single-version-ck-oo.csv"
0,8,12,59,37,"mylyn","single-version-ck-oo.csv"
1,3,3,36,25,"mylyn","single-version-ck-oo.csv"
0,0,0,0,0,"mylyn","single-version-ck-oo.csv"
0,1,2,3,3,"mylyn","single-version-ck-oo.csv"
6,13,13,225,98,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,0,0,6,3,"mylyn","single-version-ck-oo.csv"
2,9,10,72,42,"mylyn","single-version-ck-oo.csv"
0,3,3,26,12,"mylyn","single-version-ck-oo.csv"
1,1,3,9,3,"mylyn","single-version-ck-oo.csv"
0,7,7,25,15,"mylyn","single-version-ck-oo.csv"
1,10,27,81,48,"mylyn","single-version-ck-oo.csv"
0,3,6,36,15,"mylyn","single-version-ck-oo.csv"
1,8,10,117,47,"mylyn","single-version-ck-oo.csv"
2,12,13,160,94,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,4,4,43,17,"mylyn","single-version-ck-oo.csv"
0,0,1,9,5,"mylyn","single-version-ck-oo.csv"
4,7,8,213,71,"mylyn","single-version-ck-oo.csv"
0,2,4,43,23,"mylyn","single-version-ck-oo.csv"
1,6,15,41,25,"mylyn","single-version-ck-oo.csv"
0,12,14,78,45,"mylyn","single-version-ck-oo.csv"
2,6,6,114,40,"mylyn","single-version-ck-oo.csv"
0,1,1,17,8,"mylyn","single-version-ck-oo.csv"
1,8,10,91,46,"mylyn","single-version-ck-oo.csv"
0,1,2,12,5,"mylyn","single-version-ck-oo.csv"
5,23,23,214,104,"mylyn","single-version-ck-oo.csv"
0,0,0,4,1,"mylyn","single-version-ck-oo.csv"
0,1,1,40,12,"mylyn","single-version-ck-oo.csv"
1,8,9,51,38,"mylyn","single-version-ck-oo.csv"
0,11,11,57,25,"mylyn","single-version-ck-oo.csv"
0,3,16,27,11,"mylyn","single-version-ck-oo.csv"
0,4,7,34,23,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
1,21,22,152,100,"mylyn","single-version-ck-oo.csv"
0,3,26,87,49,"mylyn","single-version-ck-oo.csv"
0,3,6,65,27,"mylyn","single-version-ck-oo.csv"
11,19,28,602,135,"mylyn","single-version-ck-oo.csv"
0,2,2,20,7,"mylyn","single-version-ck-oo.csv"
0,8,9,77,24,"mylyn","single-version-ck-oo.csv"
3,12,17,226,58,"mylyn","single-version-ck-oo.csv"
0,4,4,19,7,"mylyn","single-version-ck-oo.csv"
1,3,4,21,14,"mylyn","single-version-ck-oo.csv"
0,5,6,21,14,"mylyn","single-version-ck-oo.csv"
8,12,231,336,190,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,2,3,30,9,"mylyn","single-version-ck-oo.csv"
0,0,3,40,10,"mylyn","single-version-ck-oo.csv"
6,20,21,523,248,"mylyn","single-version-ck-oo.csv"
0,1,2,3,2,"mylyn","single-version-ck-oo.csv"
0,0,2,12,4,"mylyn","single-version-ck-oo.csv"
0,0,2,26,7,"mylyn","single-version-ck-oo.csv"
0,1,11,51,16,"mylyn","single-version-ck-oo.csv"
0,5,10,25,16,"mylyn","single-version-ck-oo.csv"
0,0,3,24,13,"mylyn","single-version-ck-oo.csv"
0,0,2,24,12,"mylyn","single-version-ck-oo.csv"
0,0,1,43,9,"mylyn","single-version-ck-oo.csv"
0,0,0,41,11,"mylyn","single-version-ck-oo.csv"
0,2,3,24,9,"mylyn","single-version-ck-oo.csv"
8,21,22,301,122,"mylyn","single-version-ck-oo.csv"
3,6,7,96,44,"mylyn","single-version-ck-oo.csv"
0,1,5,8,6,"mylyn","single-version-ck-oo.csv"
0,5,7,41,19,"mylyn","single-version-ck-oo.csv"
0,3,3,42,12,"mylyn","single-version-ck-oo.csv"
0,1,1,14,3,"mylyn","single-version-ck-oo.csv"
15,15,15,456,142,"mylyn","single-version-ck-oo.csv"
2,1,2,32,16,"mylyn","single-version-ck-oo.csv"
2,6,10,130,81,"mylyn","single-version-ck-oo.csv"
0,2,2,11,7,"mylyn","single-version-ck-oo.csv"
0,1,1,9,4,"mylyn","single-version-ck-oo.csv"
0,0,6,12,5,"mylyn","single-version-ck-oo.csv"
0,1,10,52,20,"mylyn","single-version-ck-oo.csv"
6,15,15,189,62,"mylyn","single-version-ck-oo.csv"
0,14,14,64,32,"mylyn","single-version-ck-oo.csv"
0,5,7,50,25,"mylyn","single-version-ck-oo.csv"
0,1,1,10,6,"mylyn","single-version-ck-oo.csv"
0,1,1,14,7,"mylyn","single-version-ck-oo.csv"
0,0,2,3,3,"mylyn","single-version-ck-oo.csv"
1,10,12,124,67,"mylyn","single-version-ck-oo.csv"
4,7,13,153,67,"mylyn","single-version-ck-oo.csv"
0,0,2,6,2,"mylyn","single-version-ck-oo.csv"
0,0,0,4,1,"mylyn","single-version-ck-oo.csv"
0,5,6,25,15,"mylyn","single-version-ck-oo.csv"
0,2,2,3,3,"mylyn","single-version-ck-oo.csv"
0,6,6,74,33,"mylyn","single-version-ck-oo.csv"
0,0,0,0,0,"mylyn","single-version-ck-oo.csv"
0,2,4,17,6,"mylyn","single-version-ck-oo.csv"
0,7,8,42,20,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,1,1,23,8,"mylyn","single-version-ck-oo.csv"
1,2,2,111,24,"mylyn","single-version-ck-oo.csv"
0,9,10,152,91,"mylyn","single-version-ck-oo.csv"
2,7,12,51,26,"mylyn","single-version-ck-oo.csv"
1,1,2,9,3,"mylyn","single-version-ck-oo.csv"
0,6,6,26,16,"mylyn","single-version-ck-oo.csv"
0,0,0,6,2,"mylyn","single-version-ck-oo.csv"
3,11,11,307,129,"mylyn","single-version-ck-oo.csv"
1,4,28,194,106,"mylyn","single-version-ck-oo.csv"
0,3,3,21,9,"mylyn","single-version-ck-oo.csv"
0,8,10,70,28,"mylyn","single-version-ck-oo.csv"
0,2,44,15,11,"mylyn","single-version-ck-oo.csv"
1,1,2,40,12,"mylyn","single-version-ck-oo.csv"
1,0,0,2,1,"mylyn","single-version-ck-oo.csv"
11,35,40,461,259,"mylyn","single-version-ck-oo.csv"
3,19,20,199,97,"mylyn","single-version-ck-oo.csv"
0,0,3,3,1,"mylyn","single-version-ck-oo.csv"
0,4,4,9,6,"mylyn","single-version-ck-oo.csv"
1,6,10,39,21,"mylyn","single-version-ck-oo.csv"
0,0,3,10,3,"mylyn","single-version-ck-oo.csv"
0,3,3,32,7,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,4,4,9,11,"mylyn","single-version-ck-oo.csv"
3,32,47,417,230,"mylyn","single-version-ck-oo.csv"
0,0,0,31,14,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,0,1,17,2,"mylyn","single-version-ck-oo.csv"
1,1,3,9,3,"mylyn","single-version-ck-oo.csv"
0,0,1,6,3,"mylyn","single-version-ck-oo.csv"
5,1,1,1831,398,"mylyn","single-version-ck-oo.csv"
0,1,1,13,8,"mylyn","single-version-ck-oo.csv"
0,0,2,7,2,"mylyn","single-version-ck-oo.csv"
1,4,5,44,18,"mylyn","single-version-ck-oo.csv"
0,0,6,12,6,"mylyn","single-version-ck-oo.csv"
0,0,2,10,3,"mylyn","single-version-ck-oo.csv"
1,14,15,61,33,"mylyn","single-version-ck-oo.csv"
11,25,34,611,369,"mylyn","single-version-ck-oo.csv"
0,9,10,32,20,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,7,8,16,12,"mylyn","single-version-ck-oo.csv"
0,10,10,32,25,"mylyn","single-version-ck-oo.csv"
0,6,7,28,15,"mylyn","single-version-ck-oo.csv"
0,0,0,9,7,"mylyn","single-version-ck-oo.csv"
0,11,13,62,35,"mylyn","single-version-ck-oo.csv"
0,7,7,44,19,"mylyn","single-version-ck-oo.csv"
0,1,7,6,11,"mylyn","single-version-ck-oo.csv"
0,1,1,38,10,"mylyn","single-version-ck-oo.csv"
1,1,2,9,3,"mylyn","single-version-ck-oo.csv"
1,2,2,22,9,"mylyn","single-version-ck-oo.csv"
0,0,2,41,14,"mylyn","single-version-ck-oo.csv"
0,0,1,3,1,"mylyn","single-version-ck-oo.csv"
1,3,5,42,32,"mylyn","single-version-ck-oo.csv"
0,0,1,3,1,"mylyn","single-version-ck-oo.csv"
0,11,17,76,37,"mylyn","single-version-ck-oo.csv"
1,4,4,55,26,"mylyn","single-version-ck-oo.csv"
7,17,17,225,99,"mylyn","single-version-ck-oo.csv"
0,1,2,132,36,"mylyn","single-version-ck-oo.csv"
0,4,4,23,15,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
1,3,3,100,23,"mylyn","single-version-ck-oo.csv"
0,11,11,98,46,"mylyn","single-version-ck-oo.csv"
0,1,2,10,5,"mylyn","single-version-ck-oo.csv"
0,3,4,8,5,"mylyn","single-version-ck-oo.csv"
8,19,30,1144,330,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
0,0,4,23,8,"mylyn","single-version-ck-oo.csv"
0,1,1,9,4,"mylyn","single-version-ck-oo.csv"
0,1,1,9,4,"mylyn","single-version-ck-oo.csv"
0,8,9,20,17,"mylyn","single-version-ck-oo.csv"
2,3,3,20,16,"mylyn","single-version-ck-oo.csv"
1,5,8,74,38,"mylyn","single-version-ck-oo.csv"
0,0,1,11,5,"mylyn","single-version-ck-oo.csv"
3,17,26,308,167,"mylyn","single-version-ck-oo.csv"
22,39,43,707,344,"mylyn","single-version-ck-oo.csv"
0,0,31,36,11,"mylyn","single-version-ck-oo.csv"
0,0,3,6,3,"mylyn","single-version-ck-oo.csv"
0,6,6,33,20,"mylyn","single-version-ck-oo.csv"
0,2,3,39,17,"mylyn","single-version-ck-oo.csv"
1,1,3,14,9,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,3,7,148,65,"mylyn","single-version-ck-oo.csv"
0,0,2,37,8,"mylyn","single-version-ck-oo.csv"
1,17,18,104,42,"mylyn","single-version-ck-oo.csv"
3,5,19,117,68,"mylyn","single-version-ck-oo.csv"
1,11,15,129,51,"mylyn","single-version-ck-oo.csv"
0,2,2,33,8,"mylyn","single-version-ck-oo.csv"
0,2,2,125,58,"mylyn","single-version-ck-oo.csv"
0,8,9,31,19,"mylyn","single-version-ck-oo.csv"
0,1,1,6,3,"mylyn","single-version-ck-oo.csv"
0,2,14,49,17,"mylyn","single-version-ck-oo.csv"
0,0,0,15,8,"mylyn","single-version-ck-oo.csv"
0,1,1,125,49,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,2,3,3,4,"mylyn","single-version-ck-oo.csv"
1,21,28,103,56,"mylyn","single-version-ck-oo.csv"
0,0,14,35,12,"mylyn","single-version-ck-oo.csv"
0,0,0,6,6,"mylyn","single-version-ck-oo.csv"
2,9,9,77,42,"mylyn","single-version-ck-oo.csv"
0,1,1,8,2,"mylyn","single-version-ck-oo.csv"
0,0,11,0,7,"mylyn","single-version-ck-oo.csv"
0,1,1,11,4,"mylyn","single-version-ck-oo.csv"
0,1,2,50,27,"mylyn","single-version-ck-oo.csv"
0,6,11,131,63,"mylyn","single-version-ck-oo.csv"
2,12,74,274,147,"mylyn","single-version-ck-oo.csv"
0,0,2,3,2,"mylyn","single-version-ck-oo.csv"
0,4,4,33,17,"mylyn","single-version-ck-oo.csv"
0,3,4,23,13,"mylyn","single-version-ck-oo.csv"
0,1,1,25,7,"mylyn","single-version-ck-oo.csv"
0,0,0,40,5,"mylyn","single-version-ck-oo.csv"
1,0,0,8,5,"mylyn","single-version-ck-oo.csv"
1,6,6,102,54,"mylyn","single-version-ck-oo.csv"
1,5,8,144,41,"mylyn","single-version-ck-oo.csv"
0,6,7,58,31,"mylyn","single-version-ck-oo.csv"
0,0,4,32,13,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,4,4,16,12,"mylyn","single-version-ck-oo.csv"
0,4,5,98,34,"mylyn","single-version-ck-oo.csv"
0,14,14,63,44,"mylyn","single-version-ck-oo.csv"
2,17,20,207,93,"mylyn","single-version-ck-oo.csv"
0,2,2,43,13,"mylyn","single-version-ck-oo.csv"
0,3,5,26,17,"mylyn","single-version-ck-oo.csv"
1,1,4,132,48,"mylyn","single-version-ck-oo.csv"
0,9,11,39,18,"mylyn","single-version-ck-oo.csv"
0,3,3,15,9,"mylyn","single-version-ck-oo.csv"
0,7,8,65,32,"mylyn","single-version-ck-oo.csv"
3,4,6,64,27,"mylyn","single-version-ck-oo.csv"
0,2,3,35,21,"mylyn","single-version-ck-oo.csv"
0,3,4,54,24,"mylyn","single-version-ck-oo.csv"
1,1,1,255,123,"mylyn","single-version-ck-oo.csv"
1,5,6,55,27,"mylyn","single-version-ck-oo.csv"
0,0,5,12,4,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,5,6,22,19,"mylyn","single-version-ck-oo.csv"
0,0,0,12,5,"mylyn","single-version-ck-oo.csv"
1,5,7,30,26,"mylyn","single-version-ck-oo.csv"
0,1,1,19,8,"mylyn","single-version-ck-oo.csv"
1,6,7,29,14,"mylyn","single-version-ck-oo.csv"
0,2,2,21,11,"mylyn","single-version-ck-oo.csv"
0,3,3,22,10,"mylyn","single-version-ck-oo.csv"
0,7,28,88,41,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,4,5,20,11,"mylyn","single-version-ck-oo.csv"
2,11,12,154,78,"mylyn","single-version-ck-oo.csv"
11,14,16,452,203,"mylyn","single-version-ck-oo.csv"
0,0,1,56,5,"mylyn","single-version-ck-oo.csv"
8,6,15,419,75,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
1,3,3,36,16,"mylyn","single-version-ck-oo.csv"
8,5,6,179,69,"mylyn","single-version-ck-oo.csv"
0,1,1,38,16,"mylyn","single-version-ck-oo.csv"
1,1,5,9,3,"mylyn","single-version-ck-oo.csv"
0,2,2,18,8,"mylyn","single-version-ck-oo.csv"
0,1,3,7,6,"mylyn","single-version-ck-oo.csv"
1,2,2,20,12,"mylyn","single-version-ck-oo.csv"
1,9,9,120,66,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,3,4,27,15,"mylyn","single-version-ck-oo.csv"
1,8,8,83,39,"mylyn","single-version-ck-oo.csv"
0,0,1,3,1,"mylyn","single-version-ck-oo.csv"
6,1,2,114,56,"mylyn","single-version-ck-oo.csv"
0,1,2,51,15,"mylyn","single-version-ck-oo.csv"
