"linesAddedUntil.","numberOfVersionsUntil.","linesRemovedUntil.","maxLinesAddedUntil.","maxCodeChurnUntil.","directory","k"
574,50,707,115,14,"eclipse","change-metrics.csv"
112,26,89,54,7,"eclipse","change-metrics.csv"
986,60,1102,170,35,"eclipse","change-metrics.csv"
149,3,149,149,149,"eclipse","change-metrics.csv"
53,14,61,9,0,"eclipse","change-metrics.csv"
177,37,167,65,11,"eclipse","change-metrics.csv"
151,16,109,30,19,"eclipse","change-metrics.csv"
1350,110,1190,176,30,"eclipse","change-metrics.csv"
571,31,578,152,6,"eclipse","change-metrics.csv"
29,10,30,9,0,"eclipse","change-metrics.csv"
2092,84,1163,395,395,"eclipse","change-metrics.csv"
279,14,43,92,88,"eclipse","change-metrics.csv"
667,61,705,241,5,"eclipse","change-metrics.csv"
842,36,593,188,123,"eclipse","change-metrics.csv"
74,13,50,29,29,"eclipse","change-metrics.csv"
271,50,217,42,27,"eclipse","change-metrics.csv"
405,49,338,136,17,"eclipse","change-metrics.csv"
407,28,365,225,32,"eclipse","change-metrics.csv"
1181,74,1310,247,33,"eclipse","change-metrics.csv"
17,9,21,4,0,"eclipse","change-metrics.csv"
148,6,6,71,71,"eclipse","change-metrics.csv"
316,34,181,123,60,"eclipse","change-metrics.csv"
52,13,7,17,17,"eclipse","change-metrics.csv"
18,11,21,5,0,"eclipse","change-metrics.csv"
292,44,271,61,16,"eclipse","change-metrics.csv"
535,41,363,87,41,"eclipse","change-metrics.csv"
134,18,136,64,5,"eclipse","change-metrics.csv"
355,52,355,130,10,"eclipse","change-metrics.csv"
267,24,124,108,64,"eclipse","change-metrics.csv"
12,9,11,4,1,"eclipse","change-metrics.csv"
254,42,255,53,5,"eclipse","change-metrics.csv"
101,19,22,37,37,"eclipse","change-metrics.csv"
80,17,37,15,9,"eclipse","change-metrics.csv"
70,19,89,23,11,"eclipse","change-metrics.csv"
94,7,73,34,11,"eclipse","change-metrics.csv"
431,39,258,164,74,"eclipse","change-metrics.csv"
105,22,66,23,19,"eclipse","change-metrics.csv"
919,84,803,251,18,"eclipse","change-metrics.csv"
2132,132,2129,535,39,"eclipse","change-metrics.csv"
12,8,10,4,1,"eclipse","change-metrics.csv"
144,5,1,82,82,"eclipse","change-metrics.csv"
813,45,414,187,93,"eclipse","change-metrics.csv"
265,28,256,76,6,"eclipse","change-metrics.csv"
317,19,312,121,18,"eclipse","change-metrics.csv"
397,33,280,54,53,"eclipse","change-metrics.csv"
630,49,197,89,89,"eclipse","change-metrics.csv"
1517,121,1385,223,39,"eclipse","change-metrics.csv"
26,5,10,11,7,"eclipse","change-metrics.csv"
453,38,269,172,77,"eclipse","change-metrics.csv"
497,49,583,97,19,"eclipse","change-metrics.csv"
86,15,52,17,15,"eclipse","change-metrics.csv"
5118,111,5065,788,279,"eclipse","change-metrics.csv"
52,21,227,15,2,"eclipse","change-metrics.csv"
286,44,252,82,21,"eclipse","change-metrics.csv"
597,36,87,165,165,"eclipse","change-metrics.csv"
929,30,902,78,16,"eclipse","change-metrics.csv"
599,18,51,151,151,"eclipse","change-metrics.csv"
240,19,215,46,10,"eclipse","change-metrics.csv"
207,26,164,50,14,"eclipse","change-metrics.csv"
484,38,296,172,73,"eclipse","change-metrics.csv"
1727,45,722,444,430,"eclipse","change-metrics.csv"
234,9,26,103,103,"eclipse","change-metrics.csv"
873,72,818,188,14,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
177,35,201,54,5,"eclipse","change-metrics.csv"
317,27,91,98,63,"eclipse","change-metrics.csv"
66,17,41,23,22,"eclipse","change-metrics.csv"
79,16,81,27,6,"eclipse","change-metrics.csv"
3,3,3,2,0,"eclipse","change-metrics.csv"
553,34,514,184,25,"eclipse","change-metrics.csv"
1707,107,863,139,119,"eclipse","change-metrics.csv"
192,22,185,109,5,"eclipse","change-metrics.csv"
2,2,3,2,0,"eclipse","change-metrics.csv"
316,34,183,122,59,"eclipse","change-metrics.csv"
215,35,148,50,41,"eclipse","change-metrics.csv"
981,28,1039,334,12,"eclipse","change-metrics.csv"
132,8,104,62,12,"eclipse","change-metrics.csv"
239,38,226,58,9,"eclipse","change-metrics.csv"
1922,116,1691,368,29,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
673,58,476,206,49,"eclipse","change-metrics.csv"
1158,76,1252,300,23,"eclipse","change-metrics.csv"
2144,167,1636,515,47,"eclipse","change-metrics.csv"
629,27,80,146,146,"eclipse","change-metrics.csv"
280,29,256,93,25,"eclipse","change-metrics.csv"
4337,90,4198,329,101,"eclipse","change-metrics.csv"
493,38,285,173,75,"eclipse","change-metrics.csv"
147,21,139,54,31,"eclipse","change-metrics.csv"
1665,82,1510,441,135,"eclipse","change-metrics.csv"
620,80,506,91,15,"eclipse","change-metrics.csv"
11,4,11,8,0,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
798,33,730,141,72,"eclipse","change-metrics.csv"
502,47,300,140,71,"eclipse","change-metrics.csv"
104,28,103,44,6,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
3123,87,2127,378,216,"eclipse","change-metrics.csv"
19,7,13,7,6,"eclipse","change-metrics.csv"
219,35,49,110,106,"eclipse","change-metrics.csv"
857,84,680,102,59,"eclipse","change-metrics.csv"
28,8,18,7,6,"eclipse","change-metrics.csv"
68,17,68,23,6,"eclipse","change-metrics.csv"
337,41,316,105,15,"eclipse","change-metrics.csv"
1295,37,1325,285,43,"eclipse","change-metrics.csv"
5002,135,4154,649,269,"eclipse","change-metrics.csv"
809,51,805,159,13,"eclipse","change-metrics.csv"
19905,381,16702,1343,240,"eclipse","change-metrics.csv"
2035,85,1862,315,55,"eclipse","change-metrics.csv"
365,42,218,126,60,"eclipse","change-metrics.csv"
1053,34,473,319,249,"eclipse","change-metrics.csv"
58,12,52,31,5,"eclipse","change-metrics.csv"
9,3,35,7,0,"eclipse","change-metrics.csv"
22,5,28,10,10,"eclipse","change-metrics.csv"
129,14,156,87,5,"eclipse","change-metrics.csv"
22934,397,19199,2078,630,"eclipse","change-metrics.csv"
21,4,15,19,6,"eclipse","change-metrics.csv"
146,7,8,69,69,"eclipse","change-metrics.csv"
9,7,9,5,0,"eclipse","change-metrics.csv"
65,21,77,16,1,"eclipse","change-metrics.csv"
1709,112,1953,500,44,"eclipse","change-metrics.csv"
979,71,716,202,50,"eclipse","change-metrics.csv"
201,19,99,39,33,"eclipse","change-metrics.csv"
139,28,136,53,6,"eclipse","change-metrics.csv"
56,12,45,27,10,"eclipse","change-metrics.csv"
115,16,119,55,6,"eclipse","change-metrics.csv"
246,21,229,104,12,"eclipse","change-metrics.csv"
386,35,214,100,37,"eclipse","change-metrics.csv"
2135,73,2223,604,22,"eclipse","change-metrics.csv"
617,33,324,331,202,"eclipse","change-metrics.csv"
198,30,115,77,36,"eclipse","change-metrics.csv"
12,9,11,4,1,"eclipse","change-metrics.csv"
153,26,139,47,15,"eclipse","change-metrics.csv"
2680,183,1779,542,84,"eclipse","change-metrics.csv"
5,3,5,4,0,"eclipse","change-metrics.csv"
155,8,19,76,76,"eclipse","change-metrics.csv"
234,11,29,205,205,"eclipse","change-metrics.csv"
328,44,277,72,34,"eclipse","change-metrics.csv"
7441,140,6989,594,111,"eclipse","change-metrics.csv"
3216,72,3112,448,52,"eclipse","change-metrics.csv"
205,35,214,78,6,"eclipse","change-metrics.csv"
138,21,106,55,18,"eclipse","change-metrics.csv"
85,13,85,60,3,"eclipse","change-metrics.csv"
122,7,44,35,30,"eclipse","change-metrics.csv"
1809,66,1676,310,87,"eclipse","change-metrics.csv"
63,6,87,33,1,"eclipse","change-metrics.csv"
59,14,70,12,4,"eclipse","change-metrics.csv"
420,53,382,133,19,"eclipse","change-metrics.csv"
1029,24,448,316,290,"eclipse","change-metrics.csv"
625,45,368,230,104,"eclipse","change-metrics.csv"
888,43,427,445,229,"eclipse","change-metrics.csv"
5361,112,2652,1562,746,"eclipse","change-metrics.csv"
130,13,21,45,31,"eclipse","change-metrics.csv"
1025,78,1060,277,64,"eclipse","change-metrics.csv"
785,49,525,308,61,"eclipse","change-metrics.csv"
149,9,13,68,68,"eclipse","change-metrics.csv"
246,18,254,75,9,"eclipse","change-metrics.csv"
1612,65,1119,232,231,"eclipse","change-metrics.csv"
157,31,182,48,6,"eclipse","change-metrics.csv"
9,7,8,4,1,"eclipse","change-metrics.csv"
154,35,123,42,18,"eclipse","change-metrics.csv"
250,11,168,134,64,"eclipse","change-metrics.csv"
4705,150,4440,765,43,"eclipse","change-metrics.csv"
2114,140,2023,539,206,"eclipse","change-metrics.csv"
124,23,123,39,5,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
2,3,2,1,0,"eclipse","change-metrics.csv"
578,30,576,138,10,"eclipse","change-metrics.csv"
833,36,822,498,30,"eclipse","change-metrics.csv"
276,33,364,150,15,"eclipse","change-metrics.csv"
22,7,11,12,11,"eclipse","change-metrics.csv"
216,31,171,41,36,"eclipse","change-metrics.csv"
368,22,101,85,65,"eclipse","change-metrics.csv"
91,17,104,42,4,"eclipse","change-metrics.csv"
4597,106,2447,1604,1604,"eclipse","change-metrics.csv"
6,4,6,4,0,"eclipse","change-metrics.csv"
443,25,511,128,3,"eclipse","change-metrics.csv"
31,9,31,11,0,"eclipse","change-metrics.csv"
1715,52,1882,296,22,"eclipse","change-metrics.csv"
317,58,334,78,10,"eclipse","change-metrics.csv"
373,38,276,119,65,"eclipse","change-metrics.csv"
449,39,403,104,16,"eclipse","change-metrics.csv"
387,30,295,121,71,"eclipse","change-metrics.csv"
337,13,167,78,50,"eclipse","change-metrics.csv"
14,9,13,4,1,"eclipse","change-metrics.csv"
7111,143,7724,1444,217,"eclipse","change-metrics.csv"
3401,156,2342,580,222,"eclipse","change-metrics.csv"
624,40,271,92,74,"eclipse","change-metrics.csv"
614,36,384,220,86,"eclipse","change-metrics.csv"
621,54,459,91,48,"eclipse","change-metrics.csv"
2398,90,2072,590,91,"eclipse","change-metrics.csv"
2700,131,2515,580,42,"eclipse","change-metrics.csv"
557,43,315,190,100,"eclipse","change-metrics.csv"
287,27,280,81,7,"eclipse","change-metrics.csv"
653,60,626,163,17,"eclipse","change-metrics.csv"
392,43,318,71,52,"eclipse","change-metrics.csv"
588,59,594,205,21,"eclipse","change-metrics.csv"
194,11,78,141,121,"eclipse","change-metrics.csv"
508,31,85,87,87,"eclipse","change-metrics.csv"
3335,120,2024,544,125,"eclipse","change-metrics.csv"
359,38,216,135,58,"eclipse","change-metrics.csv"
161,38,138,27,14,"eclipse","change-metrics.csv"
796,81,565,143,47,"eclipse","change-metrics.csv"
8425,119,2635,2042,2013,"eclipse","change-metrics.csv"
120,37,101,16,9,"eclipse","change-metrics.csv"
1347,42,1432,618,5,"eclipse","change-metrics.csv"
64,7,49,25,8,"eclipse","change-metrics.csv"
39,11,14,8,7,"eclipse","change-metrics.csv"
10254,244,5777,1386,564,"eclipse","change-metrics.csv"
172,29,146,63,7,"eclipse","change-metrics.csv"
433,34,303,238,60,"eclipse","change-metrics.csv"
252,37,258,66,12,"eclipse","change-metrics.csv"
187,20,179,89,6,"eclipse","change-metrics.csv"
1976,38,2022,971,10,"eclipse","change-metrics.csv"
11,2,1,11,10,"eclipse","change-metrics.csv"
80,18,101,27,6,"eclipse","change-metrics.csv"
943,46,964,310,10,"eclipse","change-metrics.csv"
539,42,289,170,74,"eclipse","change-metrics.csv"
23,6,37,10,6,"eclipse","change-metrics.csv"
562,31,312,75,74,"eclipse","change-metrics.csv"
130,16,51,22,22,"eclipse","change-metrics.csv"
443,14,51,180,180,"eclipse","change-metrics.csv"
129,21,110,32,8,"eclipse","change-metrics.csv"
225,24,189,77,47,"eclipse","change-metrics.csv"
22,5,18,19,4,"eclipse","change-metrics.csv"
95,16,91,42,21,"eclipse","change-metrics.csv"
1,2,1,1,0,"eclipse","change-metrics.csv"
18,9,11,4,4,"eclipse","change-metrics.csv"
643,65,787,217,13,"eclipse","change-metrics.csv"
3,4,3,1,0,"eclipse","change-metrics.csv"
40,5,1,19,18,"eclipse","change-metrics.csv"
2519,109,1822,442,213,"eclipse","change-metrics.csv"
351,36,208,130,58,"eclipse","change-metrics.csv"
85,10,13,55,54,"eclipse","change-metrics.csv"
11,7,8,4,3,"eclipse","change-metrics.csv"
482,36,288,175,76,"eclipse","change-metrics.csv"
0,2,0,0,0,"eclipse","change-metrics.csv"
476,38,395,152,56,"eclipse","change-metrics.csv"
2349,157,1852,392,295,"eclipse","change-metrics.csv"
1126,45,729,157,148,"eclipse","change-metrics.csv"
1262,78,1014,219,205,"eclipse","change-metrics.csv"
244,44,174,31,17,"eclipse","change-metrics.csv"
168,33,141,74,11,"eclipse","change-metrics.csv"
1229,25,765,291,169,"eclipse","change-metrics.csv"
115,28,75,34,11,"eclipse","change-metrics.csv"
50221,226,44127,3693,2050,"eclipse","change-metrics.csv"
120,15,48,27,26,"eclipse","change-metrics.csv"
496,38,478,105,9,"eclipse","change-metrics.csv"
8666,127,5536,1365,546,"eclipse","change-metrics.csv"
1,2,1,1,0,"eclipse","change-metrics.csv"
75,8,20,24,19,"eclipse","change-metrics.csv"
335,21,253,130,46,"eclipse","change-metrics.csv"
269,21,229,195,14,"eclipse","change-metrics.csv"
119,25,103,36,8,"eclipse","change-metrics.csv"
5,3,4,3,1,"eclipse","change-metrics.csv"
14272,239,13174,3055,269,"eclipse","change-metrics.csv"
525,54,494,115,21,"eclipse","change-metrics.csv"
905,58,476,215,132,"eclipse","change-metrics.csv"
212,31,280,105,8,"eclipse","change-metrics.csv"
15621,98,12538,3028,751,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
3173,90,3015,548,76,"eclipse","change-metrics.csv"
1990,97,1403,289,140,"eclipse","change-metrics.csv"
310,36,307,59,10,"eclipse","change-metrics.csv"
24,3,97,18,8,"eclipse","change-metrics.csv"
64,18,33,14,12,"eclipse","change-metrics.csv"
768,43,467,230,161,"eclipse","change-metrics.csv"
276,29,162,113,52,"eclipse","change-metrics.csv"
339,25,67,113,107,"eclipse","change-metrics.csv"
988,55,975,192,50,"eclipse","change-metrics.csv"
352,28,113,112,112,"eclipse","change-metrics.csv"
400,39,255,171,60,"eclipse","change-metrics.csv"
257,27,114,45,31,"eclipse","change-metrics.csv"
268,22,99,61,31,"eclipse","change-metrics.csv"
845,95,382,75,61,"eclipse","change-metrics.csv"
3556,56,4880,587,307,"eclipse","change-metrics.csv"
356,38,214,130,58,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
18,3,3,14,13,"eclipse","change-metrics.csv"
81,23,81,19,17,"eclipse","change-metrics.csv"
179,35,201,54,5,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
47,19,64,9,7,"eclipse","change-metrics.csv"
697,53,418,175,160,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
105,28,103,45,6,"eclipse","change-metrics.csv"
132,30,136,55,7,"eclipse","change-metrics.csv"
144,15,145,60,10,"eclipse","change-metrics.csv"
1416,66,763,249,147,"eclipse","change-metrics.csv"
27,11,20,10,5,"eclipse","change-metrics.csv"
1,2,1,1,0,"eclipse","change-metrics.csv"
809,70,625,102,51,"eclipse","change-metrics.csv"
1,2,6,1,0,"eclipse","change-metrics.csv"
163,34,164,68,5,"eclipse","change-metrics.csv"
778,48,318,144,94,"eclipse","change-metrics.csv"
262,42,204,115,14,"eclipse","change-metrics.csv"
1171,24,585,357,306,"eclipse","change-metrics.csv"
157,21,135,38,7,"eclipse","change-metrics.csv"
100,23,87,35,6,"eclipse","change-metrics.csv"
1830,92,982,206,205,"eclipse","change-metrics.csv"
2054,75,1763,181,112,"eclipse","change-metrics.csv"
163,15,161,79,8,"eclipse","change-metrics.csv"
17380,318,12236,3852,1378,"eclipse","change-metrics.csv"
2006,115,1814,339,68,"eclipse","change-metrics.csv"
106,20,97,37,27,"eclipse","change-metrics.csv"
2269,90,1645,335,96,"eclipse","change-metrics.csv"
16,3,1,15,15,"eclipse","change-metrics.csv"
706,37,739,351,5,"eclipse","change-metrics.csv"
1703,43,1711,718,44,"eclipse","change-metrics.csv"
60,16,43,13,6,"eclipse","change-metrics.csv"
1712,80,853,152,105,"eclipse","change-metrics.csv"
4331,166,2972,668,119,"eclipse","change-metrics.csv"
144,16,121,45,22,"eclipse","change-metrics.csv"
314,34,179,123,60,"eclipse","change-metrics.csv"
44,9,39,22,5,"eclipse","change-metrics.csv"
385,38,305,132,23,"eclipse","change-metrics.csv"
40,12,14,11,11,"eclipse","change-metrics.csv"
106,17,24,23,23,"eclipse","change-metrics.csv"
426,51,394,143,13,"eclipse","change-metrics.csv"
336,35,306,103,22,"eclipse","change-metrics.csv"
885,66,823,193,53,"eclipse","change-metrics.csv"
10,6,6,3,2,"eclipse","change-metrics.csv"
1943,121,1245,305,150,"eclipse","change-metrics.csv"
98,6,13,37,37,"eclipse","change-metrics.csv"
269,24,68,100,91,"eclipse","change-metrics.csv"
155,20,150,46,14,"eclipse","change-metrics.csv"
148,31,153,67,4,"eclipse","change-metrics.csv"
2006,66,470,584,556,"eclipse","change-metrics.csv"
310,33,86,87,68,"eclipse","change-metrics.csv"
86,13,49,47,35,"eclipse","change-metrics.csv"
485,43,140,178,132,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
414,28,428,215,6,"eclipse","change-metrics.csv"
416,49,421,172,15,"eclipse","change-metrics.csv"
45,14,25,11,9,"eclipse","change-metrics.csv"
877,71,531,133,48,"eclipse","change-metrics.csv"
1384,64,1316,248,44,"eclipse","change-metrics.csv"
67,26,43,10,10,"eclipse","change-metrics.csv"
2029,124,1496,568,51,"eclipse","change-metrics.csv"
6,4,6,4,0,"eclipse","change-metrics.csv"
714,64,652,232,39,"eclipse","change-metrics.csv"
190,28,192,60,7,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
726,49,729,219,23,"eclipse","change-metrics.csv"
91,20,76,42,10,"eclipse","change-metrics.csv"
232,37,239,64,11,"eclipse","change-metrics.csv"
572,30,570,138,10,"eclipse","change-metrics.csv"
1715,82,1266,270,265,"eclipse","change-metrics.csv"
657,56,398,141,140,"eclipse","change-metrics.csv"
8,2,3,8,5,"eclipse","change-metrics.csv"
250,20,124,94,43,"eclipse","change-metrics.csv"
95,13,88,68,5,"eclipse","change-metrics.csv"
470,46,229,124,93,"eclipse","change-metrics.csv"
23,5,16,15,6,"eclipse","change-metrics.csv"
127,46,132,25,18,"eclipse","change-metrics.csv"
46,8,12,29,22,"eclipse","change-metrics.csv"
690,52,711,175,40,"eclipse","change-metrics.csv"
17,6,8,9,9,"eclipse","change-metrics.csv"
1416,108,970,164,83,"eclipse","change-metrics.csv"
2597,123,2389,393,66,"eclipse","change-metrics.csv"
437,51,352,149,20,"eclipse","change-metrics.csv"
979,60,808,413,39,"eclipse","change-metrics.csv"
71,12,69,49,7,"eclipse","change-metrics.csv"
601,61,498,116,28,"eclipse","change-metrics.csv"
290,21,51,107,107,"eclipse","change-metrics.csv"
2048,95,1923,311,28,"eclipse","change-metrics.csv"
51,14,26,12,11,"eclipse","change-metrics.csv"
2035,63,1133,467,139,"eclipse","change-metrics.csv"
139,12,130,38,16,"eclipse","change-metrics.csv"
1,2,1,1,0,"eclipse","change-metrics.csv"
421,25,300,100,60,"eclipse","change-metrics.csv"
373,40,329,105,14,"eclipse","change-metrics.csv"
1,2,1,1,0,"eclipse","change-metrics.csv"
178,28,175,58,8,"eclipse","change-metrics.csv"
3312,144,1949,537,176,"eclipse","change-metrics.csv"
233,34,240,54,6,"eclipse","change-metrics.csv"
823,69,442,171,145,"eclipse","change-metrics.csv"
4966,100,5428,645,55,"eclipse","change-metrics.csv"
6,3,8,5,0,"eclipse","change-metrics.csv"
136,28,134,50,6,"eclipse","change-metrics.csv"
332,26,131,39,39,"eclipse","change-metrics.csv"
64,25,53,13,13,"eclipse","change-metrics.csv"
647,56,567,174,30,"eclipse","change-metrics.csv"
42,6,25,22,17,"eclipse","change-metrics.csv"
1599,46,1693,712,80,"eclipse","change-metrics.csv"
44,11,35,16,5,"eclipse","change-metrics.csv"
42,11,42,9,0,"eclipse","change-metrics.csv"
214,23,133,99,21,"eclipse","change-metrics.csv"
120,21,122,58,6,"eclipse","change-metrics.csv"
243,30,236,71,6,"eclipse","change-metrics.csv"
890,60,769,212,131,"eclipse","change-metrics.csv"
49,9,31,11,9,"eclipse","change-metrics.csv"
302,6,287,143,143,"eclipse","change-metrics.csv"
2381,68,1288,402,361,"eclipse","change-metrics.csv"
1444,84,1425,249,15,"eclipse","change-metrics.csv"
106,17,24,23,23,"eclipse","change-metrics.csv"
55,15,68,10,4,"eclipse","change-metrics.csv"
922,69,747,282,38,"eclipse","change-metrics.csv"
734,39,232,162,162,"eclipse","change-metrics.csv"
141,9,37,54,50,"eclipse","change-metrics.csv"
51,16,46,11,10,"eclipse","change-metrics.csv"
3524,144,2994,763,86,"eclipse","change-metrics.csv"
58,6,21,22,17,"eclipse","change-metrics.csv"
533,39,455,147,35,"eclipse","change-metrics.csv"
1168,85,526,274,274,"eclipse","change-metrics.csv"
2010,75,2774,555,39,"eclipse","change-metrics.csv"
92,14,94,64,3,"eclipse","change-metrics.csv"
895,49,895,78,8,"eclipse","change-metrics.csv"
2305,173,1752,458,72,"eclipse","change-metrics.csv"
305,8,13,162,162,"eclipse","change-metrics.csv"
69,16,36,15,14,"eclipse","change-metrics.csv"
5536,128,3522,1358,449,"eclipse","change-metrics.csv"
370,34,366,141,5,"eclipse","change-metrics.csv"
2960,83,3359,450,58,"eclipse","change-metrics.csv"
1470,69,1179,235,62,"eclipse","change-metrics.csv"
17,8,20,6,4,"eclipse","change-metrics.csv"
291,33,279,81,20,"eclipse","change-metrics.csv"
101,15,96,54,5,"eclipse","change-metrics.csv"
6,4,6,4,0,"eclipse","change-metrics.csv"
334,49,269,51,23,"eclipse","change-metrics.csv"
4391,74,4465,1328,34,"eclipse","change-metrics.csv"
87,15,70,39,10,"eclipse","change-metrics.csv"
25,4,14,16,14,"eclipse","change-metrics.csv"
8887,48,9187,1598,6,"eclipse","change-metrics.csv"
55,9,55,20,20,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
583,45,349,204,94,"eclipse","change-metrics.csv"
2095,94,2143,542,124,"eclipse","change-metrics.csv"
337,40,129,49,49,"eclipse","change-metrics.csv"
1177,94,992,151,87,"eclipse","change-metrics.csv"
3845,105,2468,308,167,"eclipse","change-metrics.csv"
26,6,16,7,6,"eclipse","change-metrics.csv"
748,46,386,166,129,"eclipse","change-metrics.csv"
131,8,59,60,58,"eclipse","change-metrics.csv"
287,28,155,113,61,"eclipse","change-metrics.csv"
6668,132,4784,923,433,"eclipse","change-metrics.csv"
67,6,26,28,21,"eclipse","change-metrics.csv"
209,41,171,39,14,"eclipse","change-metrics.csv"
256,24,166,43,18,"eclipse","change-metrics.csv"
329,27,222,85,24,"eclipse","change-metrics.csv"
14901,469,12570,2162,334,"eclipse","change-metrics.csv"
1017,56,918,186,37,"eclipse","change-metrics.csv"
1376,84,989,249,237,"eclipse","change-metrics.csv"
2135,55,1973,325,84,"eclipse","change-metrics.csv"
487,39,297,173,74,"eclipse","change-metrics.csv"
50,16,21,9,8,"eclipse","change-metrics.csv"
385,40,339,115,24,"eclipse","change-metrics.csv"
1847,73,2129,572,19,"eclipse","change-metrics.csv"
5,2,5,5,0,"eclipse","change-metrics.csv"
62,14,28,14,13,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
514,35,235,124,76,"eclipse","change-metrics.csv"
29,7,47,20,1,"eclipse","change-metrics.csv"
21,3,13,20,8,"eclipse","change-metrics.csv"
172,41,155,20,8,"eclipse","change-metrics.csv"
4315,176,3181,737,101,"eclipse","change-metrics.csv"
133,32,129,45,6,"eclipse","change-metrics.csv"
28,6,9,21,17,"eclipse","change-metrics.csv"
9,7,9,4,0,"eclipse","change-metrics.csv"
234,25,150,57,35,"eclipse","change-metrics.csv"
1101,56,1125,362,20,"eclipse","change-metrics.csv"
24,9,7,7,7,"eclipse","change-metrics.csv"
99,20,142,44,2,"eclipse","change-metrics.csv"
21,10,18,5,3,"eclipse","change-metrics.csv"
771,43,802,322,21,"eclipse","change-metrics.csv"
61,12,33,17,10,"eclipse","change-metrics.csv"
797,62,671,160,31,"eclipse","change-metrics.csv"
352,31,146,77,53,"eclipse","change-metrics.csv"
