"wmc","numberOfLinesOfCode","fanOut","rfc","cbo","directory","k"
2,24,1,4,2,"eclipse","single-version-ck-oo.csv"
8,27,1,8,2,"eclipse","single-version-ck-oo.csv"
253,787,22,277,32,"eclipse","single-version-ck-oo.csv"
92,327,16,177,38,"eclipse","single-version-ck-oo.csv"
4,8,0,2,8,"eclipse","single-version-ck-oo.csv"
3,13,1,5,2,"eclipse","single-version-ck-oo.csv"
12,48,3,25,4,"eclipse","single-version-ck-oo.csv"
32,88,3,17,4,"eclipse","single-version-ck-oo.csv"
49,276,7,79,16,"eclipse","single-version-ck-oo.csv"
1,7,0,2,2,"eclipse","single-version-ck-oo.csv"
45,127,2,31,25,"eclipse","single-version-ck-oo.csv"
13,48,5,23,23,"eclipse","single-version-ck-oo.csv"
34,178,13,82,24,"eclipse","single-version-ck-oo.csv"
1,4,0,2,2,"eclipse","single-version-ck-oo.csv"
89,426,33,170,41,"eclipse","single-version-ck-oo.csv"
4,12,0,5,1,"eclipse","single-version-ck-oo.csv"
13,47,2,13,17,"eclipse","single-version-ck-oo.csv"
15,59,2,26,6,"eclipse","single-version-ck-oo.csv"
56,230,9,87,10,"eclipse","single-version-ck-oo.csv"
6,35,6,14,7,"eclipse","single-version-ck-oo.csv"
16,59,1,33,2,"eclipse","single-version-ck-oo.csv"
15,68,6,38,11,"eclipse","single-version-ck-oo.csv"
3,10,0,3,2,"eclipse","single-version-ck-oo.csv"
129,495,12,130,13,"eclipse","single-version-ck-oo.csv"
14,44,2,20,8,"eclipse","single-version-ck-oo.csv"
169,546,21,157,87,"eclipse","single-version-ck-oo.csv"
321,1069,30,312,84,"eclipse","single-version-ck-oo.csv"
19,74,7,38,17,"eclipse","single-version-ck-oo.csv"
35,141,3,65,4,"eclipse","single-version-ck-oo.csv"
49,177,11,41,25,"eclipse","single-version-ck-oo.csv"
141,528,17,244,51,"eclipse","single-version-ck-oo.csv"
125,516,29,278,31,"eclipse","single-version-ck-oo.csv"
33,127,3,63,7,"eclipse","single-version-ck-oo.csv"
12,46,2,15,4,"eclipse","single-version-ck-oo.csv"
26,102,14,61,16,"eclipse","single-version-ck-oo.csv"
24,65,7,25,8,"eclipse","single-version-ck-oo.csv"
45,136,6,54,14,"eclipse","single-version-ck-oo.csv"
32,121,14,59,14,"eclipse","single-version-ck-oo.csv"
19,70,2,40,6,"eclipse","single-version-ck-oo.csv"
100,344,9,120,23,"eclipse","single-version-ck-oo.csv"
19,72,4,39,5,"eclipse","single-version-ck-oo.csv"
36,112,12,50,13,"eclipse","single-version-ck-oo.csv"
61,190,7,70,24,"eclipse","single-version-ck-oo.csv"
41,177,1,26,4,"eclipse","single-version-ck-oo.csv"
20,66,9,32,10,"eclipse","single-version-ck-oo.csv"
85,328,14,195,15,"eclipse","single-version-ck-oo.csv"
30,117,2,24,8,"eclipse","single-version-ck-oo.csv"
0,0,0,2,0,"eclipse","single-version-ck-oo.csv"
1148,4390,76,1156,78,"eclipse","single-version-ck-oo.csv"
27,65,4,21,4,"eclipse","single-version-ck-oo.csv"
16,59,2,31,7,"eclipse","single-version-ck-oo.csv"
13,39,1,14,5,"eclipse","single-version-ck-oo.csv"
5,17,2,9,3,"eclipse","single-version-ck-oo.csv"
125,482,11,194,21,"eclipse","single-version-ck-oo.csv"
20,57,6,30,9,"eclipse","single-version-ck-oo.csv"
2,7,0,2,0,"eclipse","single-version-ck-oo.csv"
39,255,9,77,9,"eclipse","single-version-ck-oo.csv"
28,109,4,55,4,"eclipse","single-version-ck-oo.csv"
2,7,0,3,1,"eclipse","single-version-ck-oo.csv"
11,42,1,21,2,"eclipse","single-version-ck-oo.csv"
16,57,6,31,13,"eclipse","single-version-ck-oo.csv"
29,131,4,37,6,"eclipse","single-version-ck-oo.csv"
1,3,0,1,1,"eclipse","single-version-ck-oo.csv"
6,22,4,13,12,"eclipse","single-version-ck-oo.csv"
51,136,1,66,6,"eclipse","single-version-ck-oo.csv"
25,91,6,38,7,"eclipse","single-version-ck-oo.csv"
24,94,3,18,4,"eclipse","single-version-ck-oo.csv"
24,80,2,11,14,"eclipse","single-version-ck-oo.csv"
21,104,13,65,14,"eclipse","single-version-ck-oo.csv"
12,51,2,13,3,"eclipse","single-version-ck-oo.csv"
7,27,0,12,5,"eclipse","single-version-ck-oo.csv"
223,681,13,237,14,"eclipse","single-version-ck-oo.csv"
19,71,3,37,6,"eclipse","single-version-ck-oo.csv"
0,0,0,10,3,"eclipse","single-version-ck-oo.csv"
2,7,0,2,1,"eclipse","single-version-ck-oo.csv"
27,109,3,51,4,"eclipse","single-version-ck-oo.csv"
3,13,1,7,1,"eclipse","single-version-ck-oo.csv"
30,103,9,36,9,"eclipse","single-version-ck-oo.csv"
134,554,27,273,47,"eclipse","single-version-ck-oo.csv"
6,19,3,8,3,"eclipse","single-version-ck-oo.csv"
118,357,16,94,33,"eclipse","single-version-ck-oo.csv"
25,87,5,34,7,"eclipse","single-version-ck-oo.csv"
15,40,5,23,6,"eclipse","single-version-ck-oo.csv"
133,474,16,273,22,"eclipse","single-version-ck-oo.csv"
9,32,5,17,6,"eclipse","single-version-ck-oo.csv"
1042,6113,37,1095,50,"eclipse","single-version-ck-oo.csv"
108,469,17,159,18,"eclipse","single-version-ck-oo.csv"
19,72,5,29,6,"eclipse","single-version-ck-oo.csv"
225,841,7,294,36,"eclipse","single-version-ck-oo.csv"
13,26,4,12,4,"eclipse","single-version-ck-oo.csv"
53,191,3,30,5,"eclipse","single-version-ck-oo.csv"
8,24,1,10,6,"eclipse","single-version-ck-oo.csv"
14,42,0,14,0,"eclipse","single-version-ck-oo.csv"
1,3,0,1,6,"eclipse","single-version-ck-oo.csv"
15,51,4,15,5,"eclipse","single-version-ck-oo.csv"
1169,3449,9,374,47,"eclipse","single-version-ck-oo.csv"
23,81,7,32,12,"eclipse","single-version-ck-oo.csv"
40,155,7,75,11,"eclipse","single-version-ck-oo.csv"
1,7,0,2,2,"eclipse","single-version-ck-oo.csv"
262,845,4,91,141,"eclipse","single-version-ck-oo.csv"
39,136,5,32,6,"eclipse","single-version-ck-oo.csv"
191,707,15,221,16,"eclipse","single-version-ck-oo.csv"
174,536,21,128,40,"eclipse","single-version-ck-oo.csv"
8,28,1,12,2,"eclipse","single-version-ck-oo.csv"
6,20,3,11,4,"eclipse","single-version-ck-oo.csv"
35,69,5,30,5,"eclipse","single-version-ck-oo.csv"
20,66,3,60,51,"eclipse","single-version-ck-oo.csv"
13,47,3,29,15,"eclipse","single-version-ck-oo.csv"
31,121,4,60,6,"eclipse","single-version-ck-oo.csv"
43,145,11,62,12,"eclipse","single-version-ck-oo.csv"
20,71,6,34,8,"eclipse","single-version-ck-oo.csv"
23,87,4,45,9,"eclipse","single-version-ck-oo.csv"
3,11,0,3,1,"eclipse","single-version-ck-oo.csv"
5,16,1,10,10,"eclipse","single-version-ck-oo.csv"
15,63,11,25,12,"eclipse","single-version-ck-oo.csv"
265,1585,13,1156,13,"eclipse","single-version-ck-oo.csv"
19,72,4,39,5,"eclipse","single-version-ck-oo.csv"
2,6,0,2,3,"eclipse","single-version-ck-oo.csv"
8,32,4,13,5,"eclipse","single-version-ck-oo.csv"
24,75,5,30,6,"eclipse","single-version-ck-oo.csv"
4,10,1,5,1,"eclipse","single-version-ck-oo.csv"
12,37,0,14,3,"eclipse","single-version-ck-oo.csv"
0,0,0,1,1,"eclipse","single-version-ck-oo.csv"
7,31,3,10,4,"eclipse","single-version-ck-oo.csv"
35,125,6,63,9,"eclipse","single-version-ck-oo.csv"
3,10,1,5,3,"eclipse","single-version-ck-oo.csv"
3,9,0,3,1,"eclipse","single-version-ck-oo.csv"
8,23,3,11,4,"eclipse","single-version-ck-oo.csv"
9,31,5,16,6,"eclipse","single-version-ck-oo.csv"
54,208,7,104,8,"eclipse","single-version-ck-oo.csv"
1,3,0,1,1,"eclipse","single-version-ck-oo.csv"
4,17,1,8,5,"eclipse","single-version-ck-oo.csv"
48,144,10,72,43,"eclipse","single-version-ck-oo.csv"
4,9,0,4,3,"eclipse","single-version-ck-oo.csv"
10,31,2,7,3,"eclipse","single-version-ck-oo.csv"
36,130,7,66,13,"eclipse","single-version-ck-oo.csv"
34,96,11,46,13,"eclipse","single-version-ck-oo.csv"
3,9,0,3,2,"eclipse","single-version-ck-oo.csv"
5,25,2,13,7,"eclipse","single-version-ck-oo.csv"
2,9,0,2,8,"eclipse","single-version-ck-oo.csv"
209,580,24,157,27,"eclipse","single-version-ck-oo.csv"
59,230,10,45,12,"eclipse","single-version-ck-oo.csv"
9,27,0,10,0,"eclipse","single-version-ck-oo.csv"
470,1947,53,680,55,"eclipse","single-version-ck-oo.csv"
117,414,20,153,22,"eclipse","single-version-ck-oo.csv"
12,34,1,3,2,"eclipse","single-version-ck-oo.csv"
79,289,11,111,14,"eclipse","single-version-ck-oo.csv"
36,103,3,27,24,"eclipse","single-version-ck-oo.csv"
33,146,6,61,10,"eclipse","single-version-ck-oo.csv"
104,404,11,162,13,"eclipse","single-version-ck-oo.csv"
5,24,3,16,4,"eclipse","single-version-ck-oo.csv"
269,708,17,172,24,"eclipse","single-version-ck-oo.csv"
271,952,22,361,22,"eclipse","single-version-ck-oo.csv"
4,12,0,5,2,"eclipse","single-version-ck-oo.csv"
16,59,3,35,4,"eclipse","single-version-ck-oo.csv"
1,4,0,1,1,"eclipse","single-version-ck-oo.csv"
12,52,5,30,38,"eclipse","single-version-ck-oo.csv"
19,56,1,13,4,"eclipse","single-version-ck-oo.csv"
1,3,0,1,1,"eclipse","single-version-ck-oo.csv"
21,83,8,48,8,"eclipse","single-version-ck-oo.csv"
64,285,11,66,12,"eclipse","single-version-ck-oo.csv"
37,158,8,70,9,"eclipse","single-version-ck-oo.csv"
13,44,5,25,7,"eclipse","single-version-ck-oo.csv"
118,529,31,241,32,"eclipse","single-version-ck-oo.csv"
10,28,0,13,1,"eclipse","single-version-ck-oo.csv"
28,109,6,60,8,"eclipse","single-version-ck-oo.csv"
6,18,0,6,0,"eclipse","single-version-ck-oo.csv"
9,28,4,12,6,"eclipse","single-version-ck-oo.csv"
19,52,4,19,4,"eclipse","single-version-ck-oo.csv"
4,17,5,13,10,"eclipse","single-version-ck-oo.csv"
14,44,5,26,5,"eclipse","single-version-ck-oo.csv"
13,69,1,21,4,"eclipse","single-version-ck-oo.csv"
16,56,5,30,10,"eclipse","single-version-ck-oo.csv"
22,82,3,22,5,"eclipse","single-version-ck-oo.csv"
7,104,5,25,7,"eclipse","single-version-ck-oo.csv"
51,231,12,110,13,"eclipse","single-version-ck-oo.csv"
71,232,16,90,16,"eclipse","single-version-ck-oo.csv"
58,164,2,31,4,"eclipse","single-version-ck-oo.csv"
1,3,0,1,0,"eclipse","single-version-ck-oo.csv"
215,706,23,322,24,"eclipse","single-version-ck-oo.csv"
4,17,1,8,2,"eclipse","single-version-ck-oo.csv"
50,171,13,83,29,"eclipse","single-version-ck-oo.csv"
5,16,2,10,3,"eclipse","single-version-ck-oo.csv"
24,77,5,32,6,"eclipse","single-version-ck-oo.csv"
44,154,6,61,6,"eclipse","single-version-ck-oo.csv"
5,20,3,13,4,"eclipse","single-version-ck-oo.csv"
12,36,0,14,4,"eclipse","single-version-ck-oo.csv"
32,88,3,17,4,"eclipse","single-version-ck-oo.csv"
51,209,16,57,21,"eclipse","single-version-ck-oo.csv"
162,462,29,215,29,"eclipse","single-version-ck-oo.csv"
7,27,9,19,10,"eclipse","single-version-ck-oo.csv"
52,216,15,57,16,"eclipse","single-version-ck-oo.csv"
16,50,3,17,4,"eclipse","single-version-ck-oo.csv"
43,155,15,61,16,"eclipse","single-version-ck-oo.csv"
84,276,6,126,6,"eclipse","single-version-ck-oo.csv"
3,73,4,25,4,"eclipse","single-version-ck-oo.csv"
43,156,2,33,4,"eclipse","single-version-ck-oo.csv"
17,76,11,27,12,"eclipse","single-version-ck-oo.csv"
6,17,1,8,2,"eclipse","single-version-ck-oo.csv"
86,290,14,85,14,"eclipse","single-version-ck-oo.csv"
118,437,29,145,33,"eclipse","single-version-ck-oo.csv"
19,87,12,58,14,"eclipse","single-version-ck-oo.csv"
24,128,7,31,7,"eclipse","single-version-ck-oo.csv"
15,36,3,13,4,"eclipse","single-version-ck-oo.csv"
41,136,7,63,8,"eclipse","single-version-ck-oo.csv"
35,99,7,36,7,"eclipse","single-version-ck-oo.csv"
79,334,19,99,21,"eclipse","single-version-ck-oo.csv"
7,16,1,10,2,"eclipse","single-version-ck-oo.csv"
35,105,0,35,26,"eclipse","single-version-ck-oo.csv"
89,325,3,52,4,"eclipse","single-version-ck-oo.csv"
0,0,0,1,1,"eclipse","single-version-ck-oo.csv"
7,29,0,11,1,"eclipse","single-version-ck-oo.csv"
32,101,6,42,9,"eclipse","single-version-ck-oo.csv"
17,35,3,14,4,"eclipse","single-version-ck-oo.csv"
16,33,3,11,5,"eclipse","single-version-ck-oo.csv"
273,773,11,197,128,"eclipse","single-version-ck-oo.csv"
7,23,3,10,4,"eclipse","single-version-ck-oo.csv"
32,163,17,63,18,"eclipse","single-version-ck-oo.csv"
16,54,2,20,2,"eclipse","single-version-ck-oo.csv"
0,0,0,1,2,"eclipse","single-version-ck-oo.csv"
4,11,1,7,2,"eclipse","single-version-ck-oo.csv"
18,82,5,46,7,"eclipse","single-version-ck-oo.csv"
10,29,4,16,6,"eclipse","single-version-ck-oo.csv"
49,184,12,73,13,"eclipse","single-version-ck-oo.csv"
12,39,2,19,7,"eclipse","single-version-ck-oo.csv"
85,368,8,114,9,"eclipse","single-version-ck-oo.csv"
13,61,12,32,13,"eclipse","single-version-ck-oo.csv"
14,49,3,21,4,"eclipse","single-version-ck-oo.csv"
8,62,2,14,3,"eclipse","single-version-ck-oo.csv"
3,14,1,4,2,"eclipse","single-version-ck-oo.csv"
11,34,4,16,5,"eclipse","single-version-ck-oo.csv"
50,200,18,85,23,"eclipse","single-version-ck-oo.csv"
7,24,1,11,2,"eclipse","single-version-ck-oo.csv"
36,103,4,27,7,"eclipse","single-version-ck-oo.csv"
218,907,32,547,34,"eclipse","single-version-ck-oo.csv"
74,217,15,81,17,"eclipse","single-version-ck-oo.csv"
1,3,0,1,2,"eclipse","single-version-ck-oo.csv"
5,21,2,5,3,"eclipse","single-version-ck-oo.csv"
79,271,16,116,19,"eclipse","single-version-ck-oo.csv"
22,88,4,47,10,"eclipse","single-version-ck-oo.csv"
12,50,3,18,5,"eclipse","single-version-ck-oo.csv"
10,23,3,11,6,"eclipse","single-version-ck-oo.csv"
181,691,25,244,29,"eclipse","single-version-ck-oo.csv"
34,115,5,24,8,"eclipse","single-version-ck-oo.csv"
33,122,3,26,17,"eclipse","single-version-ck-oo.csv"
91,296,13,115,16,"eclipse","single-version-ck-oo.csv"
43,332,16,76,19,"eclipse","single-version-ck-oo.csv"
17,75,9,29,9,"eclipse","single-version-ck-oo.csv"
