"cbo","lcom","wmc","numberOfMethods","numberOfLinesOfCode","directory","k"
7,6,5,4,14,"equinox","single-version-ck-oo.csv"
24,171,65,19,196,"equinox","single-version-ck-oo.csv"
18,171,72,19,244,"equinox","single-version-ck-oo.csv"
19,153,62,18,369,"equinox","single-version-ck-oo.csv"
20,136,73,17,399,"equinox","single-version-ck-oo.csv"
14,45,22,10,94,"equinox","single-version-ck-oo.csv"
9,171,46,19,160,"equinox","single-version-ck-oo.csv"
6,1,5,2,19,"equinox","single-version-ck-oo.csv"
6,6,7,4,28,"equinox","single-version-ck-oo.csv"
2,0,1,1,4,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
1,0,0,1,0,"equinox","single-version-ck-oo.csv"
16,78,49,13,198,"equinox","single-version-ck-oo.csv"
5,1,7,2,27,"equinox","single-version-ck-oo.csv"
9,3,6,3,32,"equinox","single-version-ck-oo.csv"
18,15,23,6,107,"equinox","single-version-ck-oo.csv"
2,1,2,2,6,"equinox","single-version-ck-oo.csv"
15,78,67,13,210,"equinox","single-version-ck-oo.csv"
28,210,126,21,456,"equinox","single-version-ck-oo.csv"
13,136,44,17,140,"equinox","single-version-ck-oo.csv"
7,28,10,8,30,"equinox","single-version-ck-oo.csv"
46,2145,288,66,1434,"equinox","single-version-ck-oo.csv"
2,0,1,1,4,"equinox","single-version-ck-oo.csv"
16,171,64,19,289,"equinox","single-version-ck-oo.csv"
17,91,28,14,138,"equinox","single-version-ck-oo.csv"
17,6,15,4,97,"equinox","single-version-ck-oo.csv"
23,630,146,36,596,"equinox","single-version-ck-oo.csv"
12,190,52,20,124,"equinox","single-version-ck-oo.csv"
16,55,48,11,182,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
10,15,22,6,88,"equinox","single-version-ck-oo.csv"
2,1,2,2,15,"equinox","single-version-ck-oo.csv"
26,28,48,8,214,"equinox","single-version-ck-oo.csv"
21,3,11,3,33,"equinox","single-version-ck-oo.csv"
39,300,187,25,535,"equinox","single-version-ck-oo.csv"
4,0,1,1,7,"equinox","single-version-ck-oo.csv"
20,120,85,16,231,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
1,0,0,1,0,"equinox","single-version-ck-oo.csv"
39,1035,264,46,862,"equinox","single-version-ck-oo.csv"
11,36,21,9,61,"equinox","single-version-ck-oo.csv"
11,120,31,16,110,"equinox","single-version-ck-oo.csv"
1,6,4,4,14,"equinox","single-version-ck-oo.csv"
26,496,117,32,393,"equinox","single-version-ck-oo.csv"
13,66,39,12,112,"equinox","single-version-ck-oo.csv"
26,45,37,10,169,"equinox","single-version-ck-oo.csv"
28,171,28,19,200,"equinox","single-version-ck-oo.csv"
4,3,5,3,13,"equinox","single-version-ck-oo.csv"
7,10,6,5,23,"equinox","single-version-ck-oo.csv"
57,1953,142,63,712,"equinox","single-version-ck-oo.csv"
2,28,14,8,54,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
17,6,18,4,89,"equinox","single-version-ck-oo.csv"
4,1,2,2,9,"equinox","single-version-ck-oo.csv"
7,36,22,9,63,"equinox","single-version-ck-oo.csv"
1,1,2,2,6,"equinox","single-version-ck-oo.csv"
2,1,2,2,26,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
54,1128,300,48,1217,"equinox","single-version-ck-oo.csv"
15,28,34,8,81,"equinox","single-version-ck-oo.csv"
7,28,44,8,130,"equinox","single-version-ck-oo.csv"
7,55,17,11,68,"equinox","single-version-ck-oo.csv"
1,0,1,1,3,"equinox","single-version-ck-oo.csv"
7,21,10,7,45,"equinox","single-version-ck-oo.csv"
20,6,4,4,13,"equinox","single-version-ck-oo.csv"
4,15,11,6,48,"equinox","single-version-ck-oo.csv"
11,210,31,21,103,"equinox","single-version-ck-oo.csv"
23,91,69,14,318,"equinox","single-version-ck-oo.csv"
2,3,3,3,10,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
2,1,8,2,47,"equinox","single-version-ck-oo.csv"
13,231,82,22,285,"equinox","single-version-ck-oo.csv"
2,1,2,2,6,"equinox","single-version-ck-oo.csv"
5,6,11,4,33,"equinox","single-version-ck-oo.csv"
27,105,56,15,203,"equinox","single-version-ck-oo.csv"
26,666,165,37,610,"equinox","single-version-ck-oo.csv"
10,36,18,9,33,"equinox","single-version-ck-oo.csv"
7,45,26,10,90,"equinox","single-version-ck-oo.csv"
4,1,2,2,10,"equinox","single-version-ck-oo.csv"
5,6,9,4,38,"equinox","single-version-ck-oo.csv"
35,595,149,35,654,"equinox","single-version-ck-oo.csv"
2,1,2,2,6,"equinox","single-version-ck-oo.csv"
14,45,29,10,108,"equinox","single-version-ck-oo.csv"
11,190,36,20,97,"equinox","single-version-ck-oo.csv"
3,21,13,7,44,"equinox","single-version-ck-oo.csv"
1,1,2,2,6,"equinox","single-version-ck-oo.csv"
5,21,10,7,28,"equinox","single-version-ck-oo.csv"
8,1,2,2,4,"equinox","single-version-ck-oo.csv"
12,28,40,8,134,"equinox","single-version-ck-oo.csv"
19,78,30,13,124,"equinox","single-version-ck-oo.csv"
8,1,2,2,6,"equinox","single-version-ck-oo.csv"
6,3,10,3,59,"equinox","single-version-ck-oo.csv"
17,21,26,7,77,"equinox","single-version-ck-oo.csv"
23,190,54,20,209,"equinox","single-version-ck-oo.csv"
21,120,40,16,208,"equinox","single-version-ck-oo.csv"
10,21,22,7,79,"equinox","single-version-ck-oo.csv"
1,15,15,6,52,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
11,66,59,12,246,"equinox","single-version-ck-oo.csv"
7,28,16,8,45,"equinox","single-version-ck-oo.csv"
1,0,1,1,3,"equinox","single-version-ck-oo.csv"
38,1225,86,50,248,"equinox","single-version-ck-oo.csv"
2,1,2,2,6,"equinox","single-version-ck-oo.csv"
0,0,1,1,3,"equinox","single-version-ck-oo.csv"
7,55,52,11,141,"equinox","single-version-ck-oo.csv"
8,6,5,4,25,"equinox","single-version-ck-oo.csv"
1,0,1,1,3,"equinox","single-version-ck-oo.csv"
34,528,60,33,252,"equinox","single-version-ck-oo.csv"
17,78,58,13,128,"equinox","single-version-ck-oo.csv"
4,45,30,10,66,"equinox","single-version-ck-oo.csv"
15,21,49,7,117,"equinox","single-version-ck-oo.csv"
27,3,3,3,11,"equinox","single-version-ck-oo.csv"
4,6,4,4,21,"equinox","single-version-ck-oo.csv"
14,190,40,20,142,"equinox","single-version-ck-oo.csv"
67,2016,286,64,1041,"equinox","single-version-ck-oo.csv"
6,1,8,2,22,"equinox","single-version-ck-oo.csv"
29,55,32,11,130,"equinox","single-version-ck-oo.csv"
2,1,2,2,15,"equinox","single-version-ck-oo.csv"
3,55,11,11,37,"equinox","single-version-ck-oo.csv"
7,10,7,5,24,"equinox","single-version-ck-oo.csv"
5,10,29,5,99,"equinox","single-version-ck-oo.csv"
1,0,1,1,3,"equinox","single-version-ck-oo.csv"
1,0,0,1,0,"equinox","single-version-ck-oo.csv"
2,703,38,38,114,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
2,1,2,2,26,"equinox","single-version-ck-oo.csv"
5,10,6,5,17,"equinox","single-version-ck-oo.csv"
1,55,10,11,30,"equinox","single-version-ck-oo.csv"
11,3,19,3,54,"equinox","single-version-ck-oo.csv"
24,406,91,29,424,"equinox","single-version-ck-oo.csv"
12,190,36,20,114,"equinox","single-version-ck-oo.csv"
28,253,38,23,144,"equinox","single-version-ck-oo.csv"
7,36,5,9,16,"equinox","single-version-ck-oo.csv"
25,153,52,18,159,"equinox","single-version-ck-oo.csv"
26,153,72,18,257,"equinox","single-version-ck-oo.csv"
6,6,24,4,86,"equinox","single-version-ck-oo.csv"
9,6,10,4,47,"equinox","single-version-ck-oo.csv"
29,741,102,39,367,"equinox","single-version-ck-oo.csv"
2,45,9,10,28,"equinox","single-version-ck-oo.csv"
7,28,8,8,31,"equinox","single-version-ck-oo.csv"
2,1,2,2,6,"equinox","single-version-ck-oo.csv"
4,1,2,2,9,"equinox","single-version-ck-oo.csv"
4,36,15,9,56,"equinox","single-version-ck-oo.csv"
4,105,19,15,94,"equinox","single-version-ck-oo.csv"
9,3,8,3,28,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
9,36,42,9,148,"equinox","single-version-ck-oo.csv"
1,0,0,1,0,"equinox","single-version-ck-oo.csv"
5,15,12,6,25,"equinox","single-version-ck-oo.csv"
2,28,10,8,31,"equinox","single-version-ck-oo.csv"
38,2016,211,64,705,"equinox","single-version-ck-oo.csv"
11,120,42,16,177,"equinox","single-version-ck-oo.csv"
4,1,5,2,13,"equinox","single-version-ck-oo.csv"
2,1,2,2,6,"equinox","single-version-ck-oo.csv"
12,136,49,17,186,"equinox","single-version-ck-oo.csv"
5,45,18,10,71,"equinox","single-version-ck-oo.csv"
19,21,29,7,122,"equinox","single-version-ck-oo.csv"
3,1,3,2,11,"equinox","single-version-ck-oo.csv"
0,3,3,3,12,"equinox","single-version-ck-oo.csv"
5,15,27,6,95,"equinox","single-version-ck-oo.csv"
2,0,1,1,4,"equinox","single-version-ck-oo.csv"
7,6,9,4,39,"equinox","single-version-ck-oo.csv"
2,1,2,2,6,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
5,3,4,3,21,"equinox","single-version-ck-oo.csv"
2,0,1,1,4,"equinox","single-version-ck-oo.csv"
1,0,0,1,0,"equinox","single-version-ck-oo.csv"
5,1,3,2,11,"equinox","single-version-ck-oo.csv"
10,36,39,9,107,"equinox","single-version-ck-oo.csv"
2,3,3,3,10,"equinox","single-version-ck-oo.csv"
18,406,304,29,1003,"equinox","single-version-ck-oo.csv"
10,91,35,14,90,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
7,10,6,5,20,"equinox","single-version-ck-oo.csv"
7,21,17,7,57,"equinox","single-version-ck-oo.csv"
29,276,168,24,516,"equinox","single-version-ck-oo.csv"
3,190,20,20,64,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
9,21,12,7,25,"equinox","single-version-ck-oo.csv"
14,28,29,8,116,"equinox","single-version-ck-oo.csv"
4,3,3,3,9,"equinox","single-version-ck-oo.csv"
2,1,2,2,6,"equinox","single-version-ck-oo.csv"
6,28,66,8,262,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
8,45,30,10,78,"equinox","single-version-ck-oo.csv"
4,21,13,7,37,"equinox","single-version-ck-oo.csv"
10,55,40,11,200,"equinox","single-version-ck-oo.csv"
13,91,36,14,116,"equinox","single-version-ck-oo.csv"
3,21,7,7,26,"equinox","single-version-ck-oo.csv"
2,1,2,2,6,"equinox","single-version-ck-oo.csv"
23,120,67,16,285,"equinox","single-version-ck-oo.csv"
7,15,26,6,111,"equinox","single-version-ck-oo.csv"
22,990,195,45,513,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
37,780,106,40,332,"equinox","single-version-ck-oo.csv"
