"numberOfVersionsUntil.","linesAddedUntil.","linesRemovedUntil.","maxLinesRemovedUntil.","maxLinesAddedUntil.","directory","k"
19,627,633,481,454,"equinox","change-metrics.csv"
5,361,1,1,177,"equinox","change-metrics.csv"
6,310,5,4,154,"equinox","change-metrics.csv"
50,1467,516,170,430,"equinox","change-metrics.csv"
3,13,4,2,11,"equinox","change-metrics.csv"
18,232,102,56,62,"equinox","change-metrics.csv"
2,3,1,1,3,"equinox","change-metrics.csv"
11,260,99,49,142,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
19,490,193,62,237,"equinox","change-metrics.csv"
21,401,204,141,170,"equinox","change-metrics.csv"
71,1323,1984,747,371,"equinox","change-metrics.csv"
5,60,2,1,28,"equinox","change-metrics.csv"
13,646,22,7,285,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
105,2604,2537,387,285,"equinox","change-metrics.csv"
23,207,153,56,61,"equinox","change-metrics.csv"
16,139,209,120,71,"equinox","change-metrics.csv"
16,313,221,64,110,"equinox","change-metrics.csv"
18,1356,140,52,572,"equinox","change-metrics.csv"
14,155,74,22,89,"equinox","change-metrics.csv"
8,449,8,4,199,"equinox","change-metrics.csv"
27,472,143,44,102,"equinox","change-metrics.csv"
7,45,62,34,27,"equinox","change-metrics.csv"
5,147,2,2,72,"equinox","change-metrics.csv"
67,789,905,230,93,"equinox","change-metrics.csv"
12,220,104,78,104,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
4,265,3,3,132,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
18,251,265,149,128,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
169,2958,1610,128,124,"equinox","change-metrics.csv"
9,342,16,6,161,"equinox","change-metrics.csv"
26,1624,881,340,335,"equinox","change-metrics.csv"
4,280,62,62,165,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
8,280,12,6,101,"equinox","change-metrics.csv"
18,344,324,106,101,"equinox","change-metrics.csv"
2,3,3,3,3,"equinox","change-metrics.csv"
20,483,496,276,249,"equinox","change-metrics.csv"
26,224,309,186,63,"equinox","change-metrics.csv"
5,91,4,3,43,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
7,11,13,4,4,"equinox","change-metrics.csv"
5,982,3,2,489,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
10,110,91,25,37,"equinox","change-metrics.csv"
4,5,5,2,2,"equinox","change-metrics.csv"
16,80,60,15,27,"equinox","change-metrics.csv"
11,88,39,13,26,"equinox","change-metrics.csv"
18,849,871,570,551,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
4,46,37,26,29,"equinox","change-metrics.csv"
35,504,394,77,74,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
5,8,3,3,4,"equinox","change-metrics.csv"
8,101,15,10,86,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
6,17,35,28,9,"equinox","change-metrics.csv"
14,91,56,10,24,"equinox","change-metrics.csv"
11,134,109,83,84,"equinox","change-metrics.csv"
25,230,207,60,69,"equinox","change-metrics.csv"
11,454,38,14,210,"equinox","change-metrics.csv"
39,457,238,66,75,"equinox","change-metrics.csv"
12,234,160,58,80,"equinox","change-metrics.csv"
6,111,30,19,78,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
32,383,394,93,130,"equinox","change-metrics.csv"
15,124,158,86,60,"equinox","change-metrics.csv"
7,28,4,3,10,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
31,2965,2272,442,768,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
3,12,5,3,8,"equinox","change-metrics.csv"
15,1033,73,28,442,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
8,57,57,42,37,"equinox","change-metrics.csv"
3,4,4,2,2,"equinox","change-metrics.csv"
3,234,0,0,117,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
15,1146,127,51,550,"equinox","change-metrics.csv"
20,394,85,27,146,"equinox","change-metrics.csv"
9,212,28,10,86,"equinox","change-metrics.csv"
4,41,29,14,15,"equinox","change-metrics.csv"
18,526,449,144,140,"equinox","change-metrics.csv"
3,136,0,0,68,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
31,2656,126,33,1111,"equinox","change-metrics.csv"
13,78,56,10,16,"equinox","change-metrics.csv"
11,775,60,23,360,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
6,7,2,1,3,"equinox","change-metrics.csv"
5,163,2,2,80,"equinox","change-metrics.csv"
7,200,210,200,190,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
24,210,101,41,45,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
9,383,161,70,177,"equinox","change-metrics.csv"
7,24,85,43,16,"equinox","change-metrics.csv"
13,156,116,60,52,"equinox","change-metrics.csv"
38,795,173,39,296,"equinox","change-metrics.csv"
9,671,43,37,341,"equinox","change-metrics.csv"
12,662,56,22,282,"equinox","change-metrics.csv"
3,5,1,1,3,"equinox","change-metrics.csv"
47,688,575,161,157,"equinox","change-metrics.csv"
32,877,813,331,162,"equinox","change-metrics.csv"
4,33,29,19,21,"equinox","change-metrics.csv"
10,55,51,27,27,"equinox","change-metrics.csv"
9,980,88,61,406,"equinox","change-metrics.csv"
9,345,361,152,149,"equinox","change-metrics.csv"
12,116,127,95,86,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
8,51,22,7,22,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
14,157,89,28,61,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
2,2,2,2,2,"equinox","change-metrics.csv"
15,85,41,9,20,"equinox","change-metrics.csv"
78,1442,663,124,252,"equinox","change-metrics.csv"
5,53,18,7,28,"equinox","change-metrics.csv"
11,111,151,55,28,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
36,350,511,141,78,"equinox","change-metrics.csv"
5,14,12,5,6,"equinox","change-metrics.csv"
24,269,245,115,92,"equinox","change-metrics.csv"
2,1,1,1,1,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
3,2,2,2,2,"equinox","change-metrics.csv"
4,7,7,4,4,"equinox","change-metrics.csv"
16,500,233,106,170,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
7,136,18,13,59,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
12,52,50,15,12,"equinox","change-metrics.csv"
8,89,41,17,33,"equinox","change-metrics.csv"
3,3,1,1,2,"equinox","change-metrics.csv"
20,1193,1018,670,577,"equinox","change-metrics.csv"
12,305,77,31,92,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
57,932,314,30,191,"equinox","change-metrics.csv"
2,2,2,2,2,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
8,54,15,4,20,"equinox","change-metrics.csv"
14,203,74,16,45,"equinox","change-metrics.csv"
2,2,2,2,2,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
6,281,4,3,139,"equinox","change-metrics.csv"
7,221,0,0,91,"equinox","change-metrics.csv"
5,166,3,3,81,"equinox","change-metrics.csv"
19,119,177,83,37,"equinox","change-metrics.csv"
17,139,41,8,27,"equinox","change-metrics.csv"
5,188,3,3,92,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
26,3032,2652,892,837,"equinox","change-metrics.csv"
25,195,212,36,40,"equinox","change-metrics.csv"
36,1590,407,185,480,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
21,889,91,47,302,"equinox","change-metrics.csv"
