"maxCodeChurnUntil.","linesAddedUntil.","numberOfVersionsUntil.","linesRemovedUntil.","maxLinesAddedUntil.","directory","k"
0,2,2,2,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
2,20,3,18,16,"lucene","change-metrics.csv"
48,80,4,15,59,"lucene","change-metrics.csv"
0,45,3,45,43,"lucene","change-metrics.csv"
0,92,3,344,85,"lucene","change-metrics.csv"
0,16,2,44,15,"lucene","change-metrics.csv"
43,56,2,13,55,"lucene","change-metrics.csv"
25,184,20,165,50,"lucene","change-metrics.csv"
20,61,2,41,60,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
27,78,11,88,28,"lucene","change-metrics.csv"
38,64,6,10,38,"lucene","change-metrics.csv"
15,18,3,5,16,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
1,13,5,12,6,"lucene","change-metrics.csv"
3,39,10,75,13,"lucene","change-metrics.csv"
51,1262,81,890,128,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
15,25,3,22,16,"lucene","change-metrics.csv"
62,122,4,60,119,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
9,15,2,6,14,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
3,10,4,7,5,"lucene","change-metrics.csv"
5,29,4,61,13,"lucene","change-metrics.csv"
1,11,5,11,6,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,3,3,3,1,"lucene","change-metrics.csv"
0,3,3,3,1,"lucene","change-metrics.csv"
11,73,14,73,13,"lucene","change-metrics.csv"
111,338,13,174,151,"lucene","change-metrics.csv"
0,8,3,8,6,"lucene","change-metrics.csv"
1,7,2,6,6,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
1,7,2,6,6,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
18,49,7,67,25,"lucene","change-metrics.csv"
52,340,14,425,126,"lucene","change-metrics.csv"
25,42,3,16,35,"lucene","change-metrics.csv"
68,142,11,78,75,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
18,22,4,4,19,"lucene","change-metrics.csv"
1,58,5,58,52,"lucene","change-metrics.csv"
0,8,4,12,6,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
19,125,14,100,34,"lucene","change-metrics.csv"
1,7,2,6,6,"lucene","change-metrics.csv"
0,9,9,9,1,"lucene","change-metrics.csv"
204,694,28,282,250,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
22,34,6,62,26,"lucene","change-metrics.csv"
0,1,2,1,1,"lucene","change-metrics.csv"
4,69,4,62,60,"lucene","change-metrics.csv"
0,116,3,116,114,"lucene","change-metrics.csv"
1,4,3,4,3,"lucene","change-metrics.csv"
15,17,2,2,16,"lucene","change-metrics.csv"
116,172,5,56,165,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
16,64,8,45,22,"lucene","change-metrics.csv"
106,498,15,366,201,"lucene","change-metrics.csv"
0,3,2,3,2,"lucene","change-metrics.csv"
31,56,10,51,43,"lucene","change-metrics.csv"
36,70,5,18,43,"lucene","change-metrics.csv"
1,31,4,68,13,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
1,7,3,6,6,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
48,145,12,52,52,"lucene","change-metrics.csv"
77,398,25,238,110,"lucene","change-metrics.csv"
54,334,26,221,89,"lucene","change-metrics.csv"
0,2,2,4,1,"lucene","change-metrics.csv"
25,430,12,348,295,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
1,9,4,9,6,"lucene","change-metrics.csv"
0,4,4,4,1,"lucene","change-metrics.csv"
0,6,6,6,1,"lucene","change-metrics.csv"
18,72,8,24,19,"lucene","change-metrics.csv"
58,352,11,192,128,"lucene","change-metrics.csv"
3,128,5,125,100,"lucene","change-metrics.csv"
23,95,5,71,85,"lucene","change-metrics.csv"
27,213,9,194,119,"lucene","change-metrics.csv"
1,7,3,19,6,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
33,63,7,18,35,"lucene","change-metrics.csv"
10,18,5,9,15,"lucene","change-metrics.csv"
0,3,3,3,1,"lucene","change-metrics.csv"
76,87,3,11,83,"lucene","change-metrics.csv"
7,97,4,88,79,"lucene","change-metrics.csv"
9,32,6,14,11,"lucene","change-metrics.csv"
1,3,2,2,2,"lucene","change-metrics.csv"
1,2,2,1,1,"lucene","change-metrics.csv"
12,21,4,12,16,"lucene","change-metrics.csv"
14,16,2,2,15,"lucene","change-metrics.csv"
0,3,3,3,1,"lucene","change-metrics.csv"
13,50,7,67,15,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
38,65,4,27,46,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,2,2,1,"lucene","change-metrics.csv"
0,1,3,2,1,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,7,3,7,5,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
133,991,46,684,136,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
1,22,5,59,13,"lucene","change-metrics.csv"
9,46,7,69,18,"lucene","change-metrics.csv"
15,17,2,2,16,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
14,48,6,73,17,"lucene","change-metrics.csv"
17,98,8,78,52,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
1,9,4,9,6,"lucene","change-metrics.csv"
116,159,8,44,128,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
15,17,2,2,16,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
1,4,2,3,3,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
11,56,9,73,13,"lucene","change-metrics.csv"
38,40,2,2,39,"lucene","change-metrics.csv"
0,121,5,164,107,"lucene","change-metrics.csv"
15,50,7,48,23,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
1,20,6,23,10,"lucene","change-metrics.csv"
0,3,3,3,1,"lucene","change-metrics.csv"
72,278,13,228,119,"lucene","change-metrics.csv"
1,7,2,6,6,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,4,4,4,1,"lucene","change-metrics.csv"
17,83,4,66,63,"lucene","change-metrics.csv"
47,66,6,17,52,"lucene","change-metrics.csv"
1,7,2,6,6,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,8,2,8,7,"lucene","change-metrics.csv"
79,230,22,133,106,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,4,4,4,1,"lucene","change-metrics.csv"
83,175,13,30,89,"lucene","change-metrics.csv"
1,11,3,10,6,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
6,187,9,175,158,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,12,12,12,1,"lucene","change-metrics.csv"
196,711,35,771,203,"lucene","change-metrics.csv"
1,7,2,6,6,"lucene","change-metrics.csv"
13,25,6,149,16,"lucene","change-metrics.csv"
17,24,4,6,17,"lucene","change-metrics.csv"
5,6,2,1,5,"lucene","change-metrics.csv"
30,101,7,22,30,"lucene","change-metrics.csv"
27,88,6,15,29,"lucene","change-metrics.csv"
1,10,3,12,6,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
0,7,7,7,1,"lucene","change-metrics.csv"
23,49,6,65,23,"lucene","change-metrics.csv"
12,33,4,15,19,"lucene","change-metrics.csv"
0,551,6,604,268,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
1,20,4,59,13,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,10,3,14,9,"lucene","change-metrics.csv"
161,387,28,210,166,"lucene","change-metrics.csv"
1,9,3,14,6,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
1,7,2,6,6,"lucene","change-metrics.csv"
21,24,2,3,23,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
8,17,3,7,13,"lucene","change-metrics.csv"
21,23,2,2,22,"lucene","change-metrics.csv"
1,7,3,8,6,"lucene","change-metrics.csv"
48,162,10,36,56,"lucene","change-metrics.csv"
7,53,6,42,35,"lucene","change-metrics.csv"
19,94,8,14,24,"lucene","change-metrics.csv"
4,15,4,11,6,"lucene","change-metrics.csv"
16,115,5,95,84,"lucene","change-metrics.csv"
119,731,27,353,179,"lucene","change-metrics.csv"
118,163,3,45,118,"lucene","change-metrics.csv"
23,96,13,94,23,"lucene","change-metrics.csv"
2,6,3,6,4,"lucene","change-metrics.csv"
44,244,16,153,70,"lucene","change-metrics.csv"
7,73,3,66,59,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
15,24,3,10,16,"lucene","change-metrics.csv"
107,1172,51,637,174,"lucene","change-metrics.csv"
1,2,3,1,1,"lucene","change-metrics.csv"
26,99,9,92,35,"lucene","change-metrics.csv"
0,49,2,49,48,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,5,2,19,4,"lucene","change-metrics.csv"
37,42,2,5,41,"lucene","change-metrics.csv"
0,2,3,3,1,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
5,8,2,3,7,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
13,22,6,12,14,"lucene","change-metrics.csv"
0,3,2,3,2,"lucene","change-metrics.csv"
15,23,4,6,16,"lucene","change-metrics.csv"
16,79,5,26,29,"lucene","change-metrics.csv"
7,292,7,312,195,"lucene","change-metrics.csv"
55,758,56,465,98,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
19,63,3,43,56,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
9,40,10,66,13,"lucene","change-metrics.csv"
0,4,4,4,1,"lucene","change-metrics.csv"
43,316,27,210,91,"lucene","change-metrics.csv"
4,90,4,85,72,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
10,326,10,297,221,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
7,79,12,114,18,"lucene","change-metrics.csv"
1,10,4,9,6,"lucene","change-metrics.csv"
12,13,4,2,12,"lucene","change-metrics.csv"
2,7,3,7,5,"lucene","change-metrics.csv"
0,4,4,4,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
35,79,3,44,41,"lucene","change-metrics.csv"
0,5,2,8,4,"lucene","change-metrics.csv"
15,19,3,8,16,"lucene","change-metrics.csv"
68,196,20,113,74,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
39,86,7,43,49,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,9,9,9,1,"lucene","change-metrics.csv"
1,7,2,6,6,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
3,47,2,44,46,"lucene","change-metrics.csv"
7,21,4,14,18,"lucene","change-metrics.csv"
15,17,2,2,16,"lucene","change-metrics.csv"
5,52,10,46,31,"lucene","change-metrics.csv"
11,18,3,9,16,"lucene","change-metrics.csv"
10,127,4,116,114,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,4,3,7,2,"lucene","change-metrics.csv"
73,269,14,38,89,"lucene","change-metrics.csv"
1,20,3,57,13,"lucene","change-metrics.csv"
7,24,5,56,15,"lucene","change-metrics.csv"
21,49,6,65,26,"lucene","change-metrics.csv"
6,108,10,109,56,"lucene","change-metrics.csv"
1,7,2,6,6,"lucene","change-metrics.csv"
11,57,4,46,43,"lucene","change-metrics.csv"
41,208,14,106,46,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
49,245,27,164,61,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
20,150,16,69,36,"lucene","change-metrics.csv"
0,5,5,5,1,"lucene","change-metrics.csv"
0,3,4,4,2,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,4,2,4,3,"lucene","change-metrics.csv"
1,7,2,6,6,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,4,4,4,1,"lucene","change-metrics.csv"
22,32,3,9,25,"lucene","change-metrics.csv"
33,198,7,154,134,"lucene","change-metrics.csv"
56,248,6,173,135,"lucene","change-metrics.csv"
13,95,13,98,19,"lucene","change-metrics.csv"
16,122,4,102,101,"lucene","change-metrics.csv"
232,699,14,292,298,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
35,164,16,139,39,"lucene","change-metrics.csv"
25,116,10,83,28,"lucene","change-metrics.csv"
0,4,4,4,1,"lucene","change-metrics.csv"
1,133,5,172,111,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
1,8,3,8,6,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
58,206,19,147,82,"lucene","change-metrics.csv"
16,80,11,77,17,"lucene","change-metrics.csv"
1,20,3,57,13,"lucene","change-metrics.csv"
57,439,18,238,80,"lucene","change-metrics.csv"
43,106,7,47,76,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
17,60,7,12,17,"lucene","change-metrics.csv"
38,182,14,131,47,"lucene","change-metrics.csv"
44,212,17,142,51,"lucene","change-metrics.csv"
0,2,2,4,1,"lucene","change-metrics.csv"
39,266,7,187,167,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
10,284,9,274,257,"lucene","change-metrics.csv"
0,1,2,2,1,"lucene","change-metrics.csv"
25,95,8,24,25,"lucene","change-metrics.csv"
1,10,3,9,6,"lucene","change-metrics.csv"
1,7,2,6,6,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,152,2,152,151,"lucene","change-metrics.csv"
0,3,3,3,1,"lucene","change-metrics.csv"
0,2,3,3,1,"lucene","change-metrics.csv"
1,56,7,92,19,"lucene","change-metrics.csv"
3,60,4,57,55,"lucene","change-metrics.csv"
0,127,4,128,125,"lucene","change-metrics.csv"
1,9,4,10,6,"lucene","change-metrics.csv"
5,45,7,73,13,"lucene","change-metrics.csv"
18,21,2,3,18,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
23,107,11,23,23,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
20,284,6,251,230,"lucene","change-metrics.csv"
19,422,10,368,309,"lucene","change-metrics.csv"
23,45,4,6,23,"lucene","change-metrics.csv"
3,12,5,8,6,"lucene","change-metrics.csv"
68,237,17,107,75,"lucene","change-metrics.csv"
15,28,3,29,16,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
7,28,7,10,10,"lucene","change-metrics.csv"
0,52,4,60,49,"lucene","change-metrics.csv"
13,35,7,4,13,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
11,32,5,58,13,"lucene","change-metrics.csv"
10,24,4,11,15,"lucene","change-metrics.csv"
0,4,4,4,1,"lucene","change-metrics.csv"
0,73,5,118,63,"lucene","change-metrics.csv"
4,5,2,1,4,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
1,22,4,59,13,"lucene","change-metrics.csv"
0,3,5,11,1,"lucene","change-metrics.csv"
0,3,3,7,1,"lucene","change-metrics.csv"
25,69,11,69,25,"lucene","change-metrics.csv"
75,319,25,288,104,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
57,192,15,146,117,"lucene","change-metrics.csv"
2,17,8,24,6,"lucene","change-metrics.csv"
1,7,2,6,6,"lucene","change-metrics.csv"
0,7,7,7,1,"lucene","change-metrics.csv"
43,100,10,65,43,"lucene","change-metrics.csv"
56,403,22,315,136,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
96,799,29,503,257,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
59,320,21,246,75,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
24,25,2,1,24,"lucene","change-metrics.csv"
0,132,6,136,123,"lucene","change-metrics.csv"
10,52,4,42,39,"lucene","change-metrics.csv"
95,130,4,21,112,"lucene","change-metrics.csv"
1,47,9,87,13,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
65,231,15,143,71,"lucene","change-metrics.csv"
13,38,7,24,17,"lucene","change-metrics.csv"
133,692,7,514,475,"lucene","change-metrics.csv"
15,16,3,1,15,"lucene","change-metrics.csv"
0,15,3,21,13,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
8,21,4,10,11,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
48,107,6,54,84,"lucene","change-metrics.csv"
17,44,6,3,17,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
1,8,3,7,6,"lucene","change-metrics.csv"
17,18,3,2,17,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
4,14,4,10,6,"lucene","change-metrics.csv"
21,110,4,89,82,"lucene","change-metrics.csv"
34,183,14,152,46,"lucene","change-metrics.csv"
0,5,5,5,1,"lucene","change-metrics.csv"
0,5,3,7,3,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
5,27,7,64,13,"lucene","change-metrics.csv"
1,9,3,12,6,"lucene","change-metrics.csv"
1,7,2,6,6,"lucene","change-metrics.csv"
39,67,4,27,51,"lucene","change-metrics.csv"
15,30,4,11,16,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
8,39,6,18,16,"lucene","change-metrics.csv"
0,7,7,7,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,3,3,3,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
1,27,10,65,13,"lucene","change-metrics.csv"
1,9,3,42,6,"lucene","change-metrics.csv"
0,2,2,3,1,"lucene","change-metrics.csv"
0,5,5,5,1,"lucene","change-metrics.csv"
16,50,6,14,21,"lucene","change-metrics.csv"
0,3,3,4,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
17,430,12,407,387,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
0,9,2,10,8,"lucene","change-metrics.csv"
1,10,6,9,4,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
58,265,13,250,64,"lucene","change-metrics.csv"
15,22,4,14,16,"lucene","change-metrics.csv"
0,4,4,4,1,"lucene","change-metrics.csv"
115,197,7,32,123,"lucene","change-metrics.csv"
0,1,2,6,1,"lucene","change-metrics.csv"
0,3,2,3,2,"lucene","change-metrics.csv"
26,61,5,11,30,"lucene","change-metrics.csv"
0,5,5,5,1,"lucene","change-metrics.csv"
13,43,3,30,38,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,3,2,1,"lucene","change-metrics.csv"
68,352,27,216,113,"lucene","change-metrics.csv"
0,1,2,3,1,"lucene","change-metrics.csv"
18,20,2,2,18,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
40,247,17,179,66,"lucene","change-metrics.csv"
90,481,21,349,121,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
32,125,3,93,90,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
200,1011,43,491,273,"lucene","change-metrics.csv"
6,14,4,8,7,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
15,23,3,15,16,"lucene","change-metrics.csv"
25,307,6,269,258,"lucene","change-metrics.csv"
0,4,3,4,3,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,3,3,3,1,"lucene","change-metrics.csv"
6,44,9,68,13,"lucene","change-metrics.csv"
13,14,2,1,13,"lucene","change-metrics.csv"
0,6,4,6,3,"lucene","change-metrics.csv"
0,4,2,4,3,"lucene","change-metrics.csv"
1,8,3,8,6,"lucene","change-metrics.csv"
18,47,4,13,24,"lucene","change-metrics.csv"
4,11,3,9,9,"lucene","change-metrics.csv"
12,40,5,65,15,"lucene","change-metrics.csv"
8,67,3,59,57,"lucene","change-metrics.csv"
0,1,2,3,1,"lucene","change-metrics.csv"
1,21,2,53,13,"lucene","change-metrics.csv"
16,66,8,48,23,"lucene","change-metrics.csv"
2,277,3,275,273,"lucene","change-metrics.csv"
6,36,5,705,19,"lucene","change-metrics.csv"
7,42,3,35,28,"lucene","change-metrics.csv"
18,36,5,3,18,"lucene","change-metrics.csv"
0,1,2,2,1,"lucene","change-metrics.csv"
0,2,3,2,1,"lucene","change-metrics.csv"
10,14,2,4,13,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
285,1663,76,837,357,"lucene","change-metrics.csv"
9,33,6,12,14,"lucene","change-metrics.csv"
0,7,3,7,6,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
0,3,3,3,1,"lucene","change-metrics.csv"
287,810,20,196,287,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
18,42,5,5,21,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
75,312,7,197,144,"lucene","change-metrics.csv"
4,105,6,258,69,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
28,50,2,22,49,"lucene","change-metrics.csv"
3,87,11,121,46,"lucene","change-metrics.csv"
0,3,3,3,1,"lucene","change-metrics.csv"
202,792,23,356,405,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,4,4,4,1,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
1,28,5,102,13,"lucene","change-metrics.csv"
2,13,3,10,6,"lucene","change-metrics.csv"
17,22,5,8,18,"lucene","change-metrics.csv"
7,19,3,13,18,"lucene","change-metrics.csv"
82,307,22,286,110,"lucene","change-metrics.csv"
65,393,37,373,112,"lucene","change-metrics.csv"
161,651,20,582,335,"lucene","change-metrics.csv"
0,8,8,8,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
4,32,7,106,13,"lucene","change-metrics.csv"
22,85,9,59,26,"lucene","change-metrics.csv"
1,22,5,58,11,"lucene","change-metrics.csv"
0,44,3,44,42,"lucene","change-metrics.csv"
12,297,14,255,210,"lucene","change-metrics.csv"
72,239,8,76,126,"lucene","change-metrics.csv"
