"linesAddedUntil.","maxLinesAddedUntil.","avgLinesAddedUntil.","codeChurnUntil.","maxCodeChurnUntil.","directory","k"
8,4,2.66667,0,0,"mylyn","change-metrics.csv"
55,28,5,18,11,"mylyn","change-metrics.csv"
13,4,1.625,4,3,"mylyn","change-metrics.csv"
53,29,7.57143,-224,14,"mylyn","change-metrics.csv"
43,27,6.14286,10,4,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
96,48,10.6667,12,5,"mylyn","change-metrics.csv"
23,11,4.6,20,10,"mylyn","change-metrics.csv"
24,14,4.8,17,13,"mylyn","change-metrics.csv"
6,4,1.5,3,3,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
7,4,1.75,5,3,"mylyn","change-metrics.csv"
10,10,2.5,8,8,"mylyn","change-metrics.csv"
1,1,0.5,0,0,"mylyn","change-metrics.csv"
92,20,4,-2,7,"mylyn","change-metrics.csv"
2,2,1,0,0,"mylyn","change-metrics.csv"
13,2,1.08333,-1,0,"mylyn","change-metrics.csv"
397,63,9.925,163,63,"mylyn","change-metrics.csv"
54,18,3.85714,14,13,"mylyn","change-metrics.csv"
187,59,3.66667,15,18,"mylyn","change-metrics.csv"
27,16,6.75,22,14,"mylyn","change-metrics.csv"
7,4,1.75,3,3,"mylyn","change-metrics.csv"
189,162,21,-17,7,"mylyn","change-metrics.csv"
23,11,2.55556,5,5,"mylyn","change-metrics.csv"
86,67,9.55556,-40,7,"mylyn","change-metrics.csv"
318,47,10.9655,-23,18,"mylyn","change-metrics.csv"
43,24,5.375,31,19,"mylyn","change-metrics.csv"
8,5,1.33333,2,3,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
6,4,1.5,4,4,"mylyn","change-metrics.csv"
8,4,1.33333,-1,3,"mylyn","change-metrics.csv"
31,17,2.81818,11,7,"mylyn","change-metrics.csv"
22,16,4.4,-1,3,"mylyn","change-metrics.csv"
5,4,1.66667,2,2,"mylyn","change-metrics.csv"
14,8,2.8,12,8,"mylyn","change-metrics.csv"
78,39,7.8,-166,18,"mylyn","change-metrics.csv"
26,11,3.71429,21,10,"mylyn","change-metrics.csv"
9,5,1.5,1,4,"mylyn","change-metrics.csv"
309,217,14.7143,169,143,"mylyn","change-metrics.csv"
395,94,10.6757,209,92,"mylyn","change-metrics.csv"
1,1,0.5,0,0,"mylyn","change-metrics.csv"
55,12,3.05556,-6,8,"mylyn","change-metrics.csv"
628,122,10.2951,155,31,"mylyn","change-metrics.csv"
7,4,1.75,3,3,"mylyn","change-metrics.csv"
27,13,3.375,11,9,"mylyn","change-metrics.csv"
18,16,6,6,6,"mylyn","change-metrics.csv"
6,4,1.5,3,3,"mylyn","change-metrics.csv"
18,5,2.25,7,4,"mylyn","change-metrics.csv"
21,8,2.1,-42,3,"mylyn","change-metrics.csv"
76,24,5.06667,-26,23,"mylyn","change-metrics.csv"
3,3,1.5,0,0,"mylyn","change-metrics.csv"
241,45,8.92593,69,43,"mylyn","change-metrics.csv"
16,6,2.66667,3,3,"mylyn","change-metrics.csv"
774,734,96.75,-102,7,"mylyn","change-metrics.csv"
36,12,4.5,3,2,"mylyn","change-metrics.csv"
26,13,3.71429,-8,3,"mylyn","change-metrics.csv"
51,18,3.92308,18,15,"mylyn","change-metrics.csv"
96,51,10.6667,35,29,"mylyn","change-metrics.csv"
7,2,1.16667,3,2,"mylyn","change-metrics.csv"
27,21,5.4,15,17,"mylyn","change-metrics.csv"
30,6,2.30769,14,4,"mylyn","change-metrics.csv"
1,1,0.5,0,0,"mylyn","change-metrics.csv"
248,73,20.6667,22,73,"mylyn","change-metrics.csv"
54,20,3.375,19,16,"mylyn","change-metrics.csv"
139,135,23.1667,-6,0,"mylyn","change-metrics.csv"
57,16,4.38462,-39,7,"mylyn","change-metrics.csv"
8,4,1.33333,3,3,"mylyn","change-metrics.csv"
36,9,2.57143,0,5,"mylyn","change-metrics.csv"
10,4,1.66667,7,3,"mylyn","change-metrics.csv"
6,2,1.2,0,1,"mylyn","change-metrics.csv"
14,11,2.8,7,11,"mylyn","change-metrics.csv"
418,113,9.95238,36,108,"mylyn","change-metrics.csv"
7,6,2.33333,0,0,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
18,4,2,1,3,"mylyn","change-metrics.csv"
14,13,4.66667,1,1,"mylyn","change-metrics.csv"
36,15,4,27,15,"mylyn","change-metrics.csv"
181,111,9.05,9,48,"mylyn","change-metrics.csv"
3,2,1,0,0,"mylyn","change-metrics.csv"
100,69,7.69231,65,50,"mylyn","change-metrics.csv"
10,6,3.33333,4,3,"mylyn","change-metrics.csv"
11,6,3.66667,-4,0,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
5,4,1.66667,3,3,"mylyn","change-metrics.csv"
26,7,2.16667,-34,7,"mylyn","change-metrics.csv"
4,4,1.33333,3,3,"mylyn","change-metrics.csv"
10,4,1.66667,4,2,"mylyn","change-metrics.csv"
402,138,10.8649,-133,98,"mylyn","change-metrics.csv"
84,65,9.33333,4,65,"mylyn","change-metrics.csv"
4,1,0.8,0,1,"mylyn","change-metrics.csv"
20,7,3.33333,0,3,"mylyn","change-metrics.csv"
13,5,2.16667,-1,4,"mylyn","change-metrics.csv"
62,15,3.44444,-29,4,"mylyn","change-metrics.csv"
8,7,2.66667,6,6,"mylyn","change-metrics.csv"
15,5,2.14286,4,3,"mylyn","change-metrics.csv"
9,4,1.5,-5,2,"mylyn","change-metrics.csv"
91,52,6.5,-3,3,"mylyn","change-metrics.csv"
105,34,11.6667,-9,8,"mylyn","change-metrics.csv"
38,10,2.71429,10,9,"mylyn","change-metrics.csv"
26,22,4.33333,1,1,"mylyn","change-metrics.csv"
2,2,1,0,0,"mylyn","change-metrics.csv"
7,4,1.4,4,3,"mylyn","change-metrics.csv"
6,5,2,5,5,"mylyn","change-metrics.csv"
112,37,7.46667,18,24,"mylyn","change-metrics.csv"
10,4,1.11111,-3,3,"mylyn","change-metrics.csv"
53,13,3.78571,16,7,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
18,13,3.6,15,13,"mylyn","change-metrics.csv"
20,7,2,-4,3,"mylyn","change-metrics.csv"
18,11,2.25,9,5,"mylyn","change-metrics.csv"
228,54,12.6667,158,37,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
31,13,2.58333,10,8,"mylyn","change-metrics.csv"
119,60,4.95833,47,59,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
25,4,1.78571,3,3,"mylyn","change-metrics.csv"
82,63,10.25,62,59,"mylyn","change-metrics.csv"
123,16,5.59091,-20,3,"mylyn","change-metrics.csv"
370,161,21.7647,-152,31,"mylyn","change-metrics.csv"
11,5,1.375,2,1,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
1666,455,32.0385,335,191,"mylyn","change-metrics.csv"
2,1,0.666667,0,0,"mylyn","change-metrics.csv"
8,5,1.6,1,4,"mylyn","change-metrics.csv"
8,7,2.66667,0,0,"mylyn","change-metrics.csv"
6,4,1.5,4,3,"mylyn","change-metrics.csv"
1,1,0.5,0,0,"mylyn","change-metrics.csv"
38,6,2.375,3,4,"mylyn","change-metrics.csv"
43,14,3.90909,-2,4,"mylyn","change-metrics.csv"
121,56,6.36842,80,53,"mylyn","change-metrics.csv"
172,40,5.73333,45,13,"mylyn","change-metrics.csv"
79,30,7.9,30,12,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
3,2,0.75,0,0,"mylyn","change-metrics.csv"
4,3,1.33333,0,0,"mylyn","change-metrics.csv"
641,113,10.0156,5,48,"mylyn","change-metrics.csv"
13,5,1.44444,-11,4,"mylyn","change-metrics.csv"
94,10,3.48148,19,7,"mylyn","change-metrics.csv"
128,39,6.4,61,34,"mylyn","change-metrics.csv"
60,15,4,-2,4,"mylyn","change-metrics.csv"
6,4,1.2,-1,3,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
9,5,3,-6,0,"mylyn","change-metrics.csv"
534,121,11.6087,71,91,"mylyn","change-metrics.csv"
2,2,1,0,0,"mylyn","change-metrics.csv"
106,76,11.7778,-1,7,"mylyn","change-metrics.csv"
80,21,5.71429,30,19,"mylyn","change-metrics.csv"
152,42,7.6,3,22,"mylyn","change-metrics.csv"
101,60,6.3125,20,60,"mylyn","change-metrics.csv"
39,20,3.54545,8,17,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
300,192,20,54,183,"mylyn","change-metrics.csv"
144,34,8.47059,58,34,"mylyn","change-metrics.csv"
431,102,21.55,32,21,"mylyn","change-metrics.csv"
15,5,1.36364,-46,3,"mylyn","change-metrics.csv"
246,96,8.2,67,96,"mylyn","change-metrics.csv"
251,68,4.82692,-38,64,"mylyn","change-metrics.csv"
14,4,1.4,-54,3,"mylyn","change-metrics.csv"
19,11,2.71429,15,10,"mylyn","change-metrics.csv"
8,4,1.33333,3,3,"mylyn","change-metrics.csv"
1609,322,20.1125,608,129,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
8,8,2.66667,5,5,"mylyn","change-metrics.csv"
103,74,11.4444,-3,7,"mylyn","change-metrics.csv"
1114,300,24.2174,336,300,"mylyn","change-metrics.csv"
41,5,1.95238,1,4,"mylyn","change-metrics.csv"
3,3,1.5,0,0,"mylyn","change-metrics.csv"
45,31,6.42857,31,30,"mylyn","change-metrics.csv"
41,11,2.92857,-23,11,"mylyn","change-metrics.csv"
177,99,9.31579,104,99,"mylyn","change-metrics.csv"
30,24,7.5,22,18,"mylyn","change-metrics.csv"
20,5,2,1,4,"mylyn","change-metrics.csv"
12,7,2.4,6,4,"mylyn","change-metrics.csv"
14,6,2,1,1,"mylyn","change-metrics.csv"
1,1,0.5,0,0,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
9,5,1.8,2,1,"mylyn","change-metrics.csv"
46,8,1.84,2,3,"mylyn","change-metrics.csv"
113,43,7.0625,41,43,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
48,11,2.66667,11,8,"mylyn","change-metrics.csv"
1290,255,20.8065,279,100,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
151,36,10.0667,59,19,"mylyn","change-metrics.csv"
16,7,3.2,12,6,"mylyn","change-metrics.csv"
16,4,1.45455,0,3,"mylyn","change-metrics.csv"
33,28,6.6,30,28,"mylyn","change-metrics.csv"
49,12,4.08333,29,10,"mylyn","change-metrics.csv"
445,278,17.1154,31,278,"mylyn","change-metrics.csv"
48,7,2.18182,7,4,"mylyn","change-metrics.csv"
26,20,6.5,7,4,"mylyn","change-metrics.csv"
11,4,1.57143,2,3,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
10,5,1.42857,2,4,"mylyn","change-metrics.csv"
442,185,9.40425,-195,7,"mylyn","change-metrics.csv"
71,35,14.2,67,32,"mylyn","change-metrics.csv"
15,10,5,14,10,"mylyn","change-metrics.csv"
2,2,1,0,0,"mylyn","change-metrics.csv"
12,4,2,4,3,"mylyn","change-metrics.csv"
35,26,5,0,26,"mylyn","change-metrics.csv"
138,16,5.30769,18,8,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
1,1,0.5,0,0,"mylyn","change-metrics.csv"
11,9,3.66667,0,0,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
42,6,2.8,8,3,"mylyn","change-metrics.csv"
157,57,7.13636,-488,29,"mylyn","change-metrics.csv"
73,37,9.125,27,17,"mylyn","change-metrics.csv"
70,21,3.88889,25,12,"mylyn","change-metrics.csv"
1,1,0.5,0,0,"mylyn","change-metrics.csv"
43,16,2.6875,18,14,"mylyn","change-metrics.csv"
7,4,1.75,3,3,"mylyn","change-metrics.csv"
141,111,15.6667,111,95,"mylyn","change-metrics.csv"
149,53,9.93333,110,52,"mylyn","change-metrics.csv"
26,5,2.6,0,3,"mylyn","change-metrics.csv"
294,92,12.25,152,47,"mylyn","change-metrics.csv"
33,31,8.25,-1,3,"mylyn","change-metrics.csv"
5,4,1.66667,3,3,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
240,55,6.85714,57,18,"mylyn","change-metrics.csv"
9,4,1.28571,3,3,"mylyn","change-metrics.csv"
69,27,5.75,-80,11,"mylyn","change-metrics.csv"
110,38,7.85714,67,34,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
28,8,3.5,6,3,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
62,17,4.13333,-295,17,"mylyn","change-metrics.csv"
2469,474,14.6095,288,421,"mylyn","change-metrics.csv"
69,21,5.30769,-36,20,"mylyn","change-metrics.csv"
8,4,1.33333,0,3,"mylyn","change-metrics.csv"
55,31,13.75,53,30,"mylyn","change-metrics.csv"
1,1,0.5,0,0,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
2073,2058,345.5,103,102,"mylyn","change-metrics.csv"
6,4,1,-14,3,"mylyn","change-metrics.csv"
6,4,1.5,3,3,"mylyn","change-metrics.csv"
38,19,5.42857,16,15,"mylyn","change-metrics.csv"
7,4,1.4,0,3,"mylyn","change-metrics.csv"
1,1,0.5,0,0,"mylyn","change-metrics.csv"
57,11,3.35294,11,8,"mylyn","change-metrics.csv"
775,214,51.6667,362,128,"mylyn","change-metrics.csv"
2,2,1,0,0,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
9,5,1.8,-5,4,"mylyn","change-metrics.csv"
0,0,0,-4,0,"mylyn","change-metrics.csv"
1,1,0.5,0,0,"mylyn","change-metrics.csv"
6,4,1.5,3,3,"mylyn","change-metrics.csv"
25,5,3.125,9,4,"mylyn","change-metrics.csv"
28,6,1.86667,5,4,"mylyn","change-metrics.csv"
9,4,1.5,1,3,"mylyn","change-metrics.csv"
98,70,10.8889,-6,7,"mylyn","change-metrics.csv"
1,1,0.5,0,0,"mylyn","change-metrics.csv"
20,5,1.81818,6,4,"mylyn","change-metrics.csv"
9,4,1.28571,3,3,"mylyn","change-metrics.csv"
5,2,1,1,1,"mylyn","change-metrics.csv"
28,8,3.5,5,5,"mylyn","change-metrics.csv"
38,26,3.8,1,26,"mylyn","change-metrics.csv"
128,89,21.3333,112,89,"mylyn","change-metrics.csv"
5,5,2.5,0,0,"mylyn","change-metrics.csv"
423,265,21.15,225,161,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
261,94,8.15625,-111,30,"mylyn","change-metrics.csv"
4,2,1.33333,0,0,"mylyn","change-metrics.csv"
1,1,0.5,1,1,"mylyn","change-metrics.csv"
220,22,4.68085,-49,13,"mylyn","change-metrics.csv"
5,3,1.25,0,0,"mylyn","change-metrics.csv"
10,7,2,0,1,"mylyn","change-metrics.csv"
2200,348,28.5714,834,172,"mylyn","change-metrics.csv"
3,2,1,0,0,"mylyn","change-metrics.csv"
13,11,4.33333,11,11,"mylyn","change-metrics.csv"
16,4,1.77778,-2,3,"mylyn","change-metrics.csv"
5,3,1.66667,0,0,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
56,53,14,20,20,"mylyn","change-metrics.csv"
20,10,5,11,9,"mylyn","change-metrics.csv"
23,17,4.6,14,14,"mylyn","change-metrics.csv"
415,145,23.0556,130,54,"mylyn","change-metrics.csv"
280,101,20,103,76,"mylyn","change-metrics.csv"
21,14,4.2,12,10,"mylyn","change-metrics.csv"
5,2,1,1,1,"mylyn","change-metrics.csv"
4,3,1.33333,0,0,"mylyn","change-metrics.csv"
10,9,3.33333,0,0,"mylyn","change-metrics.csv"
32,18,10.6667,10,10,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
106,23,6.23529,11,9,"mylyn","change-metrics.csv"
92,65,10.2222,-3,7,"mylyn","change-metrics.csv"
166,33,6.14815,72,30,"mylyn","change-metrics.csv"
163,72,18.1111,133,63,"mylyn","change-metrics.csv"
13,8,3.25,0,1,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
347,255,38.5556,31,61,"mylyn","change-metrics.csv"
1,1,0.5,0,0,"mylyn","change-metrics.csv"
7,4,1.4,3,3,"mylyn","change-metrics.csv"
127,99,14.1111,-8,7,"mylyn","change-metrics.csv"
22,14,3.66667,-1,3,"mylyn","change-metrics.csv"
389,271,43.2222,64,86,"mylyn","change-metrics.csv"
2,2,1,2,2,"mylyn","change-metrics.csv"
7,3,1.4,4,3,"mylyn","change-metrics.csv"
97,89,19.4,-9,1,"mylyn","change-metrics.csv"
10,4,1.66667,4,3,"mylyn","change-metrics.csv"
6,4,1.5,-2,3,"mylyn","change-metrics.csv"
88,14,3.66667,4,9,"mylyn","change-metrics.csv"
3,3,1.5,0,0,"mylyn","change-metrics.csv"
23,6,2.55556,0,3,"mylyn","change-metrics.csv"
11,4,1.57143,0,3,"mylyn","change-metrics.csv"
11,4,1.375,0,3,"mylyn","change-metrics.csv"
38,19,7.6,9,7,"mylyn","change-metrics.csv"
175,50,7.6087,14,38,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
8,4,2,3,3,"mylyn","change-metrics.csv"
37,6,3.08333,3,3,"mylyn","change-metrics.csv"
12,5,1.71429,1,4,"mylyn","change-metrics.csv"
184,91,30.6667,-30,0,"mylyn","change-metrics.csv"
86,27,6.14286,45,25,"mylyn","change-metrics.csv"
12,7,3,5,4,"mylyn","change-metrics.csv"
20,7,3.33333,8,4,"mylyn","change-metrics.csv"
71,31,17.75,59,27,"mylyn","change-metrics.csv"
25,11,5,13,10,"mylyn","change-metrics.csv"
1,1,0.5,0,0,"mylyn","change-metrics.csv"
12,12,6,12,12,"mylyn","change-metrics.csv"
38,34,12.6667,36,34,"mylyn","change-metrics.csv"
96,23,4,4,14,"mylyn","change-metrics.csv"
509,223,18.1786,135,223,"mylyn","change-metrics.csv"
30,17,5,-63,0,"mylyn","change-metrics.csv"
42,22,4.66667,25,21,"mylyn","change-metrics.csv"
2,2,1,1,1,"mylyn","change-metrics.csv"
28,14,2.8,0,4,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
14,8,3.5,-1,1,"mylyn","change-metrics.csv"
56,36,9.33333,31,28,"mylyn","change-metrics.csv"
33,18,3.3,22,15,"mylyn","change-metrics.csv"
10,4,2,1,3,"mylyn","change-metrics.csv"
353,351,117.667,54,54,"mylyn","change-metrics.csv"
166,121,9.22222,1,121,"mylyn","change-metrics.csv"
14,5,2,1,4,"mylyn","change-metrics.csv"
42,20,3.81818,2,19,"mylyn","change-metrics.csv"
36,15,2.76923,14,8,"mylyn","change-metrics.csv"
8,4,1.33333,0,3,"mylyn","change-metrics.csv"
13,8,3.25,3,3,"mylyn","change-metrics.csv"
6,4,1.5,3,3,"mylyn","change-metrics.csv"
9,5,3,4,3,"mylyn","change-metrics.csv"
8,4,1.6,2,3,"mylyn","change-metrics.csv"
3,2,1,-1,0,"mylyn","change-metrics.csv"
66,33,8.25,35,10,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
6,6,3,0,0,"mylyn","change-metrics.csv"
10,6,2.5,1,1,"mylyn","change-metrics.csv"
87,48,21.75,46,43,"mylyn","change-metrics.csv"
40,20,4,-3,1,"mylyn","change-metrics.csv"
60,19,6.66667,-26,8,"mylyn","change-metrics.csv"
6,4,1.5,3,3,"mylyn","change-metrics.csv"
17,8,2.83333,5,3,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
5,4,1.66667,3,3,"mylyn","change-metrics.csv"
1,1,0.5,0,0,"mylyn","change-metrics.csv"
43,8,2.86667,0,3,"mylyn","change-metrics.csv"
20,10,5,7,7,"mylyn","change-metrics.csv"
1,1,0.5,0,0,"mylyn","change-metrics.csv"
34,10,3.77778,12,5,"mylyn","change-metrics.csv"
0,0,0,-2,0,"mylyn","change-metrics.csv"
48,14,3.2,23,13,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
4,4,2,3,3,"mylyn","change-metrics.csv"
39,34,7.8,3,5,"mylyn","change-metrics.csv"
42,36,10.5,31,32,"mylyn","change-metrics.csv"
65,65,21.6667,0,65,"mylyn","change-metrics.csv"
29,8,2.63636,4,4,"mylyn","change-metrics.csv"
1406,170,15.4505,-118,165,"mylyn","change-metrics.csv"
11,9,3.66667,0,0,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
17,7,2.42857,8,7,"mylyn","change-metrics.csv"
707,228,17.675,246,94,"mylyn","change-metrics.csv"
3,1,0.75,1,1,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
40,40,13.3333,28,30,"mylyn","change-metrics.csv"
164,137,18.2222,-14,7,"mylyn","change-metrics.csv"
380,32,6.03175,45,30,"mylyn","change-metrics.csv"
4,4,1.33333,3,3,"mylyn","change-metrics.csv"
7,5,1.4,-6,0,"mylyn","change-metrics.csv"
29,19,4.14286,4,3,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
27,17,3.85714,4,4,"mylyn","change-metrics.csv"
1,1,0.5,0,0,"mylyn","change-metrics.csv"
197,44,7.57692,21,8,"mylyn","change-metrics.csv"
53,13,2.94444,-29,5,"mylyn","change-metrics.csv"
17,5,1.88889,6,4,"mylyn","change-metrics.csv"
8,4,1.33333,3,3,"mylyn","change-metrics.csv"
87,45,10.875,29,20,"mylyn","change-metrics.csv"
2,1,0.666667,1,1,"mylyn","change-metrics.csv"
59,13,3.6875,10,7,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
192,26,5.64706,61,25,"mylyn","change-metrics.csv"
