"linesAddedUntil.","numberOfVersionsUntil.","linesRemovedUntil.","maxLinesAddedUntil.","maxLinesRemovedUntil.","directory","k"
11,2,11,11,11,"pde","change-metrics.csv"
2,3,2,1,1,"pde","change-metrics.csv"
172,22,142,78,72,"pde","change-metrics.csv"
219,10,167,113,69,"pde","change-metrics.csv"
72,12,79,40,46,"pde","change-metrics.csv"
5,2,6,5,6,"pde","change-metrics.csv"
106,4,4,51,4,"pde","change-metrics.csv"
22,2,20,22,20,"pde","change-metrics.csv"
1,2,1,1,1,"pde","change-metrics.csv"
59,11,44,33,24,"pde","change-metrics.csv"
351,27,341,87,89,"pde","change-metrics.csv"
969,33,1296,345,345,"pde","change-metrics.csv"
7,2,10,7,10,"pde","change-metrics.csv"
12,6,12,5,5,"pde","change-metrics.csv"
102,11,108,26,33,"pde","change-metrics.csv"
10,2,12,10,12,"pde","change-metrics.csv"
80,6,20,50,9,"pde","change-metrics.csv"
66,13,41,18,12,"pde","change-metrics.csv"
325,16,240,100,110,"pde","change-metrics.csv"
101,4,61,74,44,"pde","change-metrics.csv"
264,32,194,50,74,"pde","change-metrics.csv"
76,8,22,26,17,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
88,9,64,27,45,"pde","change-metrics.csv"
68,16,43,20,14,"pde","change-metrics.csv"
260,8,90,155,77,"pde","change-metrics.csv"
17,4,11,10,10,"pde","change-metrics.csv"
41,9,39,20,28,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
53,6,40,35,29,"pde","change-metrics.csv"
80,15,69,46,42,"pde","change-metrics.csv"
12,3,10,11,9,"pde","change-metrics.csv"
28,3,31,27,30,"pde","change-metrics.csv"
34,3,40,32,40,"pde","change-metrics.csv"
749,14,162,279,63,"pde","change-metrics.csv"
36,3,2,26,2,"pde","change-metrics.csv"
257,15,70,105,36,"pde","change-metrics.csv"
64,4,2,31,2,"pde","change-metrics.csv"
1897,55,906,458,494,"pde","change-metrics.csv"
1,2,2,1,2,"pde","change-metrics.csv"
74,2,105,74,105,"pde","change-metrics.csv"
4,2,6,4,6,"pde","change-metrics.csv"
67,6,23,47,11,"pde","change-metrics.csv"
226,14,247,140,90,"pde","change-metrics.csv"
96,17,35,22,10,"pde","change-metrics.csv"
502,38,539,149,241,"pde","change-metrics.csv"
687,51,533,170,150,"pde","change-metrics.csv"
545,13,538,280,289,"pde","change-metrics.csv"
30,7,31,10,18,"pde","change-metrics.csv"
96,10,75,31,23,"pde","change-metrics.csv"
1947,34,550,597,224,"pde","change-metrics.csv"
36,10,26,10,8,"pde","change-metrics.csv"
462,8,103,186,52,"pde","change-metrics.csv"
431,40,559,102,257,"pde","change-metrics.csv"
7,3,7,4,4,"pde","change-metrics.csv"
866,45,406,208,58,"pde","change-metrics.csv"
31,3,29,29,27,"pde","change-metrics.csv"
123,19,81,26,31,"pde","change-metrics.csv"
214,23,258,64,91,"pde","change-metrics.csv"
493,32,342,238,177,"pde","change-metrics.csv"
160,14,74,55,52,"pde","change-metrics.csv"
71,5,9,36,8,"pde","change-metrics.csv"
49,12,30,10,13,"pde","change-metrics.csv"
67,10,155,46,132,"pde","change-metrics.csv"
14,2,29,14,29,"pde","change-metrics.csv"
11,3,1,10,1,"pde","change-metrics.csv"
38,10,27,10,9,"pde","change-metrics.csv"
149,11,63,58,27,"pde","change-metrics.csv"
4,3,5,3,3,"pde","change-metrics.csv"
15,3,17,11,13,"pde","change-metrics.csv"
222,24,202,69,62,"pde","change-metrics.csv"
7,4,11,4,5,"pde","change-metrics.csv"
201,9,65,76,34,"pde","change-metrics.csv"
367,21,94,120,31,"pde","change-metrics.csv"
12,6,18,8,12,"pde","change-metrics.csv"
528,29,506,202,142,"pde","change-metrics.csv"
99,16,79,40,33,"pde","change-metrics.csv"
172,8,11,80,6,"pde","change-metrics.csv"
383,12,32,165,13,"pde","change-metrics.csv"
93,6,121,67,105,"pde","change-metrics.csv"
225,17,154,104,37,"pde","change-metrics.csv"
236,4,90,175,83,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
199,13,117,71,71,"pde","change-metrics.csv"
0,2,0,0,0,"pde","change-metrics.csv"
15,4,8,10,6,"pde","change-metrics.csv"
493,16,116,183,69,"pde","change-metrics.csv"
49,5,32,42,21,"pde","change-metrics.csv"
27,5,22,14,21,"pde","change-metrics.csv"
41,9,31,16,19,"pde","change-metrics.csv"
3,2,4,3,4,"pde","change-metrics.csv"
157,13,99,46,46,"pde","change-metrics.csv"
181,25,136,41,23,"pde","change-metrics.csv"
16,3,20,15,19,"pde","change-metrics.csv"
7,2,0,7,0,"pde","change-metrics.csv"
153,10,87,73,46,"pde","change-metrics.csv"
5,2,5,5,5,"pde","change-metrics.csv"
18,4,23,15,19,"pde","change-metrics.csv"
184,6,22,82,17,"pde","change-metrics.csv"
645,29,531,187,196,"pde","change-metrics.csv"
90,13,77,46,31,"pde","change-metrics.csv"
125,15,111,31,63,"pde","change-metrics.csv"
67,6,52,45,38,"pde","change-metrics.csv"
1160,55,770,135,137,"pde","change-metrics.csv"
730,22,204,253,111,"pde","change-metrics.csv"
97,17,91,29,27,"pde","change-metrics.csv"
1141,66,1098,370,366,"pde","change-metrics.csv"
126,10,111,64,52,"pde","change-metrics.csv"
102,20,71,26,11,"pde","change-metrics.csv"
1255,61,846,253,301,"pde","change-metrics.csv"
13,5,4,10,2,"pde","change-metrics.csv"
56,10,42,33,27,"pde","change-metrics.csv"
189,23,151,74,71,"pde","change-metrics.csv"
15,7,18,5,6,"pde","change-metrics.csv"
5,2,6,5,6,"pde","change-metrics.csv"
159,20,118,56,44,"pde","change-metrics.csv"
4,2,4,4,4,"pde","change-metrics.csv"
5,2,5,5,5,"pde","change-metrics.csv"
301,10,22,140,16,"pde","change-metrics.csv"
27,6,29,15,22,"pde","change-metrics.csv"
55,3,40,36,31,"pde","change-metrics.csv"
54,10,9,15,4,"pde","change-metrics.csv"
26,6,23,17,14,"pde","change-metrics.csv"
6,4,6,3,3,"pde","change-metrics.csv"
127,16,95,54,65,"pde","change-metrics.csv"
109,14,194,19,81,"pde","change-metrics.csv"
75,12,55,41,28,"pde","change-metrics.csv"
2,2,2,2,2,"pde","change-metrics.csv"
184,13,68,48,16,"pde","change-metrics.csv"
8,4,13,4,7,"pde","change-metrics.csv"
7,4,9,4,5,"pde","change-metrics.csv"
122,18,146,43,47,"pde","change-metrics.csv"
11,2,5,11,5,"pde","change-metrics.csv"
73,5,52,54,23,"pde","change-metrics.csv"
35,6,39,28,33,"pde","change-metrics.csv"
27,3,30,22,17,"pde","change-metrics.csv"
153,15,140,94,86,"pde","change-metrics.csv"
384,12,368,199,176,"pde","change-metrics.csv"
157,19,120,35,47,"pde","change-metrics.csv"
180,8,202,119,109,"pde","change-metrics.csv"
19,4,13,10,12,"pde","change-metrics.csv"
438,25,209,65,52,"pde","change-metrics.csv"
51,8,11,24,5,"pde","change-metrics.csv"
92,6,127,51,68,"pde","change-metrics.csv"
22,3,15,12,15,"pde","change-metrics.csv"
89,10,150,77,59,"pde","change-metrics.csv"
87,13,46,48,15,"pde","change-metrics.csv"
2,2,3,2,3,"pde","change-metrics.csv"
9,2,9,9,9,"pde","change-metrics.csv"
24,9,26,9,9,"pde","change-metrics.csv"
113,3,104,112,103,"pde","change-metrics.csv"
347,5,310,236,241,"pde","change-metrics.csv"
43,12,33,17,12,"pde","change-metrics.csv"
544,44,310,101,53,"pde","change-metrics.csv"
50,8,40,28,26,"pde","change-metrics.csv"
113,10,89,42,42,"pde","change-metrics.csv"
527,35,570,283,368,"pde","change-metrics.csv"
130,9,139,40,89,"pde","change-metrics.csv"
8,2,11,8,11,"pde","change-metrics.csv"
163,9,89,103,46,"pde","change-metrics.csv"
18,4,15,10,13,"pde","change-metrics.csv"
2068,114,2879,547,709,"pde","change-metrics.csv"
4,3,0,4,0,"pde","change-metrics.csv"
271,12,81,106,47,"pde","change-metrics.csv"
163,12,40,79,13,"pde","change-metrics.csv"
2036,66,1375,286,224,"pde","change-metrics.csv"
56,10,51,18,22,"pde","change-metrics.csv"
35,13,54,9,28,"pde","change-metrics.csv"
101,15,66,26,16,"pde","change-metrics.csv"
38,5,36,20,35,"pde","change-metrics.csv"
19,9,94,7,71,"pde","change-metrics.csv"
132,22,142,35,49,"pde","change-metrics.csv"
48,11,58,24,22,"pde","change-metrics.csv"
449,18,393,167,156,"pde","change-metrics.csv"
32,5,83,20,74,"pde","change-metrics.csv"
86,13,74,44,43,"pde","change-metrics.csv"
267,21,345,73,209,"pde","change-metrics.csv"
4,3,0,4,0,"pde","change-metrics.csv"
22,3,6,19,5,"pde","change-metrics.csv"
176,14,127,72,72,"pde","change-metrics.csv"
2,2,6,2,6,"pde","change-metrics.csv"
10,2,16,10,16,"pde","change-metrics.csv"
770,23,348,219,263,"pde","change-metrics.csv"
37,6,36,31,33,"pde","change-metrics.csv"
440,15,86,111,25,"pde","change-metrics.csv"
886,51,677,239,275,"pde","change-metrics.csv"
476,17,466,213,298,"pde","change-metrics.csv"
110,7,6,56,4,"pde","change-metrics.csv"
666,42,454,179,123,"pde","change-metrics.csv"
21,4,26,17,24,"pde","change-metrics.csv"
11,4,22,10,19,"pde","change-metrics.csv"
243,20,318,86,112,"pde","change-metrics.csv"
33,5,31,17,26,"pde","change-metrics.csv"
327,10,53,106,40,"pde","change-metrics.csv"
1,2,1,1,1,"pde","change-metrics.csv"
15,5,7,10,5,"pde","change-metrics.csv"
32,3,35,28,31,"pde","change-metrics.csv"
80,3,109,79,108,"pde","change-metrics.csv"
760,43,864,332,385,"pde","change-metrics.csv"
223,18,172,141,69,"pde","change-metrics.csv"
67,4,4,32,4,"pde","change-metrics.csv"
214,10,33,77,20,"pde","change-metrics.csv"
62,7,16,34,6,"pde","change-metrics.csv"
85,7,68,41,30,"pde","change-metrics.csv"
8,2,21,8,21,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
48,15,38,10,8,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
168,26,120,29,49,"pde","change-metrics.csv"
195,17,117,49,31,"pde","change-metrics.csv"
20,8,107,10,93,"pde","change-metrics.csv"
110,20,100,38,39,"pde","change-metrics.csv"
1217,39,657,223,118,"pde","change-metrics.csv"
1,2,1,1,1,"pde","change-metrics.csv"
4,2,4,4,4,"pde","change-metrics.csv"
1,2,1,1,1,"pde","change-metrics.csv"
22,3,12,12,12,"pde","change-metrics.csv"
12,3,11,9,10,"pde","change-metrics.csv"
6,4,9,4,7,"pde","change-metrics.csv"
5,4,1,4,1,"pde","change-metrics.csv"
94,23,51,24,18,"pde","change-metrics.csv"
11,4,5,10,4,"pde","change-metrics.csv"
455,10,89,212,46,"pde","change-metrics.csv"
508,61,506,54,82,"pde","change-metrics.csv"
428,46,302,50,72,"pde","change-metrics.csv"
23,8,25,10,10,"pde","change-metrics.csv"
6,5,12,3,6,"pde","change-metrics.csv"
20,6,28,10,18,"pde","change-metrics.csv"
10,4,19,7,17,"pde","change-metrics.csv"
170,10,60,74,43,"pde","change-metrics.csv"
32,2,32,32,32,"pde","change-metrics.csv"
340,22,171,93,28,"pde","change-metrics.csv"
69,4,12,61,8,"pde","change-metrics.csv"
542,9,98,252,51,"pde","change-metrics.csv"
67,8,30,21,14,"pde","change-metrics.csv"
23,9,34,10,9,"pde","change-metrics.csv"
1965,104,1258,290,164,"pde","change-metrics.csv"
139,12,96,42,49,"pde","change-metrics.csv"
145,13,53,48,30,"pde","change-metrics.csv"
55,13,99,33,58,"pde","change-metrics.csv"
11,3,1,10,1,"pde","change-metrics.csv"
74,7,37,33,20,"pde","change-metrics.csv"
264,25,259,82,65,"pde","change-metrics.csv"
231,6,41,99,27,"pde","change-metrics.csv"
3644,133,3241,368,617,"pde","change-metrics.csv"
129,17,54,30,28,"pde","change-metrics.csv"
481,17,106,182,64,"pde","change-metrics.csv"
5,2,7,5,7,"pde","change-metrics.csv"
17,3,32,9,22,"pde","change-metrics.csv"
38,6,80,30,70,"pde","change-metrics.csv"
325,33,346,38,75,"pde","change-metrics.csv"
252,23,248,100,75,"pde","change-metrics.csv"
266,14,95,185,36,"pde","change-metrics.csv"
83,14,44,17,6,"pde","change-metrics.csv"
97,14,95,41,44,"pde","change-metrics.csv"
49,4,57,46,54,"pde","change-metrics.csv"
175,16,161,49,50,"pde","change-metrics.csv"
20,4,10,10,9,"pde","change-metrics.csv"
9,3,10,8,9,"pde","change-metrics.csv"
46,6,33,19,19,"pde","change-metrics.csv"
459,17,254,117,97,"pde","change-metrics.csv"
8,8,209,2,102,"pde","change-metrics.csv"
701,15,255,203,126,"pde","change-metrics.csv"
88,11,52,56,23,"pde","change-metrics.csv"
541,9,301,418,143,"pde","change-metrics.csv"
79,6,63,40,32,"pde","change-metrics.csv"
391,10,49,176,29,"pde","change-metrics.csv"
0,2,0,0,0,"pde","change-metrics.csv"
90,8,55,47,27,"pde","change-metrics.csv"
498,8,518,358,358,"pde","change-metrics.csv"
106,7,131,49,84,"pde","change-metrics.csv"
308,17,67,98,22,"pde","change-metrics.csv"
106,13,80,40,25,"pde","change-metrics.csv"
117,20,86,30,41,"pde","change-metrics.csv"
66,4,2,32,2,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
272,20,182,75,70,"pde","change-metrics.csv"
107,16,137,36,40,"pde","change-metrics.csv"
877,60,790,130,138,"pde","change-metrics.csv"
145,6,122,84,90,"pde","change-metrics.csv"
35,5,24,22,22,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
177,12,159,59,104,"pde","change-metrics.csv"
469,18,101,168,16,"pde","change-metrics.csv"
268,9,327,126,126,"pde","change-metrics.csv"
224,14,279,109,114,"pde","change-metrics.csv"
21,2,26,21,26,"pde","change-metrics.csv"
135,10,133,87,87,"pde","change-metrics.csv"
156,18,141,41,48,"pde","change-metrics.csv"
248,14,150,110,77,"pde","change-metrics.csv"
184,9,249,160,160,"pde","change-metrics.csv"
119,14,91,41,55,"pde","change-metrics.csv"
91,13,72,22,21,"pde","change-metrics.csv"
415,37,206,64,52,"pde","change-metrics.csv"
65,6,57,22,29,"pde","change-metrics.csv"
209,19,130,43,51,"pde","change-metrics.csv"
1072,68,1514,168,501,"pde","change-metrics.csv"
501,29,386,133,178,"pde","change-metrics.csv"
17,6,7,10,3,"pde","change-metrics.csv"
491,6,36,225,27,"pde","change-metrics.csv"
150,18,92,49,54,"pde","change-metrics.csv"
29,4,35,18,19,"pde","change-metrics.csv"
274,13,168,153,109,"pde","change-metrics.csv"
1,2,2,1,2,"pde","change-metrics.csv"
49,9,30,14,9,"pde","change-metrics.csv"
422,28,289,116,96,"pde","change-metrics.csv"
45,3,15,38,14,"pde","change-metrics.csv"
24,2,25,24,25,"pde","change-metrics.csv"
17,6,17,9,9,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
212,5,40,76,31,"pde","change-metrics.csv"
43,7,20,11,12,"pde","change-metrics.csv"
27,5,24,17,22,"pde","change-metrics.csv"
71,9,71,49,60,"pde","change-metrics.csv"
4,3,0,4,0,"pde","change-metrics.csv"
377,33,256,136,76,"pde","change-metrics.csv"
26,6,13,10,5,"pde","change-metrics.csv"
287,7,24,100,15,"pde","change-metrics.csv"
96,14,114,33,46,"pde","change-metrics.csv"
162,7,163,139,139,"pde","change-metrics.csv"
1008,33,487,227,150,"pde","change-metrics.csv"
30,9,181,10,156,"pde","change-metrics.csv"
93,7,98,78,78,"pde","change-metrics.csv"
71,22,144,15,45,"pde","change-metrics.csv"
11,3,12,8,11,"pde","change-metrics.csv"
83,8,125,44,74,"pde","change-metrics.csv"
290,17,128,162,36,"pde","change-metrics.csv"
197,12,132,60,73,"pde","change-metrics.csv"
12,3,14,9,11,"pde","change-metrics.csv"
16,7,20,5,5,"pde","change-metrics.csv"
21,7,23,10,16,"pde","change-metrics.csv"
247,24,119,59,28,"pde","change-metrics.csv"
37,14,35,8,7,"pde","change-metrics.csv"
27,9,27,8,8,"pde","change-metrics.csv"
94,6,94,73,67,"pde","change-metrics.csv"
68,5,33,35,22,"pde","change-metrics.csv"
4,2,4,4,4,"pde","change-metrics.csv"
121,19,72,54,19,"pde","change-metrics.csv"
267,15,48,111,32,"pde","change-metrics.csv"
27,6,16,11,6,"pde","change-metrics.csv"
9,2,14,9,14,"pde","change-metrics.csv"
91,15,42,29,15,"pde","change-metrics.csv"
44,3,83,42,75,"pde","change-metrics.csv"
83,6,102,43,86,"pde","change-metrics.csv"
115,19,96,23,34,"pde","change-metrics.csv"
123,16,103,23,28,"pde","change-metrics.csv"
28,5,21,12,11,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
117,23,129,12,34,"pde","change-metrics.csv"
26,7,28,14,7,"pde","change-metrics.csv"
13,2,17,13,17,"pde","change-metrics.csv"
20,7,17,10,5,"pde","change-metrics.csv"
3,2,3,3,3,"pde","change-metrics.csv"
81,14,53,28,30,"pde","change-metrics.csv"
24,4,20,10,17,"pde","change-metrics.csv"
11,3,29,7,25,"pde","change-metrics.csv"
88,13,81,33,46,"pde","change-metrics.csv"
4,3,0,4,0,"pde","change-metrics.csv"
7,4,11,4,5,"pde","change-metrics.csv"
9,3,16,9,9,"pde","change-metrics.csv"
793,20,116,295,70,"pde","change-metrics.csv"
38,12,34,11,8,"pde","change-metrics.csv"
1,2,1,1,1,"pde","change-metrics.csv"
142,8,93,59,28,"pde","change-metrics.csv"
973,36,417,262,105,"pde","change-metrics.csv"
421,35,390,77,87,"pde","change-metrics.csv"
145,10,149,44,68,"pde","change-metrics.csv"
8,2,0,8,0,"pde","change-metrics.csv"
1500,43,800,431,391,"pde","change-metrics.csv"
2765,123,2482,484,641,"pde","change-metrics.csv"
48,13,121,11,93,"pde","change-metrics.csv"
27,4,15,10,10,"pde","change-metrics.csv"
148,7,191,110,173,"pde","change-metrics.csv"
106,11,47,29,29,"pde","change-metrics.csv"
2,2,3,2,3,"pde","change-metrics.csv"
375,10,208,117,106,"pde","change-metrics.csv"
767,20,180,280,114,"pde","change-metrics.csv"
101,18,58,24,14,"pde","change-metrics.csv"
94,10,22,31,18,"pde","change-metrics.csv"
168,17,83,69,26,"pde","change-metrics.csv"
199,24,143,36,49,"pde","change-metrics.csv"
180,7,17,79,9,"pde","change-metrics.csv"
173,7,76,109,69,"pde","change-metrics.csv"
26,5,31,16,26,"pde","change-metrics.csv"
136,8,40,40,35,"pde","change-metrics.csv"
742,19,424,209,180,"pde","change-metrics.csv"
91,7,68,59,58,"pde","change-metrics.csv"
1305,54,493,476,145,"pde","change-metrics.csv"
39,3,12,28,12,"pde","change-metrics.csv"
90,14,48,22,18,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
1,2,1,1,1,"pde","change-metrics.csv"
399,27,291,101,45,"pde","change-metrics.csv"
538,29,314,108,61,"pde","change-metrics.csv"
18,4,31,14,27,"pde","change-metrics.csv"
624,8,99,292,58,"pde","change-metrics.csv"
93,7,70,60,56,"pde","change-metrics.csv"
5,3,44,3,41,"pde","change-metrics.csv"
53,11,46,12,21,"pde","change-metrics.csv"
682,22,134,191,94,"pde","change-metrics.csv"
1064,51,724,200,182,"pde","change-metrics.csv"
1353,87,955,182,238,"pde","change-metrics.csv"
127,4,21,54,21,"pde","change-metrics.csv"
7,3,7,4,6,"pde","change-metrics.csv"
638,18,210,397,136,"pde","change-metrics.csv"
306,34,193,51,64,"pde","change-metrics.csv"
696,41,345,83,36,"pde","change-metrics.csv"
108,9,18,32,8,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
190,17,126,66,52,"pde","change-metrics.csv"
219,17,144,71,65,"pde","change-metrics.csv"
37,5,69,26,52,"pde","change-metrics.csv"
292,16,78,94,27,"pde","change-metrics.csv"
92,6,8,44,4,"pde","change-metrics.csv"
187,6,91,126,85,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
212,7,64,75,42,"pde","change-metrics.csv"
100,15,74,33,34,"pde","change-metrics.csv"
449,16,122,156,38,"pde","change-metrics.csv"
307,58,98,143,12,"pde","change-metrics.csv"
206,19,138,109,40,"pde","change-metrics.csv"
47,12,36,21,15,"pde","change-metrics.csv"
8,4,8,6,6,"pde","change-metrics.csv"
324,15,116,151,52,"pde","change-metrics.csv"
47,7,44,23,26,"pde","change-metrics.csv"
6,6,21,2,18,"pde","change-metrics.csv"
124,2,185,124,185,"pde","change-metrics.csv"
244,25,129,47,26,"pde","change-metrics.csv"
44,16,86,10,30,"pde","change-metrics.csv"
61,12,97,18,41,"pde","change-metrics.csv"
51,9,24,21,15,"pde","change-metrics.csv"
60,18,59,16,23,"pde","change-metrics.csv"
133,11,112,72,51,"pde","change-metrics.csv"
429,7,25,207,17,"pde","change-metrics.csv"
13,5,4,10,2,"pde","change-metrics.csv"
192,18,114,82,42,"pde","change-metrics.csv"
455,25,274,73,103,"pde","change-metrics.csv"
16,3,31,15,18,"pde","change-metrics.csv"
12,3,3,10,3,"pde","change-metrics.csv"
27,10,10,10,3,"pde","change-metrics.csv"
11,3,14,7,7,"pde","change-metrics.csv"
312,7,49,138,34,"pde","change-metrics.csv"
8,3,9,7,8,"pde","change-metrics.csv"
23,3,17,13,17,"pde","change-metrics.csv"
117,16,61,72,21,"pde","change-metrics.csv"
18,4,32,11,19,"pde","change-metrics.csv"
24,3,36,22,34,"pde","change-metrics.csv"
22,3,29,14,24,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
1833,89,1214,178,269,"pde","change-metrics.csv"
