"rfc","numberOfLinesOfCode","fanOut","wmc","numberOfPrivateMethods","directory","k"
55,129,8,27,8,"pde","single-version-ck-oo.csv"
194,314,25,93,4,"pde","single-version-ck-oo.csv"
13,46,2,13,1,"pde","single-version-ck-oo.csv"
52,110,12,22,0,"pde","single-version-ck-oo.csv"
117,212,24,50,6,"pde","single-version-ck-oo.csv"
11,28,3,12,0,"pde","single-version-ck-oo.csv"
5,13,0,4,0,"pde","single-version-ck-oo.csv"
74,177,6,31,5,"pde","single-version-ck-oo.csv"
8,15,2,5,0,"pde","single-version-ck-oo.csv"
30,45,3,12,0,"pde","single-version-ck-oo.csv"
16,32,3,8,1,"pde","single-version-ck-oo.csv"
13,13,4,4,0,"pde","single-version-ck-oo.csv"
21,32,5,7,1,"pde","single-version-ck-oo.csv"
15,34,4,5,0,"pde","single-version-ck-oo.csv"
44,93,4,30,2,"pde","single-version-ck-oo.csv"
45,95,8,20,0,"pde","single-version-ck-oo.csv"
12,42,3,9,0,"pde","single-version-ck-oo.csv"
43,97,0,31,4,"pde","single-version-ck-oo.csv"
12,32,4,8,0,"pde","single-version-ck-oo.csv"
21,43,3,6,0,"pde","single-version-ck-oo.csv"
69,102,10,32,3,"pde","single-version-ck-oo.csv"
20,31,3,13,0,"pde","single-version-ck-oo.csv"
42,112,7,36,3,"pde","single-version-ck-oo.csv"
2,5,1,1,0,"pde","single-version-ck-oo.csv"
58,96,6,23,0,"pde","single-version-ck-oo.csv"
12,27,1,10,0,"pde","single-version-ck-oo.csv"
23,38,7,5,1,"pde","single-version-ck-oo.csv"
43,84,8,25,3,"pde","single-version-ck-oo.csv"
369,618,31,167,7,"pde","single-version-ck-oo.csv"
122,307,10,63,19,"pde","single-version-ck-oo.csv"
1,3,0,1,0,"pde","single-version-ck-oo.csv"
6,10,2,3,0,"pde","single-version-ck-oo.csv"
163,332,19,97,9,"pde","single-version-ck-oo.csv"
4,10,1,3,0,"pde","single-version-ck-oo.csv"
352,724,28,172,17,"pde","single-version-ck-oo.csv"
89,170,18,47,4,"pde","single-version-ck-oo.csv"
5,12,1,2,0,"pde","single-version-ck-oo.csv"
162,338,20,59,11,"pde","single-version-ck-oo.csv"
40,96,9,14,6,"pde","single-version-ck-oo.csv"
89,152,10,30,5,"pde","single-version-ck-oo.csv"
32,40,3,15,0,"pde","single-version-ck-oo.csv"
17,33,2,8,0,"pde","single-version-ck-oo.csv"
94,211,15,34,2,"pde","single-version-ck-oo.csv"
59,64,10,23,0,"pde","single-version-ck-oo.csv"
32,38,7,10,1,"pde","single-version-ck-oo.csv"
57,159,9,22,2,"pde","single-version-ck-oo.csv"
6,17,0,4,0,"pde","single-version-ck-oo.csv"
74,111,11,30,0,"pde","single-version-ck-oo.csv"
4,34,1,1,0,"pde","single-version-ck-oo.csv"
72,97,17,25,3,"pde","single-version-ck-oo.csv"
38,61,2,19,0,"pde","single-version-ck-oo.csv"
55,120,9,32,1,"pde","single-version-ck-oo.csv"
5,11,1,2,0,"pde","single-version-ck-oo.csv"
7,11,2,3,0,"pde","single-version-ck-oo.csv"
28,44,6,13,0,"pde","single-version-ck-oo.csv"
495,847,37,259,29,"pde","single-version-ck-oo.csv"
36,56,4,16,0,"pde","single-version-ck-oo.csv"
10,25,2,8,0,"pde","single-version-ck-oo.csv"
107,194,15,57,11,"pde","single-version-ck-oo.csv"
35,59,6,10,0,"pde","single-version-ck-oo.csv"
56,124,9,34,0,"pde","single-version-ck-oo.csv"
13,20,3,6,0,"pde","single-version-ck-oo.csv"
2,7,0,2,0,"pde","single-version-ck-oo.csv"
39,63,9,20,0,"pde","single-version-ck-oo.csv"
26,66,5,21,1,"pde","single-version-ck-oo.csv"
19,52,5,8,0,"pde","single-version-ck-oo.csv"
6,11,2,2,0,"pde","single-version-ck-oo.csv"
6,14,0,5,0,"pde","single-version-ck-oo.csv"
8,24,2,7,0,"pde","single-version-ck-oo.csv"
3,9,1,3,0,"pde","single-version-ck-oo.csv"
9,21,1,7,0,"pde","single-version-ck-oo.csv"
28,71,2,10,0,"pde","single-version-ck-oo.csv"
11,11,3,3,0,"pde","single-version-ck-oo.csv"
10,15,3,4,0,"pde","single-version-ck-oo.csv"
4,13,0,4,0,"pde","single-version-ck-oo.csv"
58,195,8,22,1,"pde","single-version-ck-oo.csv"
5,18,0,5,0,"pde","single-version-ck-oo.csv"
19,57,2,11,1,"pde","single-version-ck-oo.csv"
12,19,3,4,0,"pde","single-version-ck-oo.csv"
273,582,37,139,7,"pde","single-version-ck-oo.csv"
62,144,15,29,1,"pde","single-version-ck-oo.csv"
131,223,21,62,16,"pde","single-version-ck-oo.csv"
28,55,3,21,1,"pde","single-version-ck-oo.csv"
31,53,7,16,0,"pde","single-version-ck-oo.csv"
31,53,7,8,1,"pde","single-version-ck-oo.csv"
25,55,4,11,1,"pde","single-version-ck-oo.csv"
12,22,2,7,0,"pde","single-version-ck-oo.csv"
12,21,4,7,0,"pde","single-version-ck-oo.csv"
22,45,2,15,0,"pde","single-version-ck-oo.csv"
3,6,1,2,0,"pde","single-version-ck-oo.csv"
13,22,0,7,0,"pde","single-version-ck-oo.csv"
28,37,8,10,1,"pde","single-version-ck-oo.csv"
5,9,1,3,0,"pde","single-version-ck-oo.csv"
28,76,4,24,0,"pde","single-version-ck-oo.csv"
17,145,5,8,0,"pde","single-version-ck-oo.csv"
92,155,13,51,7,"pde","single-version-ck-oo.csv"
12,35,2,7,0,"pde","single-version-ck-oo.csv"
30,64,5,7,0,"pde","single-version-ck-oo.csv"
5,9,1,3,0,"pde","single-version-ck-oo.csv"
243,525,34,108,21,"pde","single-version-ck-oo.csv"
2,3,1,1,0,"pde","single-version-ck-oo.csv"
141,415,20,73,22,"pde","single-version-ck-oo.csv"
6,11,2,3,0,"pde","single-version-ck-oo.csv"
27,37,4,10,1,"pde","single-version-ck-oo.csv"
50,59,6,17,0,"pde","single-version-ck-oo.csv"
16,42,4,13,0,"pde","single-version-ck-oo.csv"
62,152,11,28,7,"pde","single-version-ck-oo.csv"
151,255,29,71,2,"pde","single-version-ck-oo.csv"
200,482,29,92,18,"pde","single-version-ck-oo.csv"
5,12,1,3,0,"pde","single-version-ck-oo.csv"
6,17,0,5,0,"pde","single-version-ck-oo.csv"
471,646,21,218,11,"pde","single-version-ck-oo.csv"
12,20,1,8,1,"pde","single-version-ck-oo.csv"
36,114,4,13,2,"pde","single-version-ck-oo.csv"
362,613,38,143,20,"pde","single-version-ck-oo.csv"
4,10,0,3,0,"pde","single-version-ck-oo.csv"
91,166,16,47,8,"pde","single-version-ck-oo.csv"
56,100,14,21,2,"pde","single-version-ck-oo.csv"
21,37,8,10,0,"pde","single-version-ck-oo.csv"
68,121,13,24,4,"pde","single-version-ck-oo.csv"
124,259,17,95,4,"pde","single-version-ck-oo.csv"
32,66,3,20,3,"pde","single-version-ck-oo.csv"
7,9,2,3,0,"pde","single-version-ck-oo.csv"
18,28,7,5,1,"pde","single-version-ck-oo.csv"
33,50,6,14,1,"pde","single-version-ck-oo.csv"
42,136,11,16,1,"pde","single-version-ck-oo.csv"
4,5,1,1,0,"pde","single-version-ck-oo.csv"
8,20,1,3,0,"pde","single-version-ck-oo.csv"
46,79,16,13,0,"pde","single-version-ck-oo.csv"
39,81,11,20,0,"pde","single-version-ck-oo.csv"
18,37,0,19,2,"pde","single-version-ck-oo.csv"
69,132,8,35,4,"pde","single-version-ck-oo.csv"
24,33,3,11,0,"pde","single-version-ck-oo.csv"
24,44,5,12,0,"pde","single-version-ck-oo.csv"
29,109,3,15,0,"pde","single-version-ck-oo.csv"
14,24,5,4,1,"pde","single-version-ck-oo.csv"
165,270,21,71,4,"pde","single-version-ck-oo.csv"
10,23,1,8,0,"pde","single-version-ck-oo.csv"
12,27,2,8,0,"pde","single-version-ck-oo.csv"
28,64,7,22,0,"pde","single-version-ck-oo.csv"
110,374,8,62,13,"pde","single-version-ck-oo.csv"
66,88,12,30,7,"pde","single-version-ck-oo.csv"
140,279,18,56,21,"pde","single-version-ck-oo.csv"
50,78,4,17,0,"pde","single-version-ck-oo.csv"
129,230,6,68,6,"pde","single-version-ck-oo.csv"
41,96,9,25,0,"pde","single-version-ck-oo.csv"
16,19,9,4,0,"pde","single-version-ck-oo.csv"
49,140,4,24,0,"pde","single-version-ck-oo.csv"
22,36,2,10,0,"pde","single-version-ck-oo.csv"
20,41,8,8,0,"pde","single-version-ck-oo.csv"
23,43,3,12,0,"pde","single-version-ck-oo.csv"
9,16,2,5,0,"pde","single-version-ck-oo.csv"
84,149,10,29,0,"pde","single-version-ck-oo.csv"
61,113,11,36,0,"pde","single-version-ck-oo.csv"
14,30,2,8,0,"pde","single-version-ck-oo.csv"
42,82,4,27,0,"pde","single-version-ck-oo.csv"
38,91,4,35,0,"pde","single-version-ck-oo.csv"
9,18,0,6,0,"pde","single-version-ck-oo.csv"
18,45,4,9,0,"pde","single-version-ck-oo.csv"
10,26,2,6,0,"pde","single-version-ck-oo.csv"
60,138,6,38,5,"pde","single-version-ck-oo.csv"
8,21,0,7,0,"pde","single-version-ck-oo.csv"
72,174,17,60,4,"pde","single-version-ck-oo.csv"
67,142,4,41,10,"pde","single-version-ck-oo.csv"
237,484,26,136,2,"pde","single-version-ck-oo.csv"
105,201,7,70,7,"pde","single-version-ck-oo.csv"
16,25,5,6,1,"pde","single-version-ck-oo.csv"
104,281,7,41,9,"pde","single-version-ck-oo.csv"
39,60,9,20,0,"pde","single-version-ck-oo.csv"
20,27,6,8,1,"pde","single-version-ck-oo.csv"
345,681,47,153,28,"pde","single-version-ck-oo.csv"
5,10,0,4,0,"pde","single-version-ck-oo.csv"
13,25,2,7,0,"pde","single-version-ck-oo.csv"
45,65,3,21,0,"pde","single-version-ck-oo.csv"
5,9,1,2,0,"pde","single-version-ck-oo.csv"
6,11,2,2,0,"pde","single-version-ck-oo.csv"
21,30,2,12,0,"pde","single-version-ck-oo.csv"
13,23,2,8,1,"pde","single-version-ck-oo.csv"
8,14,1,3,1,"pde","single-version-ck-oo.csv"
26,53,3,13,0,"pde","single-version-ck-oo.csv"
23,34,10,3,0,"pde","single-version-ck-oo.csv"
44,76,5,21,3,"pde","single-version-ck-oo.csv"
19,30,9,10,0,"pde","single-version-ck-oo.csv"
5,14,1,4,0,"pde","single-version-ck-oo.csv"
6,11,1,3,0,"pde","single-version-ck-oo.csv"
25,52,1,17,0,"pde","single-version-ck-oo.csv"
11,18,4,9,0,"pde","single-version-ck-oo.csv"
17,32,8,10,0,"pde","single-version-ck-oo.csv"
5,7,2,2,0,"pde","single-version-ck-oo.csv"
40,66,5,23,1,"pde","single-version-ck-oo.csv"
1,3,0,1,0,"pde","single-version-ck-oo.csv"
9,15,2,4,0,"pde","single-version-ck-oo.csv"
19,29,4,4,1,"pde","single-version-ck-oo.csv"
21,31,7,8,0,"pde","single-version-ck-oo.csv"
33,78,8,20,2,"pde","single-version-ck-oo.csv"
91,130,10,44,1,"pde","single-version-ck-oo.csv"
11,39,3,10,0,"pde","single-version-ck-oo.csv"
46,79,9,25,0,"pde","single-version-ck-oo.csv"
2,3,1,1,0,"pde","single-version-ck-oo.csv"
136,204,13,56,2,"pde","single-version-ck-oo.csv"
150,320,18,67,13,"pde","single-version-ck-oo.csv"
9,36,1,5,0,"pde","single-version-ck-oo.csv"
70,196,13,42,0,"pde","single-version-ck-oo.csv"
11,30,0,10,0,"pde","single-version-ck-oo.csv"
83,132,20,23,1,"pde","single-version-ck-oo.csv"
32,89,2,23,1,"pde","single-version-ck-oo.csv"
6,22,0,6,0,"pde","single-version-ck-oo.csv"
16,41,2,5,1,"pde","single-version-ck-oo.csv"
17,27,2,9,0,"pde","single-version-ck-oo.csv"
11,17,3,5,0,"pde","single-version-ck-oo.csv"
17,34,2,12,0,"pde","single-version-ck-oo.csv"
65,257,4,81,2,"pde","single-version-ck-oo.csv"
305,644,14,168,23,"pde","single-version-ck-oo.csv"
7,11,3,3,0,"pde","single-version-ck-oo.csv"
65,153,11,28,8,"pde","single-version-ck-oo.csv"
4,10,0,3,0,"pde","single-version-ck-oo.csv"
19,34,3,11,0,"pde","single-version-ck-oo.csv"
25,33,6,9,1,"pde","single-version-ck-oo.csv"
119,245,6,69,1,"pde","single-version-ck-oo.csv"
12,39,2,9,1,"pde","single-version-ck-oo.csv"
52,103,15,27,0,"pde","single-version-ck-oo.csv"
82,124,8,45,5,"pde","single-version-ck-oo.csv"
95,181,7,61,2,"pde","single-version-ck-oo.csv"
5,14,2,3,0,"pde","single-version-ck-oo.csv"
22,43,6,10,0,"pde","single-version-ck-oo.csv"
12,30,3,4,0,"pde","single-version-ck-oo.csv"
291,627,35,158,19,"pde","single-version-ck-oo.csv"
42,80,3,24,5,"pde","single-version-ck-oo.csv"
26,49,3,11,0,"pde","single-version-ck-oo.csv"
32,50,11,9,0,"pde","single-version-ck-oo.csv"
41,85,15,21,2,"pde","single-version-ck-oo.csv"
3,6,1,2,0,"pde","single-version-ck-oo.csv"
39,99,11,33,2,"pde","single-version-ck-oo.csv"
28,52,8,19,0,"pde","single-version-ck-oo.csv"
54,92,9,21,2,"pde","single-version-ck-oo.csv"
13,28,3,6,1,"pde","single-version-ck-oo.csv"
12,38,1,9,0,"pde","single-version-ck-oo.csv"
27,69,3,13,0,"pde","single-version-ck-oo.csv"
5,14,2,3,0,"pde","single-version-ck-oo.csv"
11,25,2,6,0,"pde","single-version-ck-oo.csv"
19,50,3,17,0,"pde","single-version-ck-oo.csv"
23,77,3,18,2,"pde","single-version-ck-oo.csv"
9,27,2,2,1,"pde","single-version-ck-oo.csv"
266,624,35,126,21,"pde","single-version-ck-oo.csv"
80,126,12,21,5,"pde","single-version-ck-oo.csv"
39,77,7,11,1,"pde","single-version-ck-oo.csv"
184,293,24,77,6,"pde","single-version-ck-oo.csv"
72,179,11,22,7,"pde","single-version-ck-oo.csv"
14,31,2,12,0,"pde","single-version-ck-oo.csv"
182,337,31,73,9,"pde","single-version-ck-oo.csv"
27,52,1,15,1,"pde","single-version-ck-oo.csv"
19,68,0,17,1,"pde","single-version-ck-oo.csv"
26,49,5,8,2,"pde","single-version-ck-oo.csv"
52,91,13,20,2,"pde","single-version-ck-oo.csv"
54,107,10,28,3,"pde","single-version-ck-oo.csv"
7,10,1,3,0,"pde","single-version-ck-oo.csv"
9,16,1,5,0,"pde","single-version-ck-oo.csv"
29,50,3,15,2,"pde","single-version-ck-oo.csv"
117,214,4,64,1,"pde","single-version-ck-oo.csv"
52,95,12,27,4,"pde","single-version-ck-oo.csv"
48,114,6,28,8,"pde","single-version-ck-oo.csv"
5,9,1,3,0,"pde","single-version-ck-oo.csv"
30,58,4,14,0,"pde","single-version-ck-oo.csv"
17,29,8,8,0,"pde","single-version-ck-oo.csv"
291,452,20,118,23,"pde","single-version-ck-oo.csv"
18,38,3,10,0,"pde","single-version-ck-oo.csv"
27,51,6,17,0,"pde","single-version-ck-oo.csv"
13,21,4,5,0,"pde","single-version-ck-oo.csv"
11,22,2,7,0,"pde","single-version-ck-oo.csv"
75,143,24,35,3,"pde","single-version-ck-oo.csv"
15,38,6,5,2,"pde","single-version-ck-oo.csv"
2,3,0,1,0,"pde","single-version-ck-oo.csv"
39,73,4,27,1,"pde","single-version-ck-oo.csv"
233,412,29,96,29,"pde","single-version-ck-oo.csv"
3,6,1,2,0,"pde","single-version-ck-oo.csv"
2,3,1,1,0,"pde","single-version-ck-oo.csv"
4,6,0,2,0,"pde","single-version-ck-oo.csv"
14,21,2,4,1,"pde","single-version-ck-oo.csv"
7,8,1,3,1,"pde","single-version-ck-oo.csv"
14,50,1,10,1,"pde","single-version-ck-oo.csv"
43,77,3,24,2,"pde","single-version-ck-oo.csv"
3,6,0,1,0,"pde","single-version-ck-oo.csv"
8,15,2,4,0,"pde","single-version-ck-oo.csv"
47,96,7,20,4,"pde","single-version-ck-oo.csv"
66,106,8,29,0,"pde","single-version-ck-oo.csv"
86,188,17,34,8,"pde","single-version-ck-oo.csv"
6,10,1,4,1,"pde","single-version-ck-oo.csv"
6,11,1,3,0,"pde","single-version-ck-oo.csv"
4,9,1,4,0,"pde","single-version-ck-oo.csv"
26,49,8,11,0,"pde","single-version-ck-oo.csv"
20,32,2,10,0,"pde","single-version-ck-oo.csv"
22,53,7,7,2,"pde","single-version-ck-oo.csv"
40,118,9,32,0,"pde","single-version-ck-oo.csv"
36,87,7,11,1,"pde","single-version-ck-oo.csv"
61,120,6,23,7,"pde","single-version-ck-oo.csv"
11,24,2,6,0,"pde","single-version-ck-oo.csv"
12,16,2,3,0,"pde","single-version-ck-oo.csv"
257,523,25,85,19,"pde","single-version-ck-oo.csv"
54,65,5,23,1,"pde","single-version-ck-oo.csv"
15,23,4,8,0,"pde","single-version-ck-oo.csv"
92,136,21,34,3,"pde","single-version-ck-oo.csv"
2,3,1,1,0,"pde","single-version-ck-oo.csv"
78,114,8,38,0,"pde","single-version-ck-oo.csv"
60,111,11,22,4,"pde","single-version-ck-oo.csv"
22,53,4,9,2,"pde","single-version-ck-oo.csv"
599,876,35,239,32,"pde","single-version-ck-oo.csv"
51,82,10,21,0,"pde","single-version-ck-oo.csv"
51,108,4,26,1,"pde","single-version-ck-oo.csv"
292,599,25,148,16,"pde","single-version-ck-oo.csv"
5,15,2,4,0,"pde","single-version-ck-oo.csv"
6,12,3,4,0,"pde","single-version-ck-oo.csv"
35,61,9,8,2,"pde","single-version-ck-oo.csv"
60,106,10,39,6,"pde","single-version-ck-oo.csv"
91,193,6,68,1,"pde","single-version-ck-oo.csv"
11,21,2,7,0,"pde","single-version-ck-oo.csv"
20,32,4,7,1,"pde","single-version-ck-oo.csv"
75,195,8,49,6,"pde","single-version-ck-oo.csv"
76,162,11,35,7,"pde","single-version-ck-oo.csv"
35,55,4,22,1,"pde","single-version-ck-oo.csv"
8,24,1,7,0,"pde","single-version-ck-oo.csv"
23,43,2,14,1,"pde","single-version-ck-oo.csv"
17,27,2,8,0,"pde","single-version-ck-oo.csv"
0,0,0,0,0,"pde","single-version-ck-oo.csv"
51,179,5,41,3,"pde","single-version-ck-oo.csv"
9,48,0,6,0,"pde","single-version-ck-oo.csv"
165,387,15,74,29,"pde","single-version-ck-oo.csv"
19,36,3,9,0,"pde","single-version-ck-oo.csv"
33,87,3,12,1,"pde","single-version-ck-oo.csv"
16,29,2,11,0,"pde","single-version-ck-oo.csv"
14,44,1,11,0,"pde","single-version-ck-oo.csv"
100,194,17,60,13,"pde","single-version-ck-oo.csv"
41,87,8,33,0,"pde","single-version-ck-oo.csv"
50,90,13,22,1,"pde","single-version-ck-oo.csv"
18,30,4,10,0,"pde","single-version-ck-oo.csv"
56,104,6,22,3,"pde","single-version-ck-oo.csv"
6,9,1,3,0,"pde","single-version-ck-oo.csv"
11,28,2,9,0,"pde","single-version-ck-oo.csv"
49,107,5,34,2,"pde","single-version-ck-oo.csv"
5,15,1,6,0,"pde","single-version-ck-oo.csv"
191,234,29,58,12,"pde","single-version-ck-oo.csv"
121,264,10,76,3,"pde","single-version-ck-oo.csv"
48,101,4,26,4,"pde","single-version-ck-oo.csv"
31,59,1,18,0,"pde","single-version-ck-oo.csv"
91,146,17,42,4,"pde","single-version-ck-oo.csv"
55,79,11,25,0,"pde","single-version-ck-oo.csv"
41,75,8,17,4,"pde","single-version-ck-oo.csv"
182,281,25,60,6,"pde","single-version-ck-oo.csv"
61,133,6,21,3,"pde","single-version-ck-oo.csv"
27,63,5,20,1,"pde","single-version-ck-oo.csv"
25,58,6,13,1,"pde","single-version-ck-oo.csv"
60,91,2,41,5,"pde","single-version-ck-oo.csv"
17,30,2,9,0,"pde","single-version-ck-oo.csv"
85,178,10,26,7,"pde","single-version-ck-oo.csv"
81,238,10,67,12,"pde","single-version-ck-oo.csv"
112,195,11,47,5,"pde","single-version-ck-oo.csv"
33,52,2,18,0,"pde","single-version-ck-oo.csv"
97,164,20,52,7,"pde","single-version-ck-oo.csv"
31,53,8,14,0,"pde","single-version-ck-oo.csv"
276,520,36,118,16,"pde","single-version-ck-oo.csv"
6,7,0,2,0,"pde","single-version-ck-oo.csv"
81,124,6,42,0,"pde","single-version-ck-oo.csv"
26,55,10,15,1,"pde","single-version-ck-oo.csv"
20,49,3,15,0,"pde","single-version-ck-oo.csv"
124,290,19,82,0,"pde","single-version-ck-oo.csv"
2,3,1,1,0,"pde","single-version-ck-oo.csv"
6,18,0,6,0,"pde","single-version-ck-oo.csv"
63,141,8,43,1,"pde","single-version-ck-oo.csv"
16,29,5,10,0,"pde","single-version-ck-oo.csv"
30,114,4,26,0,"pde","single-version-ck-oo.csv"
14,23,1,7,0,"pde","single-version-ck-oo.csv"
6,10,2,3,0,"pde","single-version-ck-oo.csv"
31,51,4,15,0,"pde","single-version-ck-oo.csv"
18,38,3,7,0,"pde","single-version-ck-oo.csv"
42,93,9,24,0,"pde","single-version-ck-oo.csv"
12,38,2,12,1,"pde","single-version-ck-oo.csv"
4,8,0,3,0,"pde","single-version-ck-oo.csv"
61,196,2,54,5,"pde","single-version-ck-oo.csv"
13,33,2,12,0,"pde","single-version-ck-oo.csv"
78,112,13,32,1,"pde","single-version-ck-oo.csv"
22,41,2,11,0,"pde","single-version-ck-oo.csv"
41,81,7,19,0,"pde","single-version-ck-oo.csv"
461,1326,35,235,52,"pde","single-version-ck-oo.csv"
5,10,0,4,0,"pde","single-version-ck-oo.csv"
15,29,6,5,0,"pde","single-version-ck-oo.csv"
5,12,1,2,0,"pde","single-version-ck-oo.csv"
10,20,4,5,0,"pde","single-version-ck-oo.csv"
107,277,11,54,7,"pde","single-version-ck-oo.csv"
116,191,14,60,0,"pde","single-version-ck-oo.csv"
84,233,14,30,7,"pde","single-version-ck-oo.csv"
12,23,2,9,2,"pde","single-version-ck-oo.csv"
15,18,4,5,0,"pde","single-version-ck-oo.csv"
6,10,1,4,1,"pde","single-version-ck-oo.csv"
31,54,14,19,1,"pde","single-version-ck-oo.csv"
2,7,0,2,0,"pde","single-version-ck-oo.csv"
11,18,0,5,0,"pde","single-version-ck-oo.csv"
36,57,4,15,3,"pde","single-version-ck-oo.csv"
26,67,6,16,4,"pde","single-version-ck-oo.csv"
11,17,0,5,0,"pde","single-version-ck-oo.csv"
17,27,5,5,0,"pde","single-version-ck-oo.csv"
43,73,4,18,4,"pde","single-version-ck-oo.csv"
3,7,0,3,0,"pde","single-version-ck-oo.csv"
17,52,1,13,2,"pde","single-version-ck-oo.csv"
24,32,5,9,3,"pde","single-version-ck-oo.csv"
32,106,9,22,0,"pde","single-version-ck-oo.csv"
77,169,13,30,2,"pde","single-version-ck-oo.csv"
59,86,9,20,3,"pde","single-version-ck-oo.csv"
80,131,7,33,1,"pde","single-version-ck-oo.csv"
16,31,2,12,0,"pde","single-version-ck-oo.csv"
30,61,4,17,2,"pde","single-version-ck-oo.csv"
19,44,3,14,0,"pde","single-version-ck-oo.csv"
43,88,7,24,4,"pde","single-version-ck-oo.csv"
14,29,2,8,0,"pde","single-version-ck-oo.csv"
3,7,0,2,0,"pde","single-version-ck-oo.csv"
4,30,0,2,0,"pde","single-version-ck-oo.csv"
53,89,12,30,0,"pde","single-version-ck-oo.csv"
6,22,0,4,0,"pde","single-version-ck-oo.csv"
5,9,1,2,0,"pde","single-version-ck-oo.csv"
78,116,13,28,4,"pde","single-version-ck-oo.csv"
142,478,8,70,10,"pde","single-version-ck-oo.csv"
4,6,1,2,0,"pde","single-version-ck-oo.csv"
15,29,3,7,0,"pde","single-version-ck-oo.csv"
82,198,13,25,4,"pde","single-version-ck-oo.csv"
14,23,4,7,0,"pde","single-version-ck-oo.csv"
2,10,0,2,0,"pde","single-version-ck-oo.csv"
29,70,5,14,2,"pde","single-version-ck-oo.csv"
142,241,15,74,2,"pde","single-version-ck-oo.csv"
53,149,4,26,1,"pde","single-version-ck-oo.csv"
177,390,24,122,11,"pde","single-version-ck-oo.csv"
59,165,0,25,0,"pde","single-version-ck-oo.csv"
55,199,9,19,1,"pde","single-version-ck-oo.csv"
171,338,17,79,11,"pde","single-version-ck-oo.csv"
